osmid,y,x,street_count,dc,cc,bc,vul,sub,eff,time,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0012903225806451613,0.03181753347279216,0.04290630584035521,0.007787320446415681,3.2645404186525657,0.061010476638080596,19590.184373140335,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.0012903225806451613,0.02954914007859212,0.045800814875885144,0.0075995627124308554,3.4711916600154145,0.061010476638080596,19590.184373140335,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.0017204301075268817,0.03243729571060397,0.05067042754941065,0.0012869359120015046,4.33459871627228,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944550,-23.5372021,-46.6535506,4,0.0017204301075268817,0.02894502873854311,0.011789778682634061,0.0001221109569577054,4.603851637621611,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,0.0017204301075268817,0.030542801587514545,0.011670194803030429,4.850362161088339e-05,3.6080013578777272,0.061010476638080596,19590.184373140335,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,0.002150537634408602,0.03145514800462327,0.0016406147910261154,-3.676027345144614e-05,4.6865021123406105,0.061010476638080596,19590.184373140335,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,0.0012903225806451613,0.03047962534962515,0.0009486281402483499,-9.439614084291574e-05,3.7597159246819087,0.061010476638080596,19590.184373140335,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,0.0017204301075268817,0.03060456744984907,0.002329962801241439,-5.7757214476058146e-05,4.8752111966362435,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,0.0017204301075268817,0.03125717332315341,0.0030444865931649563,1.3989260850482915e-05,4.485848042070275,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6552234 -23.5477074)
25870836,-23.5635176,-46.6113811,4,0.00043010752688172043,0.0,0.0,8.522640906725589e-05,1.6505167273896644,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,3,0.0012903225806451613,0.0007741935483870968,0.0012486813613902614,0.0020030323278734065,3.254526559125566,0.061010476638080596,19590.184373140335,,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,3,0.0012903225806451613,0.03235996920923505,0.03392054463096701,0.0005209595355151544,3.3119142894318734,0.061010476638080596,19590.184373140335,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0012903225806451613,0.00043010752688172043,0.0004158569762922658,0.001114322513526943,3.3555114330294025,0.061010476638080596,19590.184373140335,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.0017204301075268817,0.03045848657551681,0.04597995262622938,0.0014717879094852983,4.945177160675812,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.0012903225806451613,0.03140795182950099,0.050585253116032326,0.0011766577773642509,3.9374902730659946,0.061010476638080596,19590.184373140335,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.0012903225806451613,0.02869803155556529,0.025709081659640545,0.00909084911173368,3.3911664857005333,0.061010476638080596,19590.184373140335,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.0012903225806451613,0.03968453700951815,0.07274891332701286,0.004717360705128039,3.2623418323829902,0.061010476638080596,19590.184373140335,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0012903225806451613,0.04134675876053985,0.07275557592209364,0.004302299186308969,3.268555874858772,0.061010476638080596,19590.184373140335,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.0012903225806451613,0.04026308703764591,0.04572802892566588,0.0015124483859101853,3.4394991048705204,0.061010476638080596,19590.184373140335,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.0012903225806451613,0.03597486779340193,0.03133419488493927,0.002249618664895588,3.3628089123317833,0.061010476638080596,19590.184373140335,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.0012903225806451613,0.04292604677866542,0.044689781238167164,0.0014488054821460454,3.3884648007419638,0.061010476638080596,19590.184373140335,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,0.0017204301075268817,0.040286261287788984,0.0068994409471406955,0.0003217639956239646,5.099306427931581,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,0.0017204301075268817,0.04131167841852563,0.07251223801034526,0.00045505714225405985,6.044050790721755,0.061010476638080596,19590.184373140335,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,0.0012903225806451613,0.0361129158817388,0.024365089138552922,5.8707648786401964e-06,3.453936807001927,0.061010476638080596,19590.184373140335,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,0.0012903225806451613,0.03748862298425341,0.024371751733633713,5.2565404476753015e-06,3.996081297578724,0.061010476638080596,19590.184373140335,,,POINT (-46.6255492 -23.5330563)
