osmid,y,x,highway,street_count,dc,cc,bc,vul,sub,eff,time,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,0.0005659309564233164,0.0233915656933122,0.0005644892981703273,-8.976360884838173e-05,2.598601104938911,0.05142758830976092,86487.33069705963,,POINT (-46.6619198 -23.528187)
587993,-23.55821,-46.6382561,,3,0.0008488964346349745,0.03029499869455364,0.037237520145036083,0.007433155857582955,3.2645996248844016,0.05142758830976092,86487.33069705963,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,0.0011318619128466328,0.03018709713151754,0.0030334091485390152,0.0026917160346838034,5.40379195825742,0.05142758830976092,86487.33069705963,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,0.0011318619128466328,0.029389597376300477,0.006181710806892173,8.615773826690568e-05,5.133969050565998,0.05142758830976092,86487.33069705963,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,0.0008488964346349745,0.034256966341820426,0.08364972458396921,0.0075623394741680654,3.471594763036002,0.05142758830976092,86487.33069705963,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,0.0011318619128466328,0.030631207348418055,0.018434528584472483,0.0008533677873275885,4.3346000150100465,0.05142758830976092,86487.33069705963,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,0.0008488964346349745,0.03383141289443217,0.0024638740464832266,0.0002237997573748264,4.12208230169044,0.05142758830976092,86487.33069705963,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,motorway_junction,3,0.0008488964346349745,0.02254375714757296,0.003580848873792628,0.0017027844097448502,3.264556994294072,0.05142758830976092,86487.33069705963,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,,3,0.0008488964346349745,0.020631505307254296,0.002258951669902122,3.415792537372417e-05,3.267733735005865,0.05142758830976092,86487.33069705963,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,traffic_signals,4,0.0011318619128466328,0.026020995010028487,0.014871846598864194,0.0001272158074854396,4.735976489813165,0.05142758830976092,86487.33069705963,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,0.001697792869269949,0.02587954275515668,0.004101421585963023,0.00011530307070943431,4.729045013381825,0.05142758830976092,86487.33069705963,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,0.0011318619128466328,0.027762041609442196,0.0024734331103097498,0.00016069182989921098,4.604611299954666,0.05142758830976092,86487.33069705963,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,0.0011318619128466328,0.02891510605625303,0.0004566286251617792,6.731978653953927e-05,3.6080014366271698,0.05142758830976092,86487.33069705963,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,0.001414827391058291,0.02964712759145568,0.0011382897280023873,1.3004403852662344e-05,4.686502236252814,0.05142758830976092,86487.33069705963,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,0.0008488964346349745,0.028772574307310946,0.0008897727602000579,-2.003259058302415e-05,3.75972647014462,0.05142758830976092,86487.33069705963,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,0.0011318619128466328,0.02895976548059463,0.0006393111136401644,1.8972836981336103e-06,4.875272766100316,0.05142758830976092,86487.33069705963,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,0.0011318619128466328,0.02977680007428926,0.006655880946116055,6.657315703144387e-05,4.862050861516251,0.05142758830976092,86487.33069705963,,POINT (-46.6552234 -23.5477074)
25777925,-23.5207514,-46.6433446,,3,0.0005659309564233164,0.0,0.0,-0.00010699081674690595,2.967386125148177,0.05142758830976092,86487.33069705963,,POINT (-46.6433446 -23.5207514)
25777928,-23.5208924,-46.6426901,,3,0.0008488964346349745,0.027418670362256977,0.007546977409923765,-8.227840891186495e-05,3.8280920105952556,0.05142758830976092,86487.33069705963,,POINT (-46.6426901 -23.5208924)
25777943,-23.5197443,-46.6361611,,3,0.0005659309564233164,0.028772266227599125,0.0,-5.540799528161416e-05,2.4806205834771755,0.05142758830976092,86487.33069705963,,POINT (-46.6361611 -23.5197443)
25778039,-23.5199594,-46.626918,,3,0.0002829654782116582,0.0,0.0,-0.00015411272419605597,1.6414813342862167,0.05142758830976092,86487.33069705963,,POINT (-46.626918 -23.5199594)
25778134,-23.5218113,-46.6141929,,3,0.0008488964346349745,0.02810681807279686,0.0007812492099498385,0.004476980052943138,3.195418140540107,0.05142758830976092,86487.33069705963,,POINT (-46.6141929 -23.5218113)
25778137,-23.5232174,-46.6126896,,3,0.0008488964346349745,0.022035058827526422,0.0027276046907287535,0.00072303695678975,3.381528840685497,0.05142758830976092,86487.33069705963,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,,3,0.0008488964346349745,0.02117494318955171,0.0004803395533869355,0.00026860725647560163,3.2651939778018857,0.05142758830976092,86487.33069705963,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,,3,0.0008488964346349745,0.020725656082682457,0.00048114047463859613,-2.2533303642806868e-05,3.286487894428545,0.05142758830976092,86487.33069705963,,POINT (-46.6101309 -23.5240816)
25778147,-23.5241708,-46.6089591,,3,0.0008488964346349745,0.02107707295557944,0.002258150748650461,-7.54398657983257e-05,3.286125129982641,0.05142758830976092,86487.33069705963,,POINT (-46.6089591 -23.5241708)
25783030,-23.5219155,-46.6056686,,3,0.0005659309564233164,0.0,0.0,-0.00021167745490907123,2.3958486000345096,0.05142758830976092,86487.33069705963,,POINT (-46.6056686 -23.5219155)
25783050,-23.5224308,-46.609309,motorway_junction,3,0.0008488964346349745,0.0011144486526489922,0.004428934337432288,-3.5432053066502394e-05,3.4843976554390705,0.05142758830976092,86487.33069705963,,POINT (-46.609309 -23.5224308)
25783146,-23.5218114,-46.6115765,,3,0.0008488964346349745,0.020941355706107244,0.007637764179886191,-6.452826451869166e-05,3.372261879483104,0.05142758830976092,86487.33069705963,,POINT (-46.6115765 -23.5218114)
25783236,-23.518172,-46.6201099,,3,0.0002829654782116582,0.0005030497390429479,0.0,-0.00023478646688143958,1.6430511817241982,0.05142758830976092,86487.33069705963,,POINT (-46.6201099 -23.518172)
25870718,-23.5646175,-46.6111634,traffic_signals,4,0.0011318619128466328,0.0342860122010554,0.011255052026232346,0.0008543928063051879,4.930837496014917,0.05142758830976092,86487.33069705963,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,traffic_signals,4,0.0011318619128466328,0.03417012329468164,0.016171596903293204,0.001591303067188128,5.782800230511817,0.05142758830976092,86487.33069705963,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,traffic_signals,4,0.0011318619128466328,0.03534650483785322,0.1240757831408451,0.006285947487065393,5.0354609010983395,0.05142758830976092,86487.33069705963,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,,3,0.0008488964346349745,0.031025643110184273,0.007909085270979131,0.0009103933766998751,3.2623455314252574,0.05142758830976092,86487.33069705963,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,,3,0.0008488964346349745,0.03150826616698599,0.014294606348649926,0.00028141490147289786,3.3119142894796583,0.05142758830976092,86487.33069705963,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,,3,0.0008488964346349745,0.03411420576896156,0.10819165556293543,0.0053505166049234035,3.5639262456214587,0.05142758830976092,86487.33069705963,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,traffic_signals,4,0.0011318619128466328,0.035499037721040703,0.0906260822230037,0.0012719462459697755,4.9516551397262685,0.05142758830976092,86487.33069705963,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,,3,0.0008488964346349745,0.02970275072014509,0.01835753418116017,0.0008360347891512859,3.937617428168857,0.05142758830976092,86487.33069705963,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,,3,0.0008488964346349745,0.034688564109074616,0.044233588511645744,0.007513565107197375,3.397396351094907,0.05142758830976092,86487.33069705963,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,,3,0.0008488964346349745,0.036332943842269795,0.09987150691828366,0.0024715966647351163,3.264182483839231,0.05142758830976092,86487.33069705963,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,,3,0.0008488964346349745,0.03773446534795114,0.09987070599703199,0.0022224293679584087,3.2685867842502647,0.05142758830976092,86487.33069705963,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,,3,0.0008488964346349745,0.037359796301896925,0.06266364829739085,0.000704395944963506,3.439499435062265,0.05142758830976092,86487.33069705963,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,,3,0.0008488964346349745,0.033135472607103506,0.03992381920120928,0.0015815019974108225,3.362809242519368,0.05142758830976092,86487.33069705963,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,,3,0.0008488964346349745,0.039961566180567634,0.05872037422461403,0.0006191479716424523,3.3884648007572684,0.05142758830976092,86487.33069705963,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,traffic_signals,4,0.0011318619128466328,0.03759793005750677,0.0038690781326276616,0.00022036554103557188,5.099306427988304,0.05142758830976092,86487.33069705963,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,traffic_signals,4,0.0011318619128466328,0.038588714362278266,0.04853441130119539,0.0003359369204663941,6.04405079072175,0.05142758830976092,86487.33069705963,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,,3,0.0008488964346349745,0.03431510735700059,0.016570807475514947,3.506841892235637e-05,3.4539368070019307,0.05142758830976092,86487.33069705963,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,,3,0.0008488964346349745,0.03556524340758201,0.016570006554263283,3.6386098666237825e-05,3.996081297578744,0.05142758830976092,86487.33069705963,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,traffic_signals,4,0.0011318619128466328,0.03493844685647455,0.032648465418075125,0.0006020577906426882,5.019639991479092,0.05142758830976092,86487.33069705963,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,crossing,4,0.0011318619128466328,0.03350495662876738,0.029447966211086852,0.0007216721381522459,4.950376468428025,0.05142758830976092,86487.33069705963,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,,3,0.0008488964346349745,0.034142662614936765,0.011450395240091065,0.0006638595885894549,3.362233225037734,0.05142758830976092,86487.33069705963,,POINT (-46.6252162 -23.5326836)
25875892,-23.5287456,-46.6312713,,3,0.0008488964346349745,0.034544680009608204,0.0005492664378819512,4.7875660064779986e-05,3.9138900947708355,0.05142758830976092,86487.33069705963,,POINT (-46.6312713 -23.5287456)
25875912,-23.52485,-46.6297992,,3,0.0008488964346349745,0.03219403004617191,0.014841675448208693,6.641313252787018e-05,3.55647353942272,0.05142758830976092,86487.33069705963,,POINT (-46.6297992 -23.52485)
25875921,-23.5217505,-46.6343656,motorway_junction,3,0.0008488964346349745,0.029012836980139817,0.0033528719165417916,0.00041066372636701734,3.1700764370354135,0.05142758830976092,86487.33069705963,,POINT (-46.6343656 -23.5217505)
25875933,-23.5216281,-46.6364197,,3,0.0008488964346349745,0.02791675625180715,0.015116701614249738,0.000690789881894251,3.4538576282782,0.05142758830976092,86487.33069705963,,POINT (-46.6364197 -23.5216281)
25875949,-23.5210108,-46.6371232,motorway_junction,3,0.0008488964346349745,0.027386900313938804,0.0028625764348026625,-1.4591892184781487e-05,3.4053811180872593,0.05142758830976092,86487.33069705963,,POINT (-46.6371232 -23.5210108)
25875960,-23.5216195,-46.636985,,3,0.0011318619128466328,0.027481306971043267,0.015805240665658245,0.0001412826329607269,3.4071779252485386,0.05142758830976092,86487.33069705963,,POINT (-46.636985 -23.5216195)
25876402,-23.5208216,-46.6303373,,3,0.0008488964346349745,0.0005659309564233164,0.0005537569533980766,0.0008436341923745439,3.6163561581315573,0.05142758830976092,86487.33069705963,,POINT (-46.6303373 -23.5208216)
25876404,-23.5200054,-46.6301737,,3,0.0002829654782116582,0.03088978934237241,0.0,-5.842094012407028e-05,1.6473104275837072,0.05142758830976092,86487.33069705963,,POINT (-46.6301737 -23.5200054)
25876428,-23.5201771,-46.629157,,3,0.0005659309564233164,0.029535209808148714,0.0,-7.007304383818875e-05,2.4136615678147564,0.05142758830976092,86487.33069705963,,POINT (-46.629157 -23.5201771)
