u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ebc,junction,bridge
1454008399,1454008400,0,132119311,True,,residential,False,12.184000000000001,"LINESTRING (-45.8481288 -23.2107629, -45.8481342 -23.2107842, -45.8481319 -23.210806, -45.8481222 -23.2108261, -45.848106 -23.2108422, -45.8480851 -23.2108527)",0.02978403540903542,roundabout,
1454008400,1454021600,0,312091244,False,Rua dos Jaburus,residential,True,20.775,"LINESTRING (-45.8480851 -23.2108527, -45.8481239 -23.2110361)",0.01415038665038665,,
1454008400,1454008401,0,132119311,True,,residential,False,14.744,"LINESTRING (-45.8480851 -23.2108527, -45.8480614 -23.2108565, -45.8480376 -23.2108531, -45.8480163 -23.2108429, -45.8479997 -23.2108269, -45.8479896 -23.2108068, -45.8479871 -23.2107849)",0.044802502391788075,roundabout,
1454008401,1454185783,0,132119313,True,,residential,False,20.096,"LINESTRING (-45.8479871 -23.2107849, -45.8478145 -23.2106983)",0.03269169653098223,,
1454008401,1454008398,0,132119311,True,,residential,False,7.677,"LINESTRING (-45.8479871 -23.2107849, -45.8479927 -23.2107625, -45.8480062 -23.2107431, -45.848026 -23.210729)",0.012110805860805861,roundabout,
1454008402,5327748879,0,132122679,False,Avenida Lívio Veneziani,residential,False,11.893,"LINESTRING (-45.847635 -23.2106263, -45.8475228 -23.2106547)",0.055165601085930764,,
1454008402,1454011088,0,132119314,False,Rua Poncãs,residential,False,313.016,"LINESTRING (-45.847635 -23.2106263, -45.8474359 -23.2100673, -45.8474346 -23.2099884, -45.8474413 -23.2099095, -45.8474533 -23.2098343, -45.8474855 -23.2097555, -45.8486362 -23.2081667)",0.04051886605458035,,
1454008402,1454011089,0,132122679,False,Avenida Lívio Veneziani,residential,True,321.701,"LINESTRING (-45.847635 -23.2106263, -45.8477484 -23.2105998, -45.8480287 -23.2105418, -45.8485276 -23.2104728, -45.8496387 -23.2102664, -45.8502067 -23.2101114, -45.8506892 -23.2099513)",0.026221219256933544,,
1454008402,1454185783,0,330090732,False,,residential,True,20.11,"LINESTRING (-45.847635 -23.2106263, -45.8477069 -23.2106646, -45.8478145 -23.2106983)",0.10736005447543912,,
1454008412,5355099068,0,132122679,False,Avenida Lívio Veneziani,residential,True,34.599,"LINESTRING (-45.8530138 -23.2093152, -45.8533508 -23.209345)",0.014128728414442699,,
1454008412,7812477973,0,132119314,False,Rua Poncãs,residential,True,219.612,"LINESTRING (-45.8530138 -23.2093152, -45.8521979 -23.2086603, -45.8514247 -23.2079863)",0.0346084669298955,,
1454008412,1454011089,0,132122679,False,Avenida Lívio Veneziani,residential,False,249.132,"LINESTRING (-45.8530138 -23.2093152, -45.8528271 -23.2093278, -45.8523953 -23.2093931, -45.8519997 -23.2094966, -45.8511287 -23.2098219, -45.8506892 -23.2099513)",0.09733345688702835,,
1454008413,1454006785,0,132119124,False,Avenida das Curruiras,residential,False,30.524,"LINESTRING (-45.8529603 -23.2112141, -45.8526658 -23.2112599)",0.03739688577600664,,
1454008413,1454012726,0,132119316,False,Rua dos Macucos,residential,False,61.342,"LINESTRING (-45.8529603 -23.2112141, -45.8528867 -23.2106666)",0.06744876155590442,,
1454008413,1454006738,0,132119124,False,Avenida das Curruiras,residential,True,175.616,"LINESTRING (-45.8529603 -23.2112141, -45.85329 -23.211228, -45.8534963 -23.2112534, -45.8537304 -23.2113223, -45.8540623 -23.2114275, -45.8543184 -23.2115667, -45.8544694 -23.2116828, -45.8545376 -23.2117353)",0.01974773242630386,,
1454008414,1454012664,0,132119316,False,Rua dos Macucos,residential,True,59.249,"LINESTRING (-45.8527484 -23.2096016, -45.8528205 -23.2101303)",0.026990779875395252,,
1454008414,1454006767,0,132119122,False,Avenida dos Tangarás,residential,False,276.56399999999996,"LINESTRING (-45.8527484 -23.2096016, -45.8529647 -23.2095822, -45.8531945 -23.2095783, -45.8535197 -23.2095962, -45.8538695 -23.2096482, -45.8542751 -23.2097534, -45.8544955 -23.2098159, -45.8547691 -23.2099286, -45.8550601 -23.2100839, -45.8553087 -23.210222)",0.07131928587285732,,
1454008414,1454012811,0,132119122,False,Avenida dos Tangarás,residential,True,270.861,"LINESTRING (-45.8527484 -23.2096016, -45.8524344 -23.2096519, -45.8518983 -23.2097838, -45.851216 -23.210002, -45.850216 -23.2103089)",0.012214045874760165,,
1454011088,1454011089,0,132119446,False,Rua Goiabeiras,residential,False,288.787,"LINESTRING (-45.8486362 -23.2081667, -45.8506892 -23.2099513)",0.0038003663003663003,,
1454011088,8982529158,0,132119314,False,Rua Poncãs,residential,False,210.89299999999997,"LINESTRING (-45.8486362 -23.2081667, -45.8487909 -23.2079545, -45.8489834 -23.2076904, -45.849102 -23.2075277, -45.8491967 -23.2074096, -45.8493318 -23.2072869, -45.8494941 -23.2071922, -45.8497747 -23.2071055, -45.8500566 -23.2070915, -45.8501601 -23.2071148)",0.05189946957804098,,
1454011088,1454008402,0,132119314,False,Rua Poncãs,residential,True,313.01599999999996,"LINESTRING (-45.8486362 -23.2081667, -45.8474855 -23.2097555, -45.8474533 -23.2098343, -45.8474413 -23.2099095, -45.8474346 -23.2099884, -45.8474359 -23.2100673, -45.847635 -23.2106263)",0.06373626373626373,,
1454011089,1454011088,0,132119446,False,Rua Goiabeiras,residential,True,288.787,"LINESTRING (-45.8506892 -23.2099513, -45.8486362 -23.2081667)",0.019439211582068728,,
1454011089,1454008402,0,132122679,False,Avenida Lívio Veneziani,residential,False,321.701,"LINESTRING (-45.8506892 -23.2099513, -45.8502067 -23.2101114, -45.8496387 -23.2102664, -45.8485276 -23.2104728, -45.8480287 -23.2105418, -45.8477484 -23.2105998, -45.847635 -23.2106263)",0.08266683382754814,,
1454011089,1454008412,0,132122679,False,Avenida Lívio Veneziani,residential,True,249.132,"LINESTRING (-45.8506892 -23.2099513, -45.8511287 -23.2098219, -45.8519997 -23.2094966, -45.8523953 -23.2093931, -45.8528271 -23.2093278, -45.8530138 -23.2093152)",0.02524899703471132,,
1454011096,2061117199,0,132119546,False,Rua Tuiras,residential,False,105.171,"LINESTRING (-45.8481896 -23.2112869, -45.8491996 -23.2111054)",0.08119996075353218,,
1454011096,1454021600,0,312091244,False,Rua dos Jaburus,residential,False,28.685,"LINESTRING (-45.8481896 -23.2112869, -45.8481239 -23.2110361)",0.1445914138771282,,
1454011096,1454012747,0,"[312091244, 132119310]",False,Rua dos Jaburus,residential,True,85.254,"LINESTRING (-45.8481896 -23.2112869, -45.8482124 -23.2114256, -45.8482452 -23.2115051, -45.8482788 -23.211547, -45.8487518 -23.2117717)",0.057790499335828985,,
1454012659,2061117199,0,132119546,False,Rua Tuiras,residential,True,124.789,"LINESTRING (-45.8503877 -23.2108463, -45.8491996 -23.2111054)",0.06348330571544859,,
1454012659,1454012811,0,312091245,False,Rua das Jacutingas,residential,False,62.279,"LINESTRING (-45.8503877 -23.2108463, -45.850216 -23.2103089)",0.021327822309965164,,
1454012659,1454012743,0,312091245,False,Rua das Jacutingas,residential,True,60.836,"LINESTRING (-45.8503877 -23.2108463, -45.8505721 -23.2113665)",0.0734856118647327,,
1454012659,1454012664,0,132119546,False,Rua Tuiras,residential,False,261.47999999999996,"LINESTRING (-45.8503877 -23.2108463, -45.8514249 -23.2105138, -45.8521431 -23.210272, -45.852521 -23.21018, -45.8528205 -23.2101303)",0.08081409890475817,,
1454012664,1454008414,0,132119316,False,Rua dos Macucos,residential,False,59.249,"LINESTRING (-45.8528205 -23.2101303, -45.8527484 -23.2096016)",0.05931061002489576,,
1454012664,1454012726,0,132119316,False,Rua dos Macucos,residential,True,60.016,"LINESTRING (-45.8528205 -23.2101303, -45.8528867 -23.2106666)",0.0442206389459137,,
1454012664,1454012686,0,132119546,False,Rua Tuiras,residential,False,274.278,"LINESTRING (-45.8528205 -23.2101303, -45.8532191 -23.2101227, -45.8535121 -23.2101397, -45.8537967 -23.2101809, -45.8541123 -23.2102757, -45.854345 -23.210348, -45.8546852 -23.2104996, -45.8549924 -23.2106806, -45.8552934 -23.210898)",0.06870857317285889,,
1454012664,1454012659,0,132119546,False,Rua Tuiras,residential,True,261.48,"LINESTRING (-45.8528205 -23.2101303, -45.852521 -23.21018, -45.8521431 -23.210272, -45.8514249 -23.2105138, -45.8503877 -23.2108463)",0.050943005407291124,,
1454012686,1454045031,0,132121717,False,Travessa Sarah Suzan Sacilotti de Oliveira,residential,False,36.584,"LINESTRING (-45.8552934 -23.210898, -45.85539 -23.2112148)",0.034230551194836915,,
1454012686,3179135092,0,312091239,False,Avenida das Sairas,residential,False,35.155,"LINESTRING (-45.8552934 -23.210898, -45.855078 -23.2111445)",0.007600732600732601,,
1454012686,1454006737,0,312091239,False,Avenida das Sairas,residential,True,39.501,"LINESTRING (-45.8552934 -23.210898, -45.8555415 -23.2106256)",0.03592032967032967,,
1454012686,1454012664,0,132119546,False,Rua Tuiras,residential,True,274.278,"LINESTRING (-45.8552934 -23.210898, -45.8549924 -23.2106806, -45.8546852 -23.2104996, -45.854345 -23.210348, -45.8541123 -23.2102757, -45.8537967 -23.2101809, -45.8535121 -23.2101397, -45.8532191 -23.2101227, -45.8528205 -23.2101303)",0.04724358974358974,,
1454012689,3179135092,0,312091239,False,Avenida das Sairas,residential,True,23.679,"LINESTRING (-45.8549289 -23.2113075, -45.855078 -23.2111445)",0.018013038548752837,,
1454012689,1454012726,0,132119547,False,Rua dos Mutuns,residential,False,226.24300000000002,"LINESTRING (-45.8549289 -23.2113075, -45.8547369 -23.2111754, -45.8545437 -23.2110558, -45.8543023 -23.2109227, -45.8541079 -23.210845, -45.8539188 -23.210781, -45.8536814 -23.2107169, -45.8534105 -23.210675, -45.8530982 -23.2106677, -45.8528867 -23.2106666)",0.030196886446886447,,
1454012689,1454006738,0,312091239,False,Avenida das Sairas,residential,False,62.147,"LINESTRING (-45.8549289 -23.2113075, -45.8545944 -23.2116764, -45.8545376 -23.2117353)",0.02532530961102391,,
1454012726,1454012664,0,132119316,False,Rua dos Macucos,residential,False,60.016,"LINESTRING (-45.8528867 -23.2106666, -45.8528205 -23.2101303)",0.06813435902721621,,
