u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,junction,bridge
1446670989,1454044981,0,312071903,True,Avenida dos Astronautas,secondary,60,False,46.913,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",0.007033399234111807,,
1446670989,3178889265,0,312071905,True,Rua Professor Waldemar Ramos,residential,,False,24.064,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",0.002226587414675189,,
1446671022,1454044978,0,132121716,False,Rua Chackler Elhage,residential,,False,59.529,"LINESTRING (-45.8569899 -23.2107427, -45.8569067 -23.210743, -45.8564079 -23.2107636)",0.002331815693884659,,
1446671022,1454044940,0,312071903,True,Avenida dos Astronautas,secondary,60,False,55.304,"LINESTRING (-45.8569899 -23.2107427, -45.8569819 -23.2104375, -45.8569805 -23.2103828, -45.8569939 -23.210246)",0.019026622792494344,,
1446671028,1446671007,0,312071903,True,Avenida dos Astronautas,secondary,60,False,104.46100000000001,"LINESTRING (-45.8570945 -23.2098454, -45.8571415 -23.209737, -45.85723 -23.2095484, -45.8575321 -23.208997)",0.0005115813305468476,,
1446671028,1454006732,0,312091236,True,,secondary_link,,False,34.324999999999996,"LINESTRING (-45.8570945 -23.2098454, -45.857075 -23.2097778, -45.8570638 -23.209742, -45.8570486 -23.2097058, -45.8570352 -23.2096855, -45.8570137 -23.2096621, -45.8569882 -23.2096467, -45.8569483 -23.2096368, -45.8569025 -23.209641)",0.02247396567949239,,
1453977323,2061127781,0,664316342,False,Rua Hermino José Friggi,residential,,False,50.818,"LINESTRING (-45.8521257 -23.2045148, -45.8524548 -23.2048574)",0.008234135061833226,,
1453977323,1453987200,0,664316342,False,Rua Hermino José Friggi,residential,,True,44.557,"LINESTRING (-45.8521257 -23.2045148, -45.8518151 -23.2042336)",0.0042730258247499625,,
1453977323,2061127780,0,670135220,False,Rua Orlando Saes,residential,,True,135.046,"LINESTRING (-45.8521257 -23.2045148, -45.8531043 -23.2036987)",0.0008884951814866725,,
1453977330,1453990675,0,132115207,False,Rua Capricórnio,residential,,False,45.026,"LINESTRING (-45.8570057 -23.2052802, -45.8566103 -23.2051016)",0.018630211655290024,,
1453977330,1453987113,0,132115207,False,Rua Capricórnio,residential,,True,61.792,"LINESTRING (-45.8570057 -23.2052802, -45.8574799 -23.2055025, -45.8575443 -23.2055327)",0.0042730258247499625,,
