u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,junction,bridge
1446748375,3178886311,0,877791480,True,,residential,,False,18.209,"LINESTRING (-45.8558256 -23.2223495, -45.8558707 -23.2223141, -45.8559236 -23.2222891, -45.8559812 -23.2222758)",1.378537096433265e-05,circular,
1453950123,1453950300,0,885743516,False,Rua Teodomiro Costa,residential,,False,174.952,"LINESTRING (-45.864265 -23.1958164, -45.8639127 -23.1973561)",0.002109161757542895,,
1453950293,4453703042,0,132214755,False,Rua Raul Franco Martins,residential,,False,85.06,"LINESTRING (-45.8639126 -23.198817, -45.8639296 -23.1995818)",0.0033746588120686324,,
1453950293,1453961350,0,132216058,False,Rua Raul Franco Martins,residential,,True,28.997,"LINESTRING (-45.8639126 -23.198817, -45.8640501 -23.1985889)",0.034840227550523385,,
1453950293,1453969481,0,132113592,False,Rua Avião Brasília,residential,,False,166.38,"LINESTRING (-45.8639126 -23.198817, -45.8637972 -23.199014, -45.8633106 -23.1995452, -45.8630825 -23.1999738, -45.863017 -23.2000549)",0.0431490535576979,,
1453950300,1453958821,0,132112834,False,Rua Edésio José de Melo,residential,,False,59.782,"LINESTRING (-45.8639127 -23.1973561, -45.8633836 -23.1971269)",0.016592991517401734,,
1453950300,1453957518,0,132214760,False,Rua Teodomiro Costa,residential,,False,117.254,"LINESTRING (-45.8639127 -23.1973561, -45.8634198 -23.1983083)",0.020508036871272204,,
1453950300,1453950123,0,885743516,False,Rua Teodomiro Costa,residential,,True,174.952,"LINESTRING (-45.8639127 -23.1973561, -45.864265 -23.1958164)",0.002122947128507228,,
1453957518,1453958828,0,132113017,False,Rua Brasílio Cursino,residential,,False,97.276,"LINESTRING (-45.8634198 -23.1983083, -45.8625623 -23.1979287)",0.01035281359421382,,
1453957518,1453961350,0,132113017,False,Rua Brasílio Cursino,residential,,True,71.578,"LINESTRING (-45.8634198 -23.1983083, -45.8640501 -23.1985889)",0.032643758443539714,,
1453957518,1453950300,0,132214760,False,Rua Teodomiro Costa,residential,,True,117.254,"LINESTRING (-45.8634198 -23.1983083, -45.8639127 -23.1973561)",0.02064589058091553,,
1453958821,1453950300,0,132112834,False,Rua Edésio José de Melo,residential,,True,59.782,"LINESTRING (-45.8633836 -23.1971269, -45.8639127 -23.1973561)",0.016482708549687072,,
1453958821,1453960064,0,132112940,False,Rua José Martins Xavier,residential,,True,23.356,"LINESTRING (-45.8633836 -23.1971269, -45.863447 -23.1969251)",0.012599829061400041,,
1453958821,1453960082,0,132214757,False,Rua José Martins Xavier,residential,,False,31.711,"LINESTRING (-45.8633836 -23.1971269, -45.8631433 -23.1973073)",0.0022470154671862218,,
1453958828,1453957518,0,132113017,False,Rua Brasílio Cursino,residential,,True,97.276,"LINESTRING (-45.8625623 -23.1979287, -45.8634198 -23.1983083)",0.010283886739392156,,
1453958828,1453960087,0,132214757,False,Rua José Martins Xavier,residential,,True,39.286,"LINESTRING (-45.8625623 -23.1979287, -45.8626554 -23.1978709, -45.8628366 -23.1976844)",0.0062539632941522455,,
1453958828,1454889053,0,132214758,False,Rua das Cidreiras,residential,,False,156.253,"LINESTRING (-45.8625623 -23.1979287, -45.8623617 -23.1979408, -45.8622149 -23.1979044, -45.8611533 -23.1974399)",0.002122947128507228,,
1453960044,1453960056,0,132112940,False,Rua José Martins Xavier,residential,,False,50.521,"LINESTRING (-45.863782 -23.1960891, -45.8636128 -23.196516)",0.0042091332677762355,,
1453960044,1453960046,0,132112966,False,Rua das Macieiras,residential,,False,170.725,"LINESTRING (-45.863782 -23.1960891, -45.8623625 -23.1955328, -45.8622353 -23.1955296)",0.002122947128507228,,
1453960046,1453960044,0,132112966,False,Rua das Macieiras,residential,,True,170.725,"LINESTRING (-45.8622353 -23.1955296, -45.8623625 -23.1955328, -45.863782 -23.1960891)",0.002109161757542895,,
1453960056,1453960064,0,132112940,False,Rua José Martins Xavier,residential,,False,48.544,"LINESTRING (-45.8636128 -23.196516, -45.863447 -23.1969251)",0.008381505546314252,,
1453960056,1453960044,0,132112940,False,Rua José Martins Xavier,residential,,True,50.521,"LINESTRING (-45.8636128 -23.196516, -45.863782 -23.1960891)",0.004236704009704901,,
1453960056,1453960060,0,132112967,False,Rua Zenaide Pereira de Faria,residential,,False,168.343,"LINESTRING (-45.8636128 -23.196516, -45.862102 -23.195913)",0.002122947128507228,,
1453960060,1453960056,0,132112967,False,Rua Zenaide Pereira de Faria,residential,,True,168.343,"LINESTRING (-45.862102 -23.195913, -45.8636128 -23.196516)",0.002109161757542895,,
