osmid,y,x,street_count,dc,cc,nbc,com,ref,highway,geometry
1434769669,-23.1952891,-45.8715213,3,0.002442002442002442,0.001221001221001221,0.0005993553670815285,10.55750071398946,,,POINT (-45.8715213 -23.1952891)
1434769703,-23.1967287,-45.8739872,3,0.002442002442002442,0.0,0.0,10.638903111912349,147,motorway_junction,POINT (-45.8739872 -23.1967287)
1434786546,-23.1891115,-45.8738027,3,0.003663003663003663,0.023836817383843953,0.0014482845778689304,23.184099041612065,,,POINT (-45.8738027 -23.1891115)
1434786547,-23.1886102,-45.8736854,3,0.003663003663003663,0.026214733997260584,0.017828583170881464,23.82598118988786,,,POINT (-45.8736854 -23.1886102)
1437646813,-23.1889547,-45.8735531,3,0.003663003663003663,0.02502654719886501,0.019116605119050112,24.34875220922917,,traffic_signals,POINT (-45.8735531 -23.1889547)
1437646822,-23.1875174,-45.872785,3,0.007326007326007326,0.02619910983872442,0.0048019082248911115,15.468209830417413,,,POINT (-45.872785 -23.1875174)
1437650653,-23.19231,-45.8739269,3,0.007326007326007326,0.027006598274261592,0.007110254818078778,21.79904953172642,,,POINT (-45.8739269 -23.19231)
1437650655,-23.1914838,-45.8721561,3,0.007326007326007326,0.027695730205443532,0.03008945266192909,23.92252579696994,,,POINT (-45.8721561 -23.1914838)
1437650656,-23.1910426,-45.8712921,3,0.004884004884004884,0.02836389863203743,0.04026568184793822,23.96651154266484,,,POINT (-45.8712921 -23.1910426)
1437650668,-23.1888445,-45.8736688,4,0.004884004884004884,0.02563299586106376,0.016924425298508437,31.998181884695292,,traffic_signals,POINT (-45.8736688 -23.1888445)
1437650673,-23.189311,-45.8731551,3,0.004884004884004884,0.02510117747095096,0.02028492942743729,23.523455380670796,,,POINT (-45.8731551 -23.189311)
1437650675,-23.1897133,-45.8727173,3,0.004884004884004884,0.025694593629905702,0.01697291563690446,23.821507361437117,,,POINT (-45.8727173 -23.1897133)
1437650677,-23.1901618,-45.8722338,3,0.004884004884004884,0.026317622359531553,0.015857118974478387,22.251044589553103,,,POINT (-45.8722338 -23.1901618)
1437650678,-23.1905958,-45.8717669,3,0.004884004884004884,0.02697621343422714,0.010182573018758839,21.234594111750212,,,POINT (-45.8717669 -23.1905958)
1437650697,-23.1909822,-45.8726433,3,0.007326007326007326,0.02700014728678779,0.027423571564333015,25.950124211767942,,,POINT (-45.8726433 -23.1909822)
1437650703,-23.1917807,-45.8736731,3,0.007326007326007326,0.02633075927585079,0.002951449528466643,21.689086152326418,,,POINT (-45.8736731 -23.1917807)
1437650725,-23.1902793,-45.8743428,3,0.003663003663003663,0.025043974053279617,0.002695855263092427,14.82158878465329,,,POINT (-45.8743428 -23.1902793)
1437658976,-23.1954235,-45.8728885,3,0.006105006105006105,0.02559899434596125,0.0022135327060230988,20.297429704765648,,,POINT (-45.8728885 -23.1954235)
1437658977,-23.1937843,-45.8744457,3,0.003663003663003663,0.02623646515814431,0.0006460083040592993,14.80646251196346,,,POINT (-45.8744457 -23.1937843)
1437658978,-23.1943781,-45.8738864,3,0.004884004884004884,0.025594026079227436,0.0001630524945229801,19.24510979314728,,,POINT (-45.8738864 -23.1943781)
1437658979,-23.1948049,-45.8734803,3,0.004884004884004884,0.025583268114307948,0.000891562610039732,21.682802476150666,,,POINT (-45.8734803 -23.1948049)
1437658980,-23.195216,-45.8730872,4,0.007326007326007326,0.026243426740939175,0.0060311019881400625,25.904240357675516,,,POINT (-45.8730872 -23.195216)
1437658984,-23.1955318,-45.8731253,3,0.002442002442002442,0.025642722956271593,0.0,15.364134076791348,,,POINT (-45.8731253 -23.1955318)
1437658985,-23.1942711,-45.8720744,3,0.007326007326007326,0.0269183954629964,0.013711390160918642,22.07948866529348,,,POINT (-45.8720744 -23.1942711)
1437658986,-23.1938992,-45.8716492,3,0.007326007326007326,0.027626106499050878,0.018089351690469026,21.00581621408927,,,POINT (-45.8716492 -23.1938992)
1437658987,-23.1929535,-45.8726735,3,0.007326007326007326,0.027658940687220475,0.008306034821053894,24.633275350375865,,,POINT (-45.8726735 -23.1929535)
1437658988,-23.1924238,-45.8715406,3,0.007326007326007326,0.029136813825280463,0.02908060232545034,24.076086269266828,,,POINT (-45.8715406 -23.1924238)
1437658989,-23.1921577,-45.8709714,3,0.007326007326007326,0.029912268117318775,0.03776736306861994,24.055954979373745,,,POINT (-45.8709714 -23.1921577)
1437658990,-23.1915753,-45.8698476,4,0.007326007326007326,0.031558683640687465,0.1480210220692244,32.941709978800716,,traffic_signals,POINT (-45.8698476 -23.1915753)
1437658993,-23.1923977,-45.8741053,3,0.004884004884004884,0.026331635536600756,0.0008976025785316741,15.3480012066843,,,POINT (-45.8741053 -23.1923977)
1437658994,-23.1934944,-45.8729401,3,0.007326007326007326,0.026275672176113846,0.001776596580997558,21.394272307549848,,,POINT (-45.8729401 -23.1934944)
1437658995,-23.1938775,-45.8725067,3,0.007326007326007326,0.026262590156642198,0.003966754193788771,21.213011197306262,,,POINT (-45.8725067 -23.1938775)
1437658996,-23.1918463,-45.8729236,4,0.009768009768009768,0.027713190999941024,0.038270366972777047,31.68632593209685,,,POINT (-45.8729236 -23.1918463)
1437658997,-23.193275,-45.8714605,3,0.007326007326007326,0.027652174328626416,0.001102016959509076,23.61461794989302,,,POINT (-45.8714605 -23.193275)
1437658999,-23.1936724,-45.8718877,3,0.007326007326007326,0.026946814570694963,0.00208806633012012,21.979462021920295,,,POINT (-45.8718877 -23.1936724)
