osmid,y,x,street_count,dc,cc,nbc,com,highway,ref,geometry
1437659008,-23.1927582,-45.8694539,3,0.0034662045060658577,0.0017331022530329288,0.0017120402464856537,8.439817302630198,,,POINT (-45.8694539 -23.1927582)
1437659009,-23.193493,-45.8694306,3,0.0034662045060658577,0.02973856069054835,0.001718057962642018,6.614207550160901,,,POINT (-45.8694306 -23.193493)
1437659020,-23.1938019,-45.8695602,3,0.0017331022530329288,0.028970690622608992,0.0,3.9632818367547182,,,POINT (-45.8695602 -23.1938019)
1437659085,-23.1945142,-45.8671338,3,0.005199306759098786,0.03588652323690529,0.023505199306759098,16.846292111571294,,,POINT (-45.8671338 -23.1945142)
1437661738,-23.1947219,-45.8676265,3,0.0034662045060658577,0.00415944540727903,0.010181975736568457,12.500251584195631,,,POINT (-45.8676265 -23.1947219)
1437668168,-23.193067,-45.8691192,3,0.005199306759098786,0.004814172925091469,0.008500024070864625,15.760323633756707,,,POINT (-45.8691192 -23.193067)
1437668193,-23.1928182,-45.8690082,3,0.006932409012131715,0.00396137657836098,0.0017120402464856537,14.324914770748729,,,POINT (-45.8690082 -23.1928182)
1437668199,-23.1929401,-45.869261,3,0.005199306759098786,0.002310803004043905,0.003418062776814943,14.97917638924429,,,POINT (-45.869261 -23.1929401)
1437668208,-23.1921144,-45.8676013,3,0.006932409012131715,0.03443805613605929,0.01522181301752359,17.337223008617723,,,POINT (-45.8676013 -23.1921144)
1437668220,-23.1918974,-45.8658661,3,0.006932409012131715,0.03222331329739768,0.006872231850568072,15.370056482866064,,,POINT (-45.8658661 -23.1918974)
1437668225,-23.1926032,-45.8672987,3,0.010398613518197573,0.03329787307866511,0.010218082033506643,14.807175942062134,,,POINT (-45.8672987 -23.1926032)
1437668258,-23.1926438,-45.8664561,3,0.005199306759098786,0.03141718468892464,0.005136120739456961,13.588628916598319,,,POINT (-45.8664561 -23.1926438)
1437681454,-23.1918835,-45.8671394,3,0.006932409012131715,0.03329986314997031,0.0017962882726747544,15.112171661913736,,,POINT (-45.8671394 -23.1918835)
1437681456,-23.1913908,-45.8674137,3,0.006932409012131715,0.03329190429166487,6.61948777200077e-05,11.129551645363119,,,POINT (-45.8674137 -23.1913908)
1437681458,-23.191625,-45.866628,3,0.0034662045060658577,0.0322158606663951,7.221259387637204e-05,11.66236877900668,,,POINT (-45.866628 -23.191625)
1437681459,-23.191819,-45.8695682,3,0.0017331022530329288,0.0333815153004475,0.0,5.857087356958474,,,POINT (-45.8695682 -23.191819)
1437681460,-23.1922309,-45.8691359,3,0.006932409012131715,0.034431671624354426,0.0033909830541113037,13.42166543017932,,,POINT (-45.8691359 -23.1922309)
1437689817,-23.1919238,-45.8650608,3,0.0034662045060658577,0.0,0.0,9.187488905911781,,,POINT (-45.8650608 -23.1919238)
1437698178,-23.1918548,-45.8657795,3,0.005199306759098786,0.00389948006932409,6.0177161563643366e-06,7.514401152630754,,,POINT (-45.8657795 -23.1918548)
1437698184,-23.1915972,-45.865258,3,0.006932409012131715,0.00389948006932409,9.026574234546504e-06,6.245096719975867,,,POINT (-45.865258 -23.1915972)
1437698186,-23.1913291,-45.8647237,3,0.0034662045060658577,0.0025996533795493936,0.0,3.8865541744716077,,,POINT (-45.8647237 -23.1913291)
1446670972,-23.1949238,-45.8658229,3,0.005199306759098786,0.037002852275266764,0.03250692658233459,18.67371637372808,motorway_junction,,POINT (-45.8658229 -23.1949238)
1446670988,-23.2182371,-45.8540288,4,0.006932409012131715,0.0492838099616951,0.0759715706979122,31.974131228031492,,,POINT (-45.8540288 -23.2182371)
1446670989,-23.2140414,-45.8569489,4,0.006932409012131715,0.055462142659791665,0.00815865559807592,31.409292684045955,,,POINT (-45.8569489 -23.2140414)
1446671002,-23.2230937,-45.8560897,3,0.005199306759098786,0.03768741545396648,0.003539921528981321,25.0160643786375,,,POINT (-45.8560897 -23.2230937)
1446671007,-23.208997,-45.8575321,3,0.005199306759098786,0.06297182629214709,0.15675593987581543,23.61697685984626,,,POINT (-45.8575321 -23.208997)
1446671010,-23.2000514,-45.8639063,3,0.005199306759098786,0.04041064248707101,0.0157307565854829,21.125560869817605,,,POINT (-45.8639063 -23.2000514)
1446671013,-23.2192006,-45.854189,3,0.005199306759098786,0.0424502256630685,0.03262354371269016,26.697558414221074,,,POINT (-45.854189 -23.2192006)
1446671015,-23.203508,-45.8612975,3,0.006932409012131715,0.05183979662250484,0.08997731656240641,23.653256814206173,,,POINT (-45.8612975 -23.203508)
1446671018,-23.2055917,-45.8605262,4,0.008665511265164644,0.05785791556086258,0.14855647084080545,29.2954930029097,,,POINT (-45.8605262 -23.2055917)
1446671019,-23.2003589,-45.8636959,3,0.005199306759098786,0.04215297388619886,0.01571571229509199,24.923297498265722,,,POINT (-45.8636959 -23.2003589)
1446671022,-23.2107427,-45.8569899,3,0.006932409012131715,0.05466424835155469,0.054413894743479865,24.564631690555455,,,POINT (-45.8569899 -23.2107427)
1446671027,-23.1955056,-45.8656856,3,0.005199306759098786,0.03845290304267476,0.03249188229194367,19.51118935455285,traffic_signals,,POINT (-45.8656856 -23.1955056)
1446671028,-23.2098454,-45.8570945,3,0.005199306759098786,0.05293590535456848,0.07933429005761433,21.761342351884398,,,POINT (-45.8570945 -23.2098454)
1446674016,-23.2227214,-45.8558953,3,0.005199306759098786,0.039207047061367545,0.004153728576930483,26.468382874085723,,,POINT (-45.8558953 -23.2227214)
1446674017,-23.2227145,-45.8561454,5,0.008665511265164644,0.04251760162634612,0.02305086173695359,43.55635653603532,,,POINT (-45.8561454 -23.2227145)
1446674018,-23.2237976,-45.8606049,3,0.005199306759098786,0.039089763468086056,0.005015766416329674,11.48131046624882,,,POINT (-45.8606049 -23.2237976)
1446674020,-23.2237295,-45.8604587,3,0.005199306759098786,0.04073323942017695,0.005000722125938764,20.518435962187617,,,POINT (-45.8604587 -23.2237295)
1446674021,-23.2238706,-45.8605319,3,0.005199306759098786,0.037573763804866225,0.005030810706720585,12.060379978519867,,,POINT (-45.8605319 -23.2238706)
