osmid,y,x,highway,street_count,dc,cc,nbc,com,geometry
1446670972,-23.1949238,-45.8658229,motorway_junction,3,0.003883495145631068,0.03965692190380124,0.001941747572815534,8.333546907000297,POINT (-45.8658229 -23.1949238)
1446670988,-23.2182371,-45.8540288,,4,0.007766990291262136,0.05322043329076992,0.08552014203439928,31.94209667705271,POINT (-45.8540288 -23.2182371)
1446670989,-23.2140414,-45.8569489,,4,0.007766990291262136,0.06072955658895257,0.009248657670652393,31.40880487064763,POINT (-45.8569489 -23.2140414)
1446671002,-23.2230937,-45.8560897,,3,0.005825242718446602,0.04023098214402643,0.0038532733935249894,23.282024842125235,POINT (-45.8560897 -23.2230937)
1446671007,-23.208997,-45.8575321,,3,0.005825242718446602,0.06920036412735978,0.15923750753503854,23.616976327445155,POINT (-45.8575321 -23.208997)
1446671010,-23.2000514,-45.8639063,,3,0.005825242718446602,0.04323252625862594,0.006465880901111908,20.854905285119695,POINT (-45.8639063 -23.2000514)
1446671013,-23.2192006,-45.854189,,3,0.005825242718446602,0.045649686500510045,0.03568433379925201,26.149067939097765,POINT (-45.854189 -23.2192006)
1446671015,-23.203508,-45.8612975,,3,0.007766990291262136,0.05637436824117912,0.08033380885769466,23.653052050822623,POINT (-45.8612975 -23.203508)
1446671018,-23.2055917,-45.8605262,,4,0.009708737864077669,0.06329975879664981,0.1483003686298019,29.295461798650518,POINT (-45.8605262 -23.2055917)
1446671019,-23.2003589,-45.8636959,,3,0.005825242718446602,0.04516980560901247,0.006462103182098648,24.85487487501997,POINT (-45.8636959 -23.2003589)
1446671022,-23.2107427,-45.8569899,,3,0.007766990291262136,0.059678798018027904,0.06150795316058538,24.564625510072904,POINT (-45.8569899 -23.2107427)
1446671027,-23.1955056,-45.8656856,traffic_signals,3,0.005825242718446602,0.04113731822494697,0.003875939707604548,14.953606953102842,POINT (-45.8656856 -23.1955056)
1446671028,-23.2098454,-45.8570945,,3,0.005825242718446602,0.05770897654918792,0.0837546629818107,21.76133672940728,POINT (-45.8570945 -23.2098454)
1446674016,-23.2227214,-45.8558953,,3,0.005825242718446602,0.04194846264260487,0.00475425937818745,25.89528407095686,POINT (-45.8558953 -23.2227214)
1446674017,-23.2227145,-45.8561454,,5,0.009708737864077669,0.04572791016965774,0.02849911223603188,42.95376149316048,POINT (-45.8561454 -23.2227145)
1446674018,-23.2237976,-45.8606049,,3,0.005825242718446602,0.04189300735034,0.005772354652260964,11.471829612373803,POINT (-45.8606049 -23.2237976)
