osmid,y,x,street_count,dc,cc,nbc,vulnerability,com,ref,highway,geometry
1434769556,-23.1963241,-45.8745623,3,0.0019665683382497543,0.03686534370452671,0.0,0.999427121129627,0.012182676523547657,,,POINT (-45.8745623 -23.1963241)
1434769669,-23.1952891,-45.8715213,3,0.0019665683382497543,0.0009832841691248771,0.0005815183868978029,0.9991270211208706,0.010373839003878824,,,POINT (-45.8715213 -23.1952891)
1434769703,-23.1967287,-45.8739872,3,0.0019665683382497543,0.0,0.0,0.999233199304244,0.010451177852708582,147,motorway_junction,POINT (-45.8739872 -23.1967287)
1434786543,-23.1927313,-45.8754474,4,0.003933136676499509,0.029395051168217425,0.0043294772447967644,0.9997682238750538,0.04429616008499176,,,POINT (-45.8754474 -23.1927313)
1434786546,-23.1891115,-45.8738027,3,0.0029498525073746312,0.02916082765293282,0.0019341880740784074,0.9998484019833487,0.024151371235517936,,,POINT (-45.8738027 -23.1891115)
1434786547,-23.1886102,-45.8736854,3,0.0029498525073746312,0.033146375754634354,0.018393151332275783,0.999567196122342,0.02622161693469947,,,POINT (-45.8736854 -23.1886102)
1434786551,-23.1926116,-45.8755552,5,0.004916420845624386,0.029644798999264765,0.0072053222349035715,0.9992816199076823,0.04721222765378226,,traffic_signals,POINT (-45.8755552 -23.1926116)
1434786552,-23.1933201,-45.8756332,3,0.004916420845624386,0.027744632186788735,0.0019370504571884265,0.9988641633168378,0.01855699570766308,,,POINT (-45.8756332 -23.1933201)
1434870722,-23.1960146,-45.8764127,3,0.0019665683382497543,0.026980291830543953,0.0,1.0004773527254542,0.006798775213076376,,traffic_signals,POINT (-45.8764127 -23.1960146)
1437641681,-23.1930902,-45.8756041,4,0.0058997050147492625,0.02939771424587354,0.008552943401201565,0.9999575445797078,0.03974006803114046,,,POINT (-45.8756041 -23.1930902)
1437646736,-23.1905705,-45.8746809,3,0.003933136676499509,0.03144403596814679,0.019272429309331512,0.9994869714598891,0.023353629375657773,,,POINT (-45.8746809 -23.1905705)
1437646756,-23.1886288,-45.8763831,4,0.0019665683382497543,0.02791729020756686,0.00046479298360700347,1.0004844814133036,0.013784167021874169,,,POINT (-45.8763831 -23.1886288)
1437646771,-23.1885746,-45.8755116,3,0.0029498525073746312,0.029559284290464165,0.008071159623751779,1.000017149858411,0.01947262975736854,,traffic_signals,POINT (-45.8755116 -23.1885746)
1437646780,-23.1919354,-45.8762201,3,0.0019665683382497543,0.0,0.0,1.0000479777136,0.01597446299125909,,,POINT (-45.8762201 -23.1919354)
1437646789,-23.188523,-45.8745953,3,0.0029498525073746312,0.0313710776171524,0.013508110548966935,0.9985211452469537,0.021778769750969117,,traffic_signals,POINT (-45.8745953 -23.188523)
1437646813,-23.1889547,-45.8735531,3,0.0029498525073746312,0.0313710776171524,0.009905691258689312,0.9997585399880886,0.024720124152111972,,traffic_signals,POINT (-45.8735531 -23.1889547)
1437646822,-23.1875174,-45.872785,3,0.0058997050147492625,0.03323691179411575,0.012839084091728096,0.9994682923470704,0.021941719862337644,,,POINT (-45.872785 -23.1875174)
1437650652,-23.1926963,-45.8747648,3,0.0058997050147492625,0.031880658573370114,0.012539398724535087,0.9996897967126003,0.028442958774335784,,,POINT (-45.8747648 -23.1926963)
1437650653,-23.19231,-45.8739269,3,0.0058997050147492625,0.03372045826103628,0.018321058766361968,0.9994603542320979,0.025286418195252805,,,POINT (-45.8739269 -23.19231)
1437650655,-23.1914838,-45.8721561,3,0.0058997050147492625,0.035180366070537976,0.04414009245862148,0.9989397985099704,0.023683779523577444,,,POINT (-45.8721561 -23.1914838)
1437650656,-23.1910426,-45.8712921,3,0.003933136676499509,0.03619676915066024,0.05087645081943109,0.9987540020553067,0.023574121119630958,,,POINT (-45.8712921 -23.1910426)
1437650668,-23.1888445,-45.8736688,4,0.003933136676499509,0.032319917315333874,0.009208352171155539,0.9991527482583454,0.03257390579279256,,traffic_signals,POINT (-45.8736688 -23.1888445)
1437650673,-23.189311,-45.8731551,3,0.003933136676499509,0.031105441894742344,0.01083657851347403,0.9997684919506784,0.02508587039093363,,,POINT (-45.8731551 -23.189311)
1437650675,-23.1897133,-45.8727173,3,0.003933136676499509,0.03186709144748777,0.009294497764642636,0.9998998822685875,0.024394369088693975,,,POINT (-45.8727173 -23.1897133)
1437650677,-23.1901618,-45.8722338,3,0.003933136676499509,0.032706488023715105,0.010159795662351678,0.9996231429937781,0.022152416228055468,,,POINT (-45.8722338 -23.1901618)
1437650678,-23.1905958,-45.8717669,3,0.003933136676499509,0.0340459521399593,0.005904488708822899,0.9997404389943335,0.020895962305238953,,,POINT (-45.8717669 -23.1905958)
1437650697,-23.1909822,-45.8726433,3,0.0058997050147492625,0.03372629952667185,0.029299199086194685,0.999599105782801,0.026300994931560483,,,POINT (-45.8726433 -23.1909822)
1437650703,-23.1917807,-45.8736731,3,0.0058997050147492625,0.032762626107692136,0.00588342481849937,0.9997557795015446,0.027275459553628284,,,POINT (-45.8736731 -23.1917807)
1437650711,-23.1913137,-45.8748266,3,0.003933136676499509,0.03095608196450715,0.0030422922179436204,0.9999015181473331,0.02628199750544042,,,POINT (-45.8748266 -23.1913137)
1437650725,-23.1902793,-45.8743428,3,0.003933136676499509,0.030999455769762648,0.015446338382445008,0.9998325274812374,0.024210084626434418,,,POINT (-45.8743428 -23.1902793)
1437658976,-23.1954235,-45.8728885,3,0.004916420845624386,0.03314750441085046,0.004623117351759982,0.9996221363254264,0.02203723089557918,,,POINT (-45.8728885 -23.1954235)
1437658977,-23.1937843,-45.8744457,3,0.003933136676499509,0.03232099038938399,0.009155726939072432,0.9991567643322967,0.02718500764906733,,,POINT (-45.8744457 -23.1937843)
1437658978,-23.1943781,-45.8738864,3,0.003933136676499509,0.03133573390645259,0.0009128635670340072,0.9995753677009225,0.022539468184867,,,POINT (-45.8738864 -23.1943781)
1437658979,-23.1948049,-45.8734803,3,0.003933136676499509,0.03162381540258767,0.0013336473402409572,0.9995739020348312,0.02267537605018359,,,POINT (-45.8734803 -23.1948049)
1437658980,-23.195216,-45.8730872,4,0.0058997050147492625,0.0333439256563746,0.006326376435602369,0.9983502080610872,0.027777719788084698,,,POINT (-45.8730872 -23.195216)
1437658984,-23.1955318,-45.8731253,3,0.0029498525073746312,0.03275465508121505,0.00010597403200706105,0.9993786194199425,0.020318358469873902,,,POINT (-45.8731253 -23.1955318)
1437658985,-23.1942711,-45.8720744,3,0.0058997050147492625,0.03345622949231386,0.010320423087172693,0.9994597698792065,0.022352666306425007,,,POINT (-45.8720744 -23.1942711)
1437658986,-23.1938992,-45.8716492,3,0.0058997050147492625,0.034073360501850065,0.014377813964515054,0.9992170822422872,0.02080522594689212,,,POINT (-45.8716492 -23.1938992)
1437658987,-23.1929535,-45.8726735,3,0.0058997050147492625,0.03422189093502975,0.016635753262588013,0.9995563258620062,0.02558497560766816,,,POINT (-45.8726735 -23.1929535)
1437658988,-23.1924238,-45.8715406,3,0.0058997050147492625,0.03636035967347165,0.02849256991182614,0.9993516323856637,0.02372658156901188,,,POINT (-45.8715406 -23.1924238)
1437658989,-23.1921577,-45.8709714,3,0.0058997050147492625,0.037509186203439154,0.034373317942729756,0.9990810997269388,0.023643424907676718,,,POINT (-45.8709714 -23.1921577)
1437658990,-23.1915753,-45.8698476,4,0.0058997050147492625,0.0401168676146813,0.15640847321732693,0.9917659459306982,0.03241541425180573,,traffic_signals,POINT (-45.8698476 -23.1915753)
1437658993,-23.1923977,-45.8741053,3,0.0058997050147492625,0.03277365618078498,0.013733845783247343,0.9997370346651873,0.025125399965054168,,,POINT (-45.8741053 -23.1923977)
1437658994,-23.1934944,-45.8729401,3,0.0058997050147492625,0.032217232907660064,0.0021223509967760903,0.9999974523267178,0.02314683230136098,,,POINT (-45.8729401 -23.1934944)
1437658995,-23.1938775,-45.8725067,3,0.0058997050147492625,0.032527262414389746,0.003879023655084552,1.0000072663816797,0.021594981101973495,,,POINT (-45.8725067 -23.1938775)
1437658996,-23.1918463,-45.8729236,4,0.007866273352999017,0.03477072220373098,0.05044964958061347,0.9983213994677722,0.032144793089917634,,,POINT (-45.8729236 -23.1918463)
1437658997,-23.193275,-45.8714605,3,0.0058997050147492625,0.03413189963668372,0.0009061622331167815,0.9999357903543348,0.023317872488786688,,,POINT (-45.8714605 -23.193275)
1437658999,-23.1936724,-45.8718877,3,0.0058997050147492625,0.03312043785852805,0.004129048936466537,0.9998483145684279,0.02188541590488319,,,POINT (-45.8718877 -23.1936724)
