u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1446670988,1454021673,0,312071903,True,Avenida dos Astronautas,secondary,60,False,222.525,"LINESTRING (-45.8540288 -23.2182371, -45.8541801 -23.2178618, -45.8542699 -23.2177099, -45.8545876 -23.2172996, -45.8552113 -23.2165742)",0.0627684432960614,0.9936185563135588,,
1446670988,1446748371,0,312135006,True,,secondary_link,60,False,40.15,"LINESTRING (-45.8540288 -23.2182371, -45.8540791 -23.2181952, -45.8541076 -23.2181764, -45.8541706 -23.2181496, -45.8542276 -23.2181493, -45.8542762 -23.2181801, -45.8543399 -23.2182562)",0.021849249932661595,0.9924395355342924,,
1446670989,1454044981,0,312071903,True,Avenida dos Astronautas,secondary,60,False,46.913,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",0.008357227146059982,0.9995395446785129,,
1446670989,3178889265,0,312071905,True,Rua Professor Waldemar Ramos,residential,,False,24.064,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",0.003514105132995187,0.9997072788132477,,
1446671002,2143249780,0,132121238,True,Avenida Doutor Amin Simão,tertiary,60,False,38.96,"LINESTRING (-45.8560897 -23.2230937, -45.8560427 -23.222746)",0.003044657728524547,0.9997545564877343,,
1446671002,1446674016,0,312071894,True,,tertiary_link,,False,46.416000000000004,"LINESTRING (-45.8560897 -23.2230937, -45.8560436 -23.2230173, -45.8560194 -23.2229217, -45.8559642 -23.222808, -45.8559424 -23.2227763, -45.8558953 -23.2227214)",0.0029993073764409046,0.9999132994267116,,
1446671007,1453987215,0,312071903,True,Avenida dos Astronautas,secondary,60,False,130.267,"LINESTRING (-45.8575321 -23.208997, -45.8581212 -23.2082652, -45.8582902 -23.2080552)",0.16127204232572548,0.9963030100522509,,
1446671010,4453703041,0,448342048,True,Avenida dos Astronautas,secondary,60,False,41.732,"LINESTRING (-45.8639063 -23.2000514, -45.8640778 -23.1997108)",0.0007754910206302874,0.9998309881193719,,
1446671010,4453703042,0,885507245,True,Rua Raul Franco Martins,residential,,False,52.384,"LINESTRING (-45.8639063 -23.2000514, -45.8639072 -23.1997227, -45.8639296 -23.1995818)",0.005605647080811578,0.9994266935962511,,
1446671013,3178886355,0,132120725,True,,secondary_link,,False,70.983,"LINESTRING (-45.854189 -23.2192006, -45.8541072 -23.2190992, -45.8540093 -23.2189563, -45.8539526 -23.2188753, -45.8539329 -23.2188472, -45.8538893 -23.2187843, -45.8538397 -23.2187319, -45.8538226 -23.2187153, -45.8537872 -23.2186819)",0.011861453300131377,0.9994432380331806,,
1446671013,1446748353,0,312071892,True,Avenida Brigadeiro Faria Lima,tertiary,60,False,47.435,"LINESTRING (-45.854189 -23.2192006, -45.8540928 -23.2189772, -45.8540697 -23.2188966, -45.8540412 -23.218797)",0.01977660141712979,0.9994251380281556,,
