u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1437646756,1439285813,0,130756788,True,,,Rua Luiz Pasteur,residential,,False,88.43299999999999,"LINESTRING (-45.8763831 -23.1886288, -45.8763593 -23.1885699, -45.8761806 -23.1878561)",0.0014365391253963323,0.9999671411010927,,
1437646771,9041604378,0,130571654,True,,,Rua Riachuelo,residential,,False,168.213,"LINESTRING (-45.8755116 -23.1885746, -45.8755413 -23.1886392, -45.876134 -23.1899255, -45.8761534 -23.1899676)",0.005218767619014504,0.9998432310129218,,
1437646771,1439289548,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,50,False,21.361,"LINESTRING (-45.8755116 -23.1885746, -45.8756157 -23.1885835, -45.8757197 -23.1885923)",0.0038091944006717025,0.9997491192234376,,
1437646780,1438307087,0,789762332,True,,,Rua Genésia Berardineli Tarantino,secondary,,False,27.921,"LINESTRING (-45.8762201 -23.1919354, -45.8760415 -23.1921254)",0.0008967377565647065,0.9997339524954039,,
1437646780,2061117155,0,130571655,True,,,Rua Tenente Aécio Lemes de Souza,residential,,False,202.994,"LINESTRING (-45.8762201 -23.1919354, -45.8761827 -23.1919222, -45.8761574 -23.1918891, -45.8754391 -23.1902957, -45.8754298 -23.1902738)",7.688743250982822e-05,0.999639973766877,,
1437646789,1439285800,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,50,False,48.128,"LINESTRING (-45.8745953 -23.188523, -45.8750656 -23.1885441)",0.014454231312435293,0.9986685170233582,,
1437646813,1437650673,0,448345146,True,,,Rua Ceci,secondary,,False,56.792,"LINESTRING (-45.8735531 -23.1889547, -45.873417 -23.1890712, -45.8731551 -23.189311)",0.010858889466735848,0.9996935054661247,,
1437646822,2311497721,0,130758295,False,,,Rua Marechal Rondon,residential,,False,35.205,"LINESTRING (-45.872785 -23.1875174, -45.8726903 -23.187213)",0.005768267010160618,0.9997796513558285,,
1437646822,2311497722,0,1008846321,False,,,Avenida Presidente Juscelino Kubitschek,secondary,50,False,37.511,"LINESTRING (-45.872785 -23.1875174, -45.8725347 -23.1872707)",0.007267398864435641,0.999787100229475,,
1437646822,1439300025,0,1008846321,False,,,Avenida Presidente Juscelino Kubitschek,secondary,50,True,107.445,"LINESTRING (-45.872785 -23.1875174, -45.8733768 -23.188316)",0.0007508533744255357,0.9991363392209623,,
