osmid,y,x,street_count,dc,cc,nbc,com,highway,geometry
1446670989,-23.2140414,-45.8569489,4,0.012048192771084338,0.05758889852558543,0.004391477639490127,28.336573528475792,,POINT (-45.8569489 -23.2140414)
1446671007,-23.208997,-45.8575321,3,0.009036144578313254,0.07952095808383233,0.05893741448982297,23.33912572314443,,POINT (-45.8575321 -23.208997)
1446671022,-23.2107427,-45.8569899,3,0.012048192771084338,0.06293838862559242,0.04449103591232265,23.92758777837147,,POINT (-45.8569899 -23.2107427)
1446671028,-23.2098454,-45.8570945,3,0.009036144578313254,0.05615696887686062,0.0456985851424759,21.125538741578666,,POINT (-45.8570945 -23.2098454)
1453969591,-23.2012756,-45.8593589,3,0.012048192771084338,0.046420581655480984,0.005996796855094092,8.349102926537004,,POINT (-45.8593589 -23.2012756)
1453969592,-23.2016957,-45.8587385,3,0.01807228915662651,0.048658947676974935,0.01202089324063626,15.039902243329902,,POINT (-45.8587385 -23.2016957)
1453977246,-23.2043934,-45.8595671,4,0.012048192771084338,0.06334668956306048,0.022020200167272602,13.2388274941086,,POINT (-45.8595671 -23.2043934)
1453977252,-23.2060502,-45.8586613,3,0.01807228915662651,0.0667068515169781,0.03411229311946513,18.150915801597662,,POINT (-45.8586613 -23.2060502)
1453977291,-23.202825,-45.8583367,4,0.024096385542168676,0.056043214044564485,0.09262958954848867,29.080464744613355,,POINT (-45.8583367 -23.202825)
1453977294,-23.2018654,-45.8575353,3,0.012048192771084338,0.0476053914539719,0.004908771650594453,21.129209263843673,,POINT (-45.8575353 -23.2018654)
1453977295,-23.2014554,-45.8572117,3,0.01807228915662651,0.04782483434168827,0.004760232091948289,23.870426968907854,,POINT (-45.8572117 -23.2014554)
1453977296,-23.2006962,-45.856577,3,0.01807228915662651,0.047408253605597604,0.005443069166611197,25.38887628455526,,POINT (-45.856577 -23.2006962)
1453977301,-23.2036041,-45.8596371,3,0.012048192771084338,0.050873429359485134,0.01619165241266941,12.744415270940372,,POINT (-45.8596371 -23.2036041)
1453977303,-23.2025477,-45.8587901,3,0.01807228915662651,0.05351386202450032,0.06370000706824192,20.967202159624154,,POINT (-45.8587901 -23.2025477)
1453977304,-23.2018751,-45.8582457,3,0.01807228915662651,0.051329622758194186,0.03883558579689417,22.78823472724781,,POINT (-45.8582457 -23.2018751)
1453977306,-23.2013042,-45.8578124,4,0.024096385542168676,0.04947101773208166,0.02345034826895857,30.47552996155649,,POINT (-45.8578124 -23.2013042)
1453977308,-23.200408,-45.8571012,4,0.024096385542168676,0.047571285284424704,0.011715217938225428,27.66636332037716,,POINT (-45.8571012 -23.200408)
1453977314,-23.2015216,-45.8585927,3,0.01807228915662651,0.04703882119580618,0.002700573844247522,21.35560970415098,,POINT (-45.8585927 -23.2015216)
1453977323,-23.2045148,-45.8521257,3,0.01807228915662651,0.053035143769968054,0.006866468184626015,21.950805162580938,,POINT (-45.8521257 -23.2045148)
1453977329,-23.2000149,-45.8567843,1,0.006024096385542169,0.0454172366621067,0.0,9.283530324535738,,POINT (-45.8567843 -23.2000149)
1453977330,-23.2052802,-45.8570057,3,0.01807228915662651,0.0610967979389032,0.0072202287117148186,23.453146948634554,,POINT (-45.8570057 -23.2052802)
1453977331,-23.2022029,-45.8571401,3,0.012048192771084338,0.04936802973977695,0.009002683078752233,20.740543340389642,,POINT (-45.8571401 -23.2022029)
1453977333,-23.2064313,-45.8522207,3,0.01807228915662651,0.0574792243767313,0.004880937959974234,25.774751367280043,,POINT (-45.8522207 -23.2064313)
1453979232,-23.2032541,-45.8580947,3,0.01807228915662651,0.05377389050858439,0.010220915750550544,23.75574631691391,,POINT (-45.8580947 -23.2032541)
1453979234,-23.2025939,-45.8566703,3,0.01807228915662651,0.05176984250740683,0.012682111302905155,21.94972587535922,,POINT (-45.8566703 -23.2025939)
1453979238,-23.2037534,-45.8578272,3,0.01807228915662651,0.055826467126282156,0.009758394115900017,25.460320848945898,,POINT (-45.8578272 -23.2037534)
1453979239,-23.2029973,-45.8562027,3,0.01807228915662651,0.053695617014394306,0.01119747816814713,25.213627453038367,,POINT (-45.8562027 -23.2029973)
