u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,junction,bridge
1453957515,1453957511,0,132110338,False,,residential,,True,66.93,"LINESTRING (-45.8648213 -23.196521, -45.8649342 -23.1959281)",0.00725291817637726,Rua Raul Franco Martins,,
1453957515,1453950300,0,132112834,False,,residential,,False,131.326,"LINESTRING (-45.8648213 -23.196521, -45.8639127 -23.1973561)",0.010628263573059278,Rua Edésio José de Melo,,
1453957515,1453961350,0,132216058,False,,residential,,False,244.888,"LINESTRING (-45.8648213 -23.196521, -45.8645638 -23.1976239, -45.8640501 -23.1985889)",0.01957183355015823,Rua Raul Franco Martins,,
1453957518,1453958828,0,132113017,False,,residential,,False,97.276,"LINESTRING (-45.8634198 -23.1983083, -45.8625623 -23.1979287)",0.00873915427539272,Rua Brasílio Cursino,,
1453957518,1453961350,0,132113017,False,,residential,,True,71.578,"LINESTRING (-45.8634198 -23.1983083, -45.8640501 -23.1985889)",0.021111559096431528,Rua Brasílio Cursino,,
1453957518,1453950300,0,132214760,False,,residential,,True,117.254,"LINESTRING (-45.8634198 -23.1983083, -45.8639127 -23.1973561)",0.010704349399878906,Rua Teodomiro Costa,,
1453958821,1453950300,0,132112834,False,,residential,,True,59.782,"LINESTRING (-45.8633836 -23.1971269, -45.8639127 -23.1973561)",0.01565875345396682,Rua Edésio José de Melo,,
1453958821,1453960064,0,132112940,False,,residential,,True,23.356,"LINESTRING (-45.8633836 -23.1971269, -45.863447 -23.1969251)",0.009114297182709919,Rua José Martins Xavier,,
1453958821,1453960082,0,132214757,False,,residential,,False,31.711,"LINESTRING (-45.8633836 -23.1971269, -45.8631433 -23.1973073)",0.0026855465600103324,Rua José Martins Xavier,,
1453958828,1453957518,0,132113017,False,,residential,,True,97.276,"LINESTRING (-45.8625623 -23.1979287, -45.8634198 -23.1983083)",0.00876173273554172,Rua Brasílio Cursino,,
1453958828,1453960087,0,132214757,False,,residential,,True,39.286,"LINESTRING (-45.8625623 -23.1979287, -45.8626554 -23.1978709, -45.8628366 -23.1976844)",0.005011199633010437,Rua José Martins Xavier,,
1453958828,1454889053,0,132214758,False,,residential,,False,156.253,"LINESTRING (-45.8625623 -23.1979287, -45.8623617 -23.1979408, -45.8622149 -23.1979044, -45.8611533 -23.1974399)",0.001922932189358019,Rua das Cidreiras,,
1453960044,1453960056,0,132112940,False,,residential,,False,50.521,"LINESTRING (-45.863782 -23.1960891, -45.8636128 -23.196516)",0.0038626727879380847,Rua José Martins Xavier,,
1453960044,1453950122,0,132112940,False,,residential,,True,143.519,"LINESTRING (-45.863782 -23.1960891, -45.8638344 -23.1959486, -45.8642372 -23.1948681)",9.470409673615814e-05,Rua José Martins Xavier,,
1453960044,1453960046,0,132112966,False,,residential,,False,170.725,"LINESTRING (-45.863782 -23.1960891, -45.8623625 -23.1955328, -45.8622353 -23.1955296)",0.001922932189358019,Rua das Macieiras,,
1453960046,1453960044,0,132112966,False,,residential,,True,170.725,"LINESTRING (-45.8622353 -23.1955296, -45.8623625 -23.1955328, -45.863782 -23.1960891)",0.001926695266049522,Rua das Macieiras,,
1453960056,1453960064,0,132112940,False,,residential,,False,48.544,"LINESTRING (-45.8636128 -23.196516, -45.863447 -23.1969251)",0.00762023030029352,Rua José Martins Xavier,,
1453960056,1453960044,0,132112940,False,,residential,,True,50.521,"LINESTRING (-45.8636128 -23.196516, -45.863782 -23.1960891)",0.0016124783623090388,Rua José Martins Xavier,,
1453960056,1453960060,0,132112967,False,,residential,,False,168.343,"LINESTRING (-45.8636128 -23.196516, -45.862102 -23.195913)",0.001922932189358019,Rua Zenaide Pereira de Faria,,
1453960060,1453960056,0,132112967,False,,residential,,True,168.343,"LINESTRING (-45.862102 -23.195913, -45.8636128 -23.196516)",0.001926695266049522,Rua Zenaide Pereira de Faria,,
1453960064,1453958821,0,132112940,False,,residential,,False,23.356,"LINESTRING (-45.863447 -23.1969251, -45.8633836 -23.1971269)",0.011379543915104989,Rua José Martins Xavier,,
1453960064,1453960056,0,132112940,False,,residential,,True,48.544,"LINESTRING (-45.863447 -23.1969251, -45.8636128 -23.196516)",0.005362509721281403,Rua José Martins Xavier,,
1453960064,1453960077,0,132112968,False,,residential,,False,170.62599999999998,"LINESTRING (-45.863447 -23.1969251, -45.8620095 -23.196357, -45.8619327 -23.1962916)",0.001922932189358019,Rua das Figueiras,,
1453960077,1453960064,0,132112968,False,,residential,,True,170.62599999999998,"LINESTRING (-45.8619327 -23.1962916, -45.8620095 -23.196357, -45.863447 -23.1969251)",0.001926695266049522,Rua das Figueiras,,
1453960082,1453960083,0,132112971,False,,residential,,False,160.318,"LINESTRING (-45.8631433 -23.1973073, -45.861713 -23.1967154)",0.001922932189358019,Rua das Amoeiras,,
1453960082,1453958821,0,132214757,False,,residential,,True,31.711,"LINESTRING (-45.8631433 -23.1973073, -45.8633836 -23.1971269)",0.002685546560010321,Rua José Martins Xavier,,
1453960082,1453960087,0,132214757,False,,residential,,False,52.379999999999995,"LINESTRING (-45.8631433 -23.1973073, -45.8629179 -23.1975953, -45.8628366 -23.1976844)",0.001375995871367287,Rua José Martins Xavier,,
1453960083,1453960082,0,132112971,False,,residential,,True,160.318,"LINESTRING (-45.861713 -23.1967154, -45.8631433 -23.1973073)",0.001926695266049522,Rua das Amoeiras,,
1453960087,1453960093,0,132112974,False,,residential,,False,151.945,"LINESTRING (-45.8628366 -23.1976844, -45.8615634 -23.1971605, -45.8615041 -23.1970962)",0.001922932189358019,Rua das Jaboticabeiras,,
1453960087,1453958828,0,132214757,False,,residential,,False,39.286,"LINESTRING (-45.8628366 -23.1976844, -45.8626554 -23.1978709, -45.8625623 -23.1979287)",0.005026251939776437,Rua José Martins Xavier,,
1453960087,1453960082,0,132214757,False,,residential,,True,52.379999999999995,"LINESTRING (-45.8628366 -23.1976844, -45.8629179 -23.1975953, -45.8631433 -23.1973073)",0.0013684697179842875,Rua José Martins Xavier,,
1453960093,1453960087,0,132112974,False,,residential,,True,151.945,"LINESTRING (-45.8615041 -23.1970962, -45.8615634 -23.1971605, -45.8628366 -23.1976844)",0.001926695266049522,Rua das Jaboticabeiras,,
1453961350,1453957518,0,132113017,False,,residential,,False,71.578,"LINESTRING (-45.8640501 -23.1985889, -45.8634198 -23.1983083)",0.021007133718242213,Rua Brasílio Cursino,,
1453961350,1453950293,0,132216058,False,,residential,,False,28.997,"LINESTRING (-45.8640501 -23.1985889, -45.8639126 -23.198817)",0.042409874313238505,Rua Raul Franco Martins,,
1453961350,1453957515,0,132216058,False,,residential,,True,244.888,"LINESTRING (-45.8640501 -23.1985889, -45.8645638 -23.1976239, -45.8648213 -23.196521)",0.019593471241134468,Rua Raul Franco Martins,,
1453962116,1446671027,0,132113217,True,3,secondary_link,,False,118.826,"LINESTRING (-45.8665464 -23.1956396, -45.8662999 -23.1957774, -45.8661778 -23.1958292, -45.8660732 -23.1958563, -45.8659612 -23.1958569, -45.8658506 -23.1958304, -45.8657742 -23.1957682, -45.8657252 -23.1956893, -45.8656856 -23.1955056)",1.1289230074508918e-05,,,
1453962116,1455087457,0,132144374,True,2,secondary,60,False,628.1699999999998,"LINESTRING (-45.8665464 -23.1956396, -45.8660209 -23.1961757, -45.8657554 -23.1965011, -45.8655114 -23.1968685, -45.8647588 -23.1984606, -45.8644223 -23.199181, -45.8641033 -23.1998811, -45.8639665 -23.2001572, -45.8637787 -23.2004185, -45.8636349 -23.2005619)",0.001922932189358019,Avenida dos Astronautas,,
1453969481,1453969483,0,132113592,False,,residential,,False,78.073,"LINESTRING (-45.863017 -23.2000549, -45.8624817 -23.2005558)",0.018063054829819344,Rua Avião Brasília,,
1453969481,1453969511,0,132113596,False,,residential,,False,175.522,"LINESTRING (-45.863017 -23.2000549, -45.8614324 -23.1994463)",0.03461372017761724,Rua Avião Alvear,,
1453969481,1453950293,0,132113592,False,,residential,,True,166.38,"LINESTRING (-45.863017 -23.2000549, -45.8630825 -23.1999738, -45.8633106 -23.1995452, -45.8637972 -23.199014, -45.8639126 -23.198817)",0.04897493790923459,Rua Avião Brasília,,
1453969483,1453969481,0,132113592,False,,residential,,True,78.073,"LINESTRING (-45.8624817 -23.2005558, -45.863017 -23.2000549)",0.04041469105140362,Rua Avião Brasília,,
1453969483,3160449707,0,310603473,False,,residential,,True,32.651,"LINESTRING (-45.8624817 -23.2005558, -45.8627757 -23.2006707)",0.02343246053846636,Rua Avião Bandeirante,,
1453969483,1453969491,0,448342031,False,,residential,,False,153.281,"LINESTRING (-45.8624817 -23.2005558, -45.8613897 -23.2015007)",0.003626271727987691,Rua Avião Paulistinha,,
1453969483,1453969532,0,448342049,False,,residential,,False,78.37,"LINESTRING (-45.8624817 -23.2005558, -45.8617754 -23.2002814)",0.002840878557683154,Rua Avião Bandeirante,,
1453969491,1453969576,0,132113621,False,,residential,,True,85.165,"LINESTRING (-45.8613897 -23.2015007, -45.8619612 -23.2020581)",0.001950402649205991,Rua Avião Aribu,,
1453969491,1453969483,0,448342031,False,,residential,,True,153.281,"LINESTRING (-45.8613897 -23.2015007, -45.8624817 -23.2005558)",0.046220208037148006,Rua Avião Paulistinha,,
1453969491,1453969497,0,448342031,False,,residential,,False,68.03800000000001,"LINESTRING (-45.8613897 -23.2015007, -45.8612922 -23.2016283, -45.8610896 -23.2020445)",0.004567029497600789,Rua Avião Paulistinha,,
1453969497,8866552518,0,670342747,False,,residential,,False,18.432,"LINESTRING (-45.8610896 -23.2020445, -45.8610226 -23.2021984)",0.00697835772683368,Rua Avião Paulistinha,,
1453969497,1453969491,0,448342031,False,,residential,,True,68.03800000000001,"LINESTRING (-45.8610896 -23.2020445, -45.8612922 -23.2016283, -45.8613897 -23.2015007)",0.0017109168489573953,Rua Avião Paulistinha,,
