u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,maxspeed,bridge,junction
1434786546,1437646813,0,130571658,True,,,,secondary_link,False,30.985,"LINESTRING (-45.8738027 -23.1891115, -45.8737252 -23.1890512, -45.8736641 -23.1890156, -45.8736086 -23.1889851, -45.8735531 -23.1889547)",0.001377511845043756,,,
1434786546,1437650668,0,448345142,True,,,Avenida Santos Dumont,secondary,False,32.705999999999996,"LINESTRING (-45.8738027 -23.1891115, -45.8737059 -23.1889094, -45.8736688 -23.1888445)",0.0021305887043109803,,,
1434786547,2905769448,0,130571663,True,3,,Avenida Santos Dumont,secondary,False,99.864,"LINESTRING (-45.8736854 -23.1886102, -45.873755 -23.1886854, -45.8738029 -23.1887501, -45.8738356 -23.1888, -45.8738726 -23.1888772, -45.874129 -23.1894055)",0.01276519966121211,50,,
1434786547,1437650668,0,130572197,True,,,,secondary_link,False,26.683999999999997,"LINESTRING (-45.8736854 -23.1886102, -45.8736989 -23.1887259, -45.8736972 -23.1887786, -45.8736688 -23.1888445)",0.007211318800851134,,,
1434786551,2905769452,0,286900439,True,,,Avenida Nair Toledo de Mira,secondary,False,16.467,"LINESTRING (-45.8755552 -23.1926116, -45.8754022 -23.1925652)",0.005655885630624591,,,
1434786551,1437641681,0,313224440,True,,,Avenida Santos Dumont,secondary,False,53.480999999999995,"LINESTRING (-45.8755552 -23.1926116, -45.8756019 -23.1930047, -45.8756041 -23.1930902)",0.0036299491328753153,,,
1434786551,1434786543,0,973344588,True,,,Rua Genésia Berardineli Tarantino,secondary,False,17.279,"LINESTRING (-45.8755552 -23.1926116, -45.8754639 -23.192712, -45.8754474 -23.1927313)",0.020256874436273203,,,
1434786552,8230948114,0,885100702,False,,,Avenida Samuel Wainer,secondary,True,15.644,"LINESTRING (-45.8756332 -23.1933201, -45.8755928 -23.1931844)",0.028176652580993816,60,,
1434786552,1434870722,0,249535523,False,,,Avenida Samuel Wainer,secondary,False,310.029,"LINESTRING (-45.8756332 -23.1933201, -45.8759402 -23.1943723, -45.8759973 -23.1945635, -45.8760077 -23.1946001, -45.8760662 -23.1948062, -45.8761836 -23.1952089, -45.8762048 -23.1952817, -45.8763624 -23.195839, -45.8763965 -23.195958, -45.8764127 -23.1960146)",0.0026871204199047645,60,,
1434833247,8227243170,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,False,25.578,"LINESTRING (-45.8776672 -23.198452, -45.877853 -23.1986061)",0.003492655880020596,60,,
1434833247,1434874912,0,310604881,True,,,Rua Estocolmo,tertiary,False,21.319,"LINESTRING (-45.8776672 -23.198452, -45.8777952 -23.1984241, -45.8778672 -23.1983989)",0.004731244440848514,,,
1434833255,8878247113,0,665672388,True,,,Avenida Lisboa,tertiary,False,6.243,"LINESTRING (-45.8791968 -23.1983907, -45.8791361 -23.198397)",0.001617571802774835,,,
1434833258,1434833269,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,False,63.59,"LINESTRING (-45.8784114 -23.1990588, -45.878878 -23.1994371)",0.0015122742891953893,60,,
1434833269,1434833274,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,False,60.045,"LINESTRING (-45.878878 -23.1994371, -45.8792915 -23.1998207)",0.0007567320597389989,60,,
1434870721,1434874889,0,390809424,True,,,Rua Roma,secondary,False,99.576,"LINESTRING (-45.8787782 -23.1961302, -45.8778059 -23.1960734)",0.0007567320597389989,50,,
1434870722,8234382392,0,448345139,False,,,Avenida Samuel Wainer,secondary,False,163.484,"LINESTRING (-45.8764127 -23.1960146, -45.8768361 -23.1974324)",0.0025852709477134773,60,,
1434870722,1434786552,0,249535523,False,,,Avenida Samuel Wainer,secondary,True,310.029,"LINESTRING (-45.8764127 -23.1960146, -45.8763965 -23.195958, -45.8763624 -23.195839, -45.8762048 -23.1952817, -45.8761836 -23.1952089, -45.8760662 -23.1948062, -45.8760077 -23.1946001, -45.8759973 -23.1945635, -45.8759402 -23.1943723, -45.8756332 -23.1933201)",0.028047927366600823,60,,
1434874889,1434874903,0,390809424,True,,,Rua Roma,secondary,False,69.001,"LINESTRING (-45.8778059 -23.1960734, -45.8771321 -23.1960347)",0.003371086648200501,50,,
1434874897,2024367569,0,310604879,True,,,Rua Varsóvia,residential,False,88.743,"LINESTRING (-45.8772352 -23.1964168, -45.8778354 -23.1969935)",3.9264399326080126e-05,,,
