osmid,y,x,highway,street_count,dc,cc,nbc,vul,ref,geometry
42421877,40.7328569,-73.9959291,traffic_signals,4,0.0030257186081694403,0.0360228290705529,0.027570405154507465,0.0003080189335678504,,POINT (-73.9959291 40.7328569)
42421889,40.7341463,-73.9991816,traffic_signals,4,0.0030257186081694403,0.03512929577670169,0.04968060995428238,0.0008525944344678218,,POINT (-73.9991816 40.7341463)
42422258,40.748197,-74.00742,traffic_signals,3,0.0022692889561270802,0.03969948755318388,0.0012188229869511812,-2.7981263228647706e-05,,POINT (-74.00742 40.748197)
42422509,40.7381466,-73.9736517,,3,0.0022692889561270802,0.036887970207883196,0.08163704837475573,0.0008237043934795694,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,traffic_signals,4,0.0030257186081694403,0.043655466129489166,0.008533388400070525,0.00030538124149536447,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,traffic_signals,5,0.0037821482602118004,0.043849833327360324,0.031357993068030235,0.0012694696530959606,,POINT (-73.9749383 40.7460792)
42423564,40.7589831,-73.9645095,traffic_signals,3,0.0037821482602118004,0.03851669241994576,0.0051805446039440385,-2.9532418750845188e-05,,POINT (-73.9645095 40.7589831)
42423565,40.7596426,-73.9640002,traffic_signals,4,0.0030257186081694403,0.03720710710551744,0.002093204915242953,0.00014216435335997048,,POINT (-73.9640002 40.7596426)
42423579,40.7595738,-73.960551,,2,0.0015128593040847202,0.0,0.0,-0.00013754297164112354,,POINT (-73.960551 40.7595738)
42423674,40.766876,-73.979076,traffic_signals,3,0.0037821482602118004,0.03379062505869056,0.008875328888557878,0.00010587141304174184,,POINT (-73.979076 40.766876)
42423752,40.7620775,-73.9619964,traffic_signals,4,0.0030257186081694403,0.03614595298904361,0.0014103660114026583,0.0012109267655033332,,POINT (-73.9619964 40.7620775)
42423774,40.738339,-73.9738156,,3,0.0022692889561270802,0.040413270038869936,0.01776898694611649,0.0033906657284237447,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,,3,0.0022692889561270802,0.04062278589932753,0.0007821411577876009,0.00011339190025243008,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,,3,0.0022692889561270802,0.040476663403636794,0.0024297640711282834,4.3570532588615216e-05,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,,3,0.0022692889561270802,0.04101021473220045,0.0007495582244689246,0.0011631844835556758,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,traffic_signals,4,0.0030257186081694403,0.043467207263355664,0.008066241381584289,0.0008413670815179071,,POINT (-73.9968456 40.7577433)
42424089,40.7606212,-73.9643559,traffic_signals,5,0.0037821482602118004,0.03723932477027428,0.009149842275130432,0.0006483425550690005,,POINT (-73.9643559 40.7606212)
42424672,40.7593001,-73.9592658,traffic_signals,4,0.0045385779122541605,0.043770988125625014,0.023084193459146012,0.0017073440935492987,,POINT (-73.9592658 40.7593001)
42424789,40.7576654,-73.9948115,traffic_signals,4,0.0030257186081694403,0.04103277823334042,0.007883180436363069,0.001492375277081157,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,traffic_signals,4,0.0030257186081694403,0.03994531242425223,0.002152384443411735,0.0001440700585087706,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,,3,0.0022692889561270802,0.04383791396795634,0.02175955141637312,0.0012482622222588727,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,motorway_junction,3,0.0022692889561270802,0.038836689021730916,0.017763260756471964,0.0033888414232200463,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,,3,0.0022692889561270802,0.040606604538158904,0.01530467911866886,0.0002311658060076758,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,traffic_signals,4,0.0030257186081694403,0.04422257569806076,0.01780824034480547,0.00018823711785075065,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,traffic_signals,4,0.0030257186081694403,0.04291490307314139,0.05293162196918093,0.0002534749332718805,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,traffic_signals,4,0.0030257186081694403,0.04292632572501074,0.014707026397602753,0.000259978061754359,,POINT (-73.997007 40.742228)
42427381,40.7434264,-73.9998513,traffic_signals,4,0.0030257186081694403,0.042273710550161304,0.012989705112735712,0.00011214421046157708,,POINT (-73.9998513 40.7434264)
42427386,40.7446399,-74.0027323,traffic_signals,4,0.0030257186081694403,0.04233891136386056,0.009841403789853924,0.0001936214658081778,,POINT (-74.0027323 40.7446399)
42427390,40.745816,-74.005535,traffic_signals,4,0.0030257186081694403,0.04199712398655391,0.02667616473879442,4.903406240627011e-05,,POINT (-74.005535 40.745816)
42427393,40.746795,-74.0078599,traffic_signals,3,0.0022692889561270802,0.042441976577878314,0.03907351723012221,-4.058706603061642e-05,,POINT (-74.0078599 40.746795)
42427423,40.7435682,-73.9923179,traffic_signals,4,0.0030257186081694403,0.04502665058947871,0.04141934745875581,0.00030720389244047355,,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,traffic_signals,4,0.0030257186081694403,0.04423318863106565,0.00990819766359212,0.0002566985125429411,,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,traffic_signals,4,0.0030257186081694403,0.04372055730230169,0.013614426447735035,0.00022892856406388885,,POINT (-73.998 40.7459612)
42427477,40.7471747,-74.0008813,traffic_signals,4,0.0030257186081694403,0.043293635985065027,0.014161255053894728,0.00045769943481030066,,POINT (-74.0008813 40.7471747)
42427483,40.748355,-74.003684,traffic_signals,4,0.0030257186081694403,0.04289778048912498,0.011023619164589497,0.00015282266021043203,,POINT (-74.003684 40.748355)
42427494,40.7502334,-74.0082779,traffic_signals,4,0.0045385779122541605,0.0446418340538709,0.04227711166508043,0.00013959692984395536,,POINT (-74.0082779 40.7502334)
42427762,40.7636536,-73.9734832,traffic_signals,4,0.0030257186081694403,0.034389573952899294,0.012555909014598833,-1.3657659293846433e-05,,POINT (-73.9734832 40.7636536)
42427764,40.7639136,-73.9741072,traffic_signals,3,0.0022692889561270802,0.03496838806350073,0.0014055485495710822,-0.00016765551803631578,,POINT (-73.9741072 40.7639136)
42427786,40.745301,-73.986846,traffic_signals,4,0.0030257186081694403,0.04626008053033069,0.029312828378844046,0.0004943700260654183,,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,traffic_signals,4,0.0030257186081694403,0.04541016633784749,0.008045285283593027,0.00030621246437274565,,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,traffic_signals,4,0.0030257186081694403,0.04626671612963217,0.024958683458802793,0.0004781715885196668,,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,traffic_signals,4,0.0030257186081694403,0.04623852797157735,0.024522007116369895,0.00042117009956034685,,POINT (-73.9929242 40.7478717)
42427812,40.7490537,-73.9957298,traffic_signals,4,0.0030257186081694403,0.045262011787087275,0.03384350605757851,0.0004816517337551343,,POINT (-73.9957298 40.7490537)
42427821,40.7514485,-74.0014254,traffic_signals,4,0.0030257186081694403,0.04337222731673523,0.015843429473674328,0.0009181777537318023,,POINT (-74.0014254 40.7514485)
42427824,40.7526474,-74.0042757,traffic_signals,4,0.0030257186081694403,0.04331253007892181,0.020963706512746646,0.0006326636551969347,,POINT (-74.0042757 40.7526474)
42427828,40.7537821,-74.0070387,traffic_signals,4,0.0030257186081694403,0.0430926401466574,0.051945374048250836,0.0006548977223835764,,POINT (-74.0070387 40.7537821)
42427965,40.7599137,-73.9588108,traffic_signals,4,0.0045385779122541605,0.04518908780746464,0.08016111375414678,0.002337498808261389,,POINT (-73.9588108 40.7599137)
42427968,40.7605391,-73.9583585,traffic_signals,4,0.0037821482602118004,0.04343501366788725,0.015336327247557546,8.364902721100444e-05,,POINT (-73.9583585 40.7605391)
42427970,40.7611816,-73.9579018,traffic_signals,5,0.0022692889561270802,0.04160707039862371,0.01266559031356494,-0.0001177011695783357,,POINT (-73.9579018 40.7611816)
42428170,40.7371276,-73.9903368,traffic_signals,3,0.0022692889561270802,0.04299069161277275,0.009650156216091554,0.0002465211592859527,,POINT (-73.9903368 40.7371276)
