osmid,y,x,highway,street_count,dc,cc,nbc,vul,ref,geometry
42421877,40.7328569,-73.9959291,traffic_signals,4,0.004,0.03541125397177271,0.033588792950646214,-4.539970897028632e-05,,POINT (-73.9959291 40.7328569)
42421889,40.7341463,-73.9991816,traffic_signals,4,0.004,0.03438230018654039,0.047543735188832426,0.00046718670932398016,,POINT (-73.9991816 40.7341463)
42422258,40.748197,-74.00742,traffic_signals,3,0.002,0.0409030812564015,0.00026785472341027893,-0.0002546516899701525,,POINT (-74.00742 40.748197)
42422509,40.7381466,-73.9736517,,3,0.003,0.04037240943555181,0.042376190425982396,0.002215553969921514,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,traffic_signals,4,0.004,0.05016965033500838,0.013469659725407366,0.0004120971466846728,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,traffic_signals,5,0.005,0.05099989357739584,0.0292024422770142,0.001569973056945566,,POINT (-73.9749383 40.7460792)
42423564,40.7589831,-73.9645095,traffic_signals,3,0.005,0.03560462870091757,0.0037933378884713164,-0.0002711772441135471,,POINT (-73.9645095 40.7589831)
42423565,40.7596426,-73.9640002,traffic_signals,4,0.003,0.03454770964962665,0.0007865577794625512,-0.00048573946490974314,,POINT (-73.9640002 40.7596426)
42423774,40.738339,-73.9738156,,3,0.003,0.04593314482890827,0.016121286387514443,0.0008788831714813269,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,,3,0.003,0.043974358974358974,0.00037646415230038435,4.5096659527428896e-05,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,,3,0.003,0.04490657358384482,0.0023817338388732404,3.443274937993205e-05,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,,3,0.002,0.04614211206277812,0.0,-0.00010336227285555887,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,traffic_signals,4,0.004,0.04888009995920032,0.010251747541766549,0.0012634675712153546,,POINT (-73.9968456 40.7577433)
42424089,40.7606212,-73.9643559,traffic_signals,5,0.005,0.033560033614622356,0.006632105331341315,0.0016567632764853866,,POINT (-73.9643559 40.7606212)
42424789,40.7576654,-73.9948115,traffic_signals,4,0.004,0.0462322608653707,0.012125564902962028,0.0018394805232373988,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,traffic_signals,4,0.004,0.04538717620874177,0.0032081971839025836,0.00022918891229364532,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,,3,0.003,0.04944495460173339,0.02123067647842529,0.0010367398913321063,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,motorway_junction,3,0.002,0.04389471032745592,0.016117282383510435,0.00042419284531022074,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,,3,0.003,0.04536139902503668,0.013285988690690451,0.00026309913137883753,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,traffic_signals,4,0.004,0.048022898085980564,0.03312829260425547,0.0002356172997756583,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,traffic_signals,4,0.004,0.046045688205620945,0.07374998164326474,0.0003633883635561928,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,traffic_signals,4,0.004,0.04644509594882729,0.038643625844454695,0.0003931793727355775,,POINT (-73.997007 40.742228)
42427381,40.7434264,-73.9998513,traffic_signals,4,0.004,0.044578651162790695,0.020667949666448405,8.766742084306677e-05,,POINT (-73.9998513 40.7434264)
42427386,40.7446399,-74.0027323,traffic_signals,4,0.004,0.044611850679575495,0.02830909261363736,0.0006466380130131942,,POINT (-74.0027323 40.7446399)
42427390,40.745816,-74.005535,traffic_signals,4,0.003,0.0409030812564015,0.011917950157221052,-9.100868980847101e-05,,POINT (-74.005535 40.745816)
42427423,40.7435682,-73.9923179,traffic_signals,4,0.004,0.05023012420732666,0.06310979919083128,0.00048291307895231145,,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,traffic_signals,4,0.004,0.049353295571575695,0.029587381279212836,0.0003821635883950102,,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,traffic_signals,4,0.004,0.04834506935687264,0.025439562489875403,0.00029738686911068394,,POINT (-73.998 40.7459612)
42427477,40.7471747,-74.0008813,traffic_signals,4,0.004,0.0476291308453014,0.04484520439355361,0.0011779205236944772,,POINT (-74.0008813 40.7471747)
42427483,40.748355,-74.003684,traffic_signals,4,0.004,0.04529922487947821,0.023162930979119586,0.00019767606508758458,,POINT (-74.003684 40.748355)
42427762,40.7636536,-73.9734832,traffic_signals,4,0.004,0.03285482654600302,0.005906569230357345,-0.0002503417845866388,,POINT (-73.9734832 40.7636536)
42427764,40.7639136,-73.9741072,traffic_signals,3,0.003,0.03394513901186471,0.002370952546334697,-0.00043164820031591183,,POINT (-73.9741072 40.7639136)
42427786,40.745301,-73.986846,traffic_signals,4,0.004,0.05391163235459557,0.05840689157790476,0.0007176255667832744,,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,traffic_signals,4,0.004,0.052710828796128255,0.00922384817296803,0.0004244835630689045,,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,traffic_signals,4,0.004,0.0533890931372549,0.032856288979809384,0.0006990525935056317,,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,traffic_signals,4,0.004,0.05355316533497234,0.0459827656388689,0.0005815380834190391,,POINT (-73.9929242 40.7478717)
