osmid,y,x,street_count,dc,cc,nbc,vul,highway,ref,geometry
42421828,40.725326,-73.976212,3,0.0033288948069241015,0.03621895440895925,0.0006963871140694993,8.576426099183727e-06,,,POINT (-73.976212 40.725326)
42421877,40.7328569,-73.9959291,4,0.002663115845539281,0.03847729261490287,0.03172710366017462,0.00036711964445901513,traffic_signals,,POINT (-73.9959291 40.7328569)
42421889,40.7341463,-73.9991816,4,0.002663115845539281,0.03750775657781813,0.05327124007302054,0.0008492577194801319,traffic_signals,,POINT (-73.9991816 40.7341463)
42421969,40.7692956,-73.9810586,3,0.0019973368841544607,0.029696109539099295,0.005890879670987207,-3.087778645510129e-05,traffic_signals,,POINT (-73.9810586 40.7692956)
42421972,40.7697925,-73.982236,4,0.002663115845539281,0.026533038588191976,0.00349438488495814,-0.0003314105034520772,traffic_signals,,POINT (-73.982236 40.7697925)
42421974,40.7704797,-73.9838597,3,0.0019973368841544607,0.02583867675360805,0.0017728537335926526,-0.0003240733623023878,traffic_signals,,POINT (-73.9838597 40.7704797)
42422258,40.748197,-74.00742,3,0.0019973368841544607,0.03996335992759379,0.0011215338019877658,-9.910803783062092e-06,traffic_signals,,POINT (-74.00742 40.748197)
42422509,40.7381466,-73.9736517,3,0.0019973368841544607,0.03987315654257285,0.09605341104489758,0.0006406942241085421,,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,4,0.002663115845539281,0.04425643562884059,0.015477126334201126,0.0002701670038531877,traffic_signals,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,5,0.0033288948069241015,0.04301014116701345,0.03143077627510356,0.0010480199768887928,traffic_signals,,POINT (-73.9749383 40.7460792)
42423564,40.7589831,-73.9645095,3,0.0033288948069241015,0.03741014243317655,0.0046661811028968995,-2.920020119819194e-06,traffic_signals,,POINT (-73.9645095 40.7589831)
42423565,40.7596426,-73.9640002,4,0.002663115845539281,0.03620196322025354,0.0022063854868361174,8.237969747900434e-05,traffic_signals,,POINT (-73.9640002 40.7596426)
42423579,40.7595738,-73.960551,3,0.0013315579227696406,0.0,0.0,-8.424002333966267e-05,,,POINT (-73.960551 40.7595738)
42423674,40.766876,-73.979076,3,0.0033288948069241015,0.033040736262472704,0.016033200069171787,0.0005185334492040231,traffic_signals,,POINT (-73.979076 40.766876)
42423752,40.7620775,-73.9619964,4,0.0019973368841544607,0.03542182766128304,0.01309043535382213,8.698295980631526e-06,traffic_signals,,POINT (-73.9619964 40.7620775)
42423774,40.738339,-73.9738156,3,0.0019973368841544607,0.04364906410596555,0.0812847314795037,0.004568136008993405,,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,3,0.0019973368841544607,0.03820035411666338,0.0003117437480544503,3.20735059239508e-05,,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,3,0.0019973368841544607,0.03804597312739345,0.001886686666478247,3.3209455571576936e-05,,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,3,0.0013315579227696406,0.0386289635336214,0.0,-8.304630639508682e-05,,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,4,0.002663115845539281,0.04091346129373242,0.007430994116619077,0.0007019098963867054,traffic_signals,,POINT (-73.9968456 40.7577433)
42424089,40.7606212,-73.9643559,5,0.0033288948069241015,0.036339241409326074,0.010798126024129719,0.00039837814831835,traffic_signals,,POINT (-73.9643559 40.7606212)
42424218,40.7693848,-73.9950304,3,0.0019973368841544607,0.030159739018481718,0.0022944455916379465,-0.0001493051137734065,traffic_signals,,POINT (-73.9950304 40.7693848)
42424672,40.7593001,-73.9592658,4,0.0039946737683089215,0.042405590941216126,0.035912042053170064,0.0015745593747062165,traffic_signals,,POINT (-73.9592658 40.7593001)
42424789,40.7576654,-73.9948115,4,0.002663115845539281,0.038737535333777766,0.0063049028179983455,0.0010599658824046426,traffic_signals,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,4,0.002663115845539281,0.03943878506559132,0.0024234405835156414,0.00013332817002307298,traffic_signals,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,3,0.0019973368841544607,0.04474808375704964,0.027429428705339248,0.0013481530124061128,,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,3,0.0019973368841544607,0.04181422251200595,0.0812856185933763,0.0045916047486169575,motorway_junction,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,3,0.0019973368841544607,0.044107325443219075,0.04592582241377431,0.00024289053425646256,,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,4,0.002663115845539281,0.045471102880554774,0.014109035355278602,0.0001737418458718924,traffic_signals,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,4,0.002663115845539281,0.04421773009992728,0.047759296151775495,0.00022560037098032345,traffic_signals,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,4,0.002663115845539281,0.043988230900740694,0.012562529532259012,0.0002291804574581064,traffic_signals,,POINT (-73.997007 40.742228)
42427381,40.7434264,-73.9998513,4,0.002663115845539281,0.042981142449608316,0.011475261553655724,0.00010616928224484497,traffic_signals,,POINT (-73.9998513 40.7434264)
42427386,40.7446399,-74.0027323,4,0.002663115845539281,0.04285300927615048,0.00848939425840925,0.0001732146995896445,traffic_signals,,POINT (-74.0027323 40.7446399)
42427390,40.745816,-74.005535,4,0.002663115845539281,0.04184883298274599,0.0258227092446844,5.4447928875602285e-05,traffic_signals,,POINT (-74.005535 40.745816)
42427393,40.746795,-74.0078599,3,0.0019973368841544607,0.041847638564474376,0.039339836767719294,-1.845653193966645e-05,traffic_signals,,POINT (-74.0078599 40.746795)
42427423,40.7435682,-73.9923179,4,0.002663115845539281,0.04566938833152121,0.03703632922145424,0.00026815624365203434,traffic_signals,,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,4,0.002663115845539281,0.04366726367404737,0.00771678312968228,0.0002259922508803734,traffic_signals,,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,4,0.002663115845539281,0.044021248157549125,0.011973504099680631,0.0002040819433152852,traffic_signals,,POINT (-73.998 40.7459612)
42427477,40.7471747,-74.0008813,4,0.002663115845539281,0.04249654258835686,0.011450461217190577,0.0003943331783229291,traffic_signals,,POINT (-74.0008813 40.7471747)
42427483,40.748355,-74.003684,4,0.002663115845539281,0.04233579858468769,0.009660992309825511,0.0001407830508775119,traffic_signals,,POINT (-74.003684 40.748355)
42427494,40.7502334,-74.0082779,4,0.0039946737683089215,0.04300257251242048,0.04208015644518517,0.00013459639907973018,traffic_signals,,POINT (-74.0082779 40.7502334)
42427762,40.7636536,-73.9734832,4,0.002663115845539281,0.033634200729096154,0.01098524058672507,4.6167625000692815e-05,traffic_signals,,POINT (-73.9734832 40.7636536)
42427764,40.7639136,-73.9741072,3,0.0019973368841544607,0.03415045680308121,0.003386898554060608,-8.340387282574777e-05,traffic_signals,,POINT (-73.9741072 40.7639136)
42427786,40.745301,-73.986846,4,0.002663115845539281,0.0446649316837813,0.0213836896789859,0.0004369737474999828,traffic_signals,,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,4,0.002663115845539281,0.043839608682418554,0.007827746334697775,0.0002725355460864877,traffic_signals,,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,4,0.002663115845539281,0.04467037480984336,0.02307496103029044,0.0004176408026251305,traffic_signals,,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,4,0.002663115845539281,0.04436356164549133,0.020328010782770103,0.0003702017055342879,traffic_signals,,POINT (-73.9929242 40.7478717)
42427812,40.7490537,-73.9957298,4,0.002663115845539281,0.04343699340493226,0.02972301299286324,0.0004215125461707092,traffic_signals,,POINT (-73.9957298 40.7490537)
42427821,40.7514485,-74.0014254,4,0.002663115845539281,0.041704801672028,0.015490350710801822,0.000842439688173568,traffic_signals,,POINT (-74.0014254 40.7514485)
42427824,40.7526474,-74.0042757,4,0.002663115845539281,0.041355438381663244,0.01966173307647732,0.0006032594732269856,traffic_signals,,POINT (-74.0042757 40.7526474)
42427828,40.7537821,-74.0070387,4,0.002663115845539281,0.041256526981161216,0.0519619421528609,0.0006278017203221272,traffic_signals,,POINT (-74.0070387 40.7537821)
42427965,40.7599137,-73.9588108,4,0.0039946737683089215,0.04371022276363846,0.12203058686166822,0.000397713290949428,traffic_signals,,POINT (-73.9588108 40.7599137)
42427968,40.7605391,-73.9583585,4,0.0039946737683089215,0.04215322750721584,0.08511271135570704,0.00012386815384814447,traffic_signals,,POINT (-73.9583585 40.7605391)
