osmid,y,x,street_count,dc,cc,nbc,vul,highway,ref,geometry
42422509,40.7381466,-73.9736517,3,0.003766478342749529,0.0018832391713747645,0.0010467374954103445,-0.0006867832255176726,,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,4,0.007532956685499058,0.06516031630706799,0.01767347201466049,0.0006697235017121407,traffic_signals,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,5,0.009416195856873822,0.07309141265103147,0.05666615645852728,0.0037453041981216155,traffic_signals,,POINT (-73.9749383 40.7460792)
42423774,40.738339,-73.9738156,3,0.005649717514124294,0.05995148009650769,0.009467718437977472,0.0009230608903107358,,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,3,0.005649717514124294,0.05427780037344845,0.0010054477415156055,-0.00014117339898259628,,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,3,0.005649717514124294,0.05678910136497562,0.005136512863118506,0.0021846725140788124,,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,3,0.005649717514124294,0.059441556347446106,0.001858366201186796,0.0022924301741181342,,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,4,0.007532956685499058,0.0646310282954355,0.0173211248485736,0.002313857676751267,traffic_signals,,POINT (-73.9968456 40.7577433)
42424789,40.7576654,-73.9948115,4,0.007532956685499058,0.06015686614763572,0.028119828637547473,0.0037850330634521543,traffic_signals,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,4,0.007532956685499058,0.05919189491337165,0.006622018274371908,0.0004836995348676044,traffic_signals,,POINT (-73.9758273 40.7472955)
42426865,40.7374172,-73.974504,3,0.003766478342749529,0.05655573877607023,0.00943218562342323,6.540223567869772e-05,motorway_junction,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,3,0.003766478342749529,0.055497592434821136,0.0,-0.0006828426960770485,,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,4,0.007532956685499058,0.05354093911678439,0.016694885962688342,-0.00020987631718412365,traffic_signals,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,4,0.007532956685499058,0.04945400329608006,0.039305153730963896,-0.00019984393915465186,traffic_signals,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,4,0.007532956685499058,0.05128175951054747,0.016237661030354844,-0.0002474718411646628,traffic_signals,,POINT (-73.997007 40.742228)
42427381,40.7434264,-73.9998513,4,0.005649717514124294,0.04494112363778451,0.0033248208460563613,-0.0008357089383203093,traffic_signals,,POINT (-73.9998513 40.7434264)
42427423,40.7435682,-73.9923179,4,0.007532956685499058,0.05863303073572094,0.05101169667358479,0.0003675701209365416,traffic_signals,,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,4,0.007532956685499058,0.05845802685566943,0.024617804462907036,7.652845743324674e-05,traffic_signals,,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,4,0.005649717514124294,0.052524793392443155,0.01182211245500205,6.040154484027976e-05,traffic_signals,,POINT (-73.998 40.7459612)
42427786,40.745301,-73.986846,4,0.007532956685499058,0.07447029422926825,0.057969052260546355,0.0011468029920939631,traffic_signals,,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,4,0.007532956685499058,0.07158108967384542,0.015682365610564526,0.0005289055388219563,traffic_signals,,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,4,0.007532956685499058,0.06951916340474217,0.04038199706045994,0.0009441004776803483,traffic_signals,,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,4,0.007532956685499058,0.0709428631846944,0.045100203041836644,0.0005878537249291082,traffic_signals,,POINT (-73.9929242 40.7478717)
42427812,40.7490537,-73.9957298,4,0.007532956685499058,0.06680150491141759,0.04386636101112708,0.0006633864149396819,traffic_signals,,POINT (-73.9957298 40.7490537)
42428170,40.7371276,-73.9903368,3,0.005649717514124294,0.04863221009834174,0.007543333579410391,-0.0007670272249977239,traffic_signals,,POINT (-73.9903368 40.7371276)
42428174,40.7378047,-73.9901393,4,0.007532956685499058,0.05107601523969271,0.012454697924406262,-0.000452275316426802,traffic_signals,,POINT (-73.9901393 40.7378047)
42428179,40.7384929,-73.9899534,4,0.007532956685499058,0.05341737878314658,0.02001032105416858,-8.039398349808394e-05,traffic_signals,,POINT (-73.9899534 40.7384929)
42428183,40.7391754,-73.9897504,4,0.007532956685499058,0.0560576697423752,0.02443881010964235,0.00016743722207959635,traffic_signals,,POINT (-73.9897504 40.7391754)
42428192,40.7398661,-73.9895652,4,0.007532956685499058,0.05864653598292484,0.03775037359704692,0.0004656452211321075,traffic_signals,,POINT (-73.9895652 40.7398661)
42428198,40.7406183,-73.9894381,4,0.007532956685499058,0.0610365422437656,0.04521631359517887,0.0022263358474501112,traffic_signals,,POINT (-73.9894381 40.7406183)
42428201,40.7413643,-73.9891378,4,0.011299435028248588,0.06438587330126898,0.06871416193663439,0.004418960123353066,traffic_signals,,POINT (-73.9891378 40.7413643)
42428206,40.7422186,-73.9891071,3,0.005649717514124294,0.05851176283347539,0.0020556496002604946,-0.00014427796240193546,traffic_signals,,POINT (-73.9891071 40.7422186)
42428212,40.7430428,-73.9891631,3,0.005649717514124294,0.056599741240384166,0.004458034004206807,-0.00012765958558700772,traffic_signals,,POINT (-73.9891631 40.7430428)
42428220,40.7445363,-73.9888917,3,0.005649717514124294,0.06738492416828588,0.009844477456649773,0.00019492310056918997,traffic_signals,,POINT (-73.9888917 40.7445363)
42428223,40.7452886,-73.9887531,4,0.007532956685499058,0.06951916340474217,0.008337349423095093,0.0004002217242381491,traffic_signals,,POINT (-73.9887531 40.7452886)
42428227,40.7467961,-73.9884727,4,0.007532956685499058,0.07317543784160602,0.017702225555487096,0.0007493583207975283,traffic_signals,,POINT (-73.9884727 40.7467961)
42428232,40.7475458,-73.9883326,4,0.007532956685499058,0.07383324227051419,0.014691550051649465,0.0008443408785371363,traffic_signals,,POINT (-73.9883326 40.7475458)
