osmid,y,x,street_count,dc,cc,nbc,vul,highway,ref,geometry
42422509,40.7381466,-73.9736517,3,0.0044444444444444444,0.04430142835384349,0.03273759293594585,0.0012411257772715735,,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,4,0.005925925925925926,0.06151094479750243,0.01515139692306407,0.00045872373031335153,traffic_signals,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,5,0.007407407407407407,0.06443558319065214,0.040564296345796565,0.002773991085448748,traffic_signals,,POINT (-73.9749383 40.7460792)
42423774,40.738339,-73.9738156,3,0.0044444444444444444,0.05496779318451894,0.01736773285509257,0.0009627631868999508,,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,3,0.0044444444444444444,0.05126114133752632,0.0009745151068435057,0.00010952129721132539,,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,3,0.0044444444444444444,0.05346055955863341,0.005669101969635321,-2.6348637769686434e-05,,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,3,0.0044444444444444444,0.055044035711674946,0.0014463127816243544,0.0020919585685045725,,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,4,0.005925925925925926,0.05961288619326511,0.01840237936096013,0.0020145876121994244,traffic_signals,,POINT (-73.9968456 40.7577433)
42424789,40.7576654,-73.9948115,4,0.005925925925925926,0.055612266391862154,0.023382103201133805,0.0031809351534433047,traffic_signals,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,4,0.005925925925925926,0.05479718877425576,0.005162855991085461,0.00039121859247795296,traffic_signals,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,3,0.0044444444444444444,0.05797086762063047,0.02018450855723494,0.0019483571020249089,,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,3,0.002962962962962963,0.052063613416824424,0.017363336767610437,0.0002893074727360116,motorway_junction,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,3,0.0044444444444444444,0.05194022984331066,0.013071328081866427,0.00012231880268674019,,,POINT (-73.9749044 40.7369776)
