osmid,y,x,highway,street_count,dc,cc,nbc,vul,geometry
42423020,40.7460792,-73.9749383,traffic_signals,5,0.015748031496062992,0.08798171915033332,0.027397511826352063,0.003787545643465554,POINT (-73.9749383 40.7460792)
42426816,40.7472955,-73.9758273,traffic_signals,4,0.015748031496062992,0.010498687664041995,0.006199882477346044,0.0007824005021735941,POINT (-73.9758273 40.7472955)
42427371,40.7410305,-73.9941671,traffic_signals,4,0.007874015748031496,0.003937007874015748,0.003625781955121223,0.0007094011206506029,POINT (-73.9941671 40.7410305)
42427423,40.7435682,-73.9923179,traffic_signals,4,0.015748031496062992,0.06354366701742277,0.04035273467830812,-0.00012103819308795042,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,traffic_signals,4,0.011811023622047244,0.06510162469360752,0.011023389095283961,-0.001544670320130262,POINT (-73.9951595 40.744765)
42427786,40.745301,-73.986846,traffic_signals,4,0.015748031496062992,0.09633872712506941,0.06637610233423344,0.0020795731863015314,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,traffic_signals,4,0.015748031496062992,0.09030145114168715,0.020322985769362225,0.000824397241914603,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,traffic_signals,4,0.015748031496062992,0.0860279933155425,0.052635147222983895,0.0015688975332339777,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,traffic_signals,4,0.011811023622047244,0.0866589283600276,0.0323305059822147,0.0005096095972383767,POINT (-73.9929242 40.7478717)
42428198,40.7406183,-73.9894381,traffic_signals,4,0.007874015748031496,0.06873974855855078,0.0,-0.0016692960227984702,POINT (-73.9894381 40.7406183)
42428201,40.7413643,-73.9891378,traffic_signals,4,0.023622047244094488,0.07302808950488111,0.04229709220362939,0.004784685652349693,POINT (-73.9891378 40.7413643)
42428206,40.7422186,-73.9891071,traffic_signals,3,0.011811023622047244,0.06520940884045123,0.001952942641063148,-0.0012961113611851967,POINT (-73.9891071 40.7422186)
42428212,40.7430428,-73.9891631,traffic_signals,3,0.011811023622047244,0.06608470291884655,0.010363823099187701,-0.0011018177459744057,POINT (-73.9891631 40.7430428)
42428220,40.7445363,-73.9888917,traffic_signals,3,0.011811023622047244,0.08219787743923314,0.012654619092818635,-5.39277235252884e-05,POINT (-73.9888917 40.7445363)
42428223,40.7452886,-73.9887531,traffic_signals,4,0.015748031496062992,0.0860279933155425,0.01273441252484951,0.0005045295661420801,POINT (-73.9887531 40.7452886)
42428227,40.7467961,-73.9884727,traffic_signals,4,0.015748031496062992,0.09234814288307748,0.016999956918526037,0.001053329015965335,POINT (-73.9884727 40.7467961)
42428232,40.7475458,-73.9883326,traffic_signals,4,0.015748031496062992,0.09610365906376382,0.020198385990383306,0.0011469641569072369,POINT (-73.9883326 40.7475458)
42428253,40.7506824,-73.9878205,traffic_signals,3,0.011811023622047244,0.09805763387460384,0.007066216139964322,0.0003350838768427561,POINT (-73.9878205 40.7506824)
42428258,40.751444,-73.9876732,traffic_signals,4,0.015748031496062992,0.08697787914530558,0.017276811715926287,0.0007376397681083284,POINT (-73.9876732 40.751444)
42428264,40.7521844,-73.9875229,traffic_signals,4,0.015748031496062992,0.09359164262882981,0.021573362288995153,0.0008484168937017416,POINT (-73.9875229 40.7521844)
42428268,40.7528837,-73.9873365,traffic_signals,4,0.015748031496062992,0.08359352587116918,0.017857950722668214,0.0006345869701445774,POINT (-73.9873365 40.7528837)
42428272,40.7536222,-73.9870696,traffic_signals,3,0.011811023622047244,0.0882116079275085,0.019455485468193628,0.00025527060051385456,POINT (-73.9870696 40.7536222)
42428277,40.7543353,-73.9868976,traffic_signals,3,0.011811023622047244,0.07447806417831555,0.010823174885139966,0.00043174186126076905,POINT (-73.9868976 40.7543353)
42428283,40.7550539,-73.9866712,traffic_signals,4,0.015748031496062992,0.0784330891595736,0.011955220963502959,-0.0005670279600928676,POINT (-73.9866712 40.7550539)
42428287,40.7558193,-73.9864249,traffic_signals,3,0.01968503937007874,0.07637973420743221,0.010851868164425581,-0.0005770718194136334,POINT (-73.9864249 40.7558193)
42429874,40.743451,-73.988194,traffic_signals,4,0.015748031496062992,0.0825712430600263,0.09658765894003407,0.009525925369588977,POINT (-73.988194 40.743451)
42429876,40.7427711,-73.9865977,traffic_signals,4,0.015748031496062992,0.0774816057828837,0.0644182152631763,0.0030037636292927143,POINT (-73.9865977 40.7427711)
