osmid,y,x,highway,street_count,dc,cc,nbc,vulnerability,com,ref,geometry
1437658990,-23.1915753,-45.8698476,traffic_signals,4,0.008064516129032258,0.03216223317928188,0.05184437264404955,0.9995789144606418,0.02681034661559025,,POINT (-45.8698476 -23.1915753)
1437659004,-23.1923071,-45.8699266,,3,0.0064516129032258064,0.030239937218123424,0.051711484009936255,0.9979054159043855,0.022012629872014345,,POINT (-45.8699266 -23.1923071)
1437659005,-23.1927044,-45.8703527,,3,0.0032258064516129032,0.029342492024793648,0.0,1.0009298823084705,0.009497149921663497,,POINT (-45.8703527 -23.1927044)
1437659008,-23.1927582,-45.8694539,,3,0.004838709677419355,0.02868895026862571,0.06519881181927145,0.9975867236539014,0.030882726184535022,,POINT (-45.8694539 -23.1927582)
1437659009,-23.193493,-45.8694306,,3,0.0064516129032258064,0.029524618826374645,0.015214011499643892,1.00007121725539,0.02573487510616231,,POINT (-45.8694306 -23.193493)
1437659011,-23.1932316,-45.8696386,,3,0.008064516129032258,0.028695764098729412,0.013680580888356175,0.999988324420982,0.02663598379974623,,POINT (-45.8696386 -23.1932316)
1437659020,-23.1938019,-45.8695602,,3,0.0032258064516129032,0.028759563075736193,2.3450935431757777e-05,1.0010267949040477,0.016681970988819784,,POINT (-45.8695602 -23.1938019)
1437659025,-23.1945064,-45.8701988,,3,0.0032258064516129032,0.0296888855288379,0.0,1.001021036115749,0.016695986917981343,,POINT (-45.8701988 -23.1945064)
1437659085,-23.1945142,-45.8671338,,3,0.004838709677419355,0.03622156288562487,0.06538120798374068,0.9914222019372029,0.027705717755271,,POINT (-45.8671338 -23.1945142)
1437661738,-23.1947219,-45.8676265,,3,0.0032258064516129032,0.026471373989152603,0.06517275522434728,0.9941118616544948,0.02039147354244204,,POINT (-45.8676265 -23.1947219)
1437668168,-23.193067,-45.8691192,,3,0.004838709677419355,0.0271836937320097,0.06517796654333212,0.9950904803432885,0.026779445179778552,,POINT (-45.8691192 -23.193067)
1437668193,-23.1928182,-45.8690082,,3,0.0064516129032258064,0.027167801124593074,0.0031789045807493876,0.9980066646572333,0.02446728629164535,,POINT (-45.8690082 -23.1928182)
1437668199,-23.1929401,-45.869261,,3,0.004838709677419355,0.027896708649570612,0.06519360050028662,0.9970894056315132,0.029163819545914106,,POINT (-45.869261 -23.1929401)
1437668208,-23.1921144,-45.8676013,,3,0.0064516129032258064,0.034259809777488326,0.02923028818593986,0.9980907589800533,0.030410246347561586,,POINT (-45.8676013 -23.1921144)
1437668220,-23.1918974,-45.8658661,,3,0.0064516129032258064,0.03217593745973111,0.015415515833724181,0.9994289383130709,0.029509722071384987,,POINT (-45.8658661 -23.1918974)
1437668225,-23.1926032,-45.8672987,,3,0.00967741935483871,0.03318883780938642,0.01597442979484774,0.99773099341201,0.025374259495337687,,POINT (-45.8672987 -23.1926032)
1437668258,-23.1926438,-45.8664561,,3,0.004838709677419355,0.031195622298293396,0.016728768217902618,0.9992793849845233,0.02710906534256614,,POINT (-45.8664561 -23.1926438)
1437681453,-23.1906358,-45.8678315,,3,0.00967741935483871,0.031216578431503286,0.011887452880990844,1.000196431241988,0.03022397957650819,,POINT (-45.8678315 -23.1906358)
1437681454,-23.1918835,-45.8671394,,3,0.0064516129032258064,0.03319613286110845,0.013599805444091232,0.9999892714048549,0.031793173742941244,,POINT (-45.8671394 -23.1918835)
1437681455,-23.1908703,-45.8676939,,3,0.00967741935483871,0.03218965342390641,0.0038346622196744665,1.0004367891207102,0.03166110835523043,,POINT (-45.8676939 -23.1908703)
