u,v,key,osmid,oneway,lanes,name,highway,reversed,length,ebc,vulnerability,geometry,maxspeed,bridge,ref,junction
1437681460,1437681456,0,130575669,False,,Rua Sergipe,residential,False,199.277,0.0017062712167232447,,"LINESTRING (-45.8691359 -23.1922309, -45.8674137 -23.1913908)",,,,
1437689817,1437668258,0,772038456,True,3,Rodovia Presidente Dutra,motorway,False,163.548,1.1911142874158776e-05,,"LINESTRING (-45.8650608 -23.1919238, -45.8664561 -23.1926438)",100,,SP-060;BR-116,
1437689817,1437698178,0,130576407,True,,,motorway_link,False,84.258,8.933357155619082e-06,0.9943821305020754,"LINESTRING (-45.8650608 -23.1919238, -45.8654289 -23.1920428, -45.8655356 -23.1920428, -45.8656513 -23.1919938, -45.8657402 -23.1919161, -45.8657795 -23.1918548)",,,,
1437698178,1437698184,0,130576761,False,,Avenida Deputado Benedito Matarazzo,residential,False,60.511,1.1911142874158776e-05,0.9962912902460769,"LINESTRING (-45.8657795 -23.1918548, -45.865258 -23.1915972)",,,,
1437698184,1437698186,0,130576761,False,,Avenida Deputado Benedito Matarazzo,residential,False,62.218,8.933357155619082e-06,0.9981463946923925,"LINESTRING (-45.865258 -23.1915972, -45.8647237 -23.1913291)",,,,
1437698184,1437698178,0,130576761,False,,Avenida Deputado Benedito Matarazzo,residential,True,60.511,5.955571437079388e-06,,"LINESTRING (-45.865258 -23.1915972, -45.8657795 -23.1918548)",,,,
1437698186,1437698184,0,130576761,False,,Avenida Deputado Benedito Matarazzo,residential,True,62.218,5.955571437079388e-06,,"LINESTRING (-45.8647237 -23.1913291, -45.865258 -23.1915972)",,,,
1446670972,1437659085,0,448350906,True,2,Avenida dos Astronautas,secondary,False,153.286,0.024968733249955334,,"LINESTRING (-45.8658229 -23.1949238, -45.8659978 -23.1947089, -45.8661647 -23.1945881, -45.8661788 -23.1945779, -45.8663895 -23.1944934, -45.8666181 -23.1944743, -45.8668631 -23.1945028, -45.8668763 -23.1945043, -45.8671338 -23.1945142)",60,,,
1446670972,6193276640,0,772037050,True,2,,motorway_link,False,85.16,0.00899214479034025,0.9979571486477493,"LINESTRING (-45.8658229 -23.1949238, -45.8659128 -23.1944682, -45.8660153 -23.1941804)",60,,,
1446670988,1454021673,0,312071903,True,,Avenida dos Astronautas,secondary,False,222.525,0.05826992130680246,0.9941960896242613,"LINESTRING (-45.8540288 -23.2182371, -45.8541801 -23.2178618, -45.8542699 -23.2177099, -45.8545876 -23.2172996, -45.8552113 -23.2165742)",60,,,
1446670988,1446748371,0,312135006,True,,,secondary_link,False,40.15,0.02326097314037282,0.9922413748799129,"LINESTRING (-45.8540288 -23.2182371, -45.8540791 -23.2181952, -45.8541076 -23.2181764, -45.8541706 -23.2181496, -45.8542276 -23.2181493, -45.8542762 -23.2181801, -45.8543399 -23.2182562)",60,,,
1446670989,1454044981,0,312071903,True,,Avenida dos Astronautas,secondary,False,46.913,0.006867157765984934,0.9995953040118027,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",60,,,
1446670989,3178889265,0,312071905,True,,Rua Professor Waldemar Ramos,residential,False,24.064,0.002889942880031309,0.9997468017899009,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",,,,
1446671002,2143249780,0,132121238,True,,Avenida Doutor Amin Simão,tertiary,False,38.96,0.002677029360967185,0.999806049869084,"LINESTRING (-45.8560897 -23.2230937, -45.8560427 -23.222746)",60,,,
1446671002,1446674016,0,312071894,True,,,tertiary_link,False,46.416000000000004,0.0025147400393067715,0.9999243610544368,"LINESTRING (-45.8560897 -23.2230937, -45.8560436 -23.2230173, -45.8560194 -23.2229217, -45.8559642 -23.222808, -45.8559424 -23.2227763, -45.8558953 -23.2227214)",,,,
1446671007,1453987215,0,312071903,True,,Avenida dos Astronautas,secondary,False,130.267,0.15809351700643984,0.9968707371137644,"LINESTRING (-45.8575321 -23.208997, -45.8581212 -23.2082652, -45.8582902 -23.2080552)",60,,,
1446671010,4453703041,0,448342048,True,,Avenida dos Astronautas,secondary,False,41.732,0.013038955581835703,0.9997385129776986,"LINESTRING (-45.8639063 -23.2000514, -45.8640778 -23.1997108)",60,,,
1446671010,4453703042,0,885507245,True,,Rua Raul Franco Martins,residential,False,52.384,0.00427135474124933,0.9996359317927285,"LINESTRING (-45.8639063 -23.2000514, -45.8639072 -23.1997227, -45.8639296 -23.1995818)",,,,
