u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1434786546,1437646813,0,130571658,True,,,,secondary_link,,False,30.985,"LINESTRING (-45.8738027 -23.1891115, -45.8737252 -23.1890512, -45.8736641 -23.1890156, -45.8736086 -23.1889851, -45.8735531 -23.1889547)",0.0015194048674926593,0.9999765693779854,,
1434786546,1437650668,0,448345142,True,,,Avenida Santos Dumont,secondary,,False,32.705999999999996,"LINESTRING (-45.8738027 -23.1891115, -45.8737059 -23.1889094, -45.8736688 -23.1888445)",0.0017985857457790044,0.9997924892370622,,
1434786547,2905769448,0,130571663,True,3,,Avenida Santos Dumont,secondary,50,False,99.864,"LINESTRING (-45.8736854 -23.1886102, -45.873755 -23.1886854, -45.8738029 -23.1887501, -45.8738356 -23.1888, -45.8738726 -23.1888772, -45.874129 -23.1894055)",0.011023024255954533,0.999568484376535,,
1434786547,1437650668,0,130572197,True,,,,secondary_link,,False,26.683999999999997,"LINESTRING (-45.8736854 -23.1886102, -45.8736989 -23.1887259, -45.8736972 -23.1887786, -45.8736688 -23.1888445)",0.007850079501138849,0.9999437713298596,,
1434786551,2905769452,0,286900439,True,,,Avenida Nair Toledo de Mira,secondary,,False,16.467,"LINESTRING (-45.8755552 -23.1926116, -45.8754022 -23.1925652)",0.0036715113786144225,0.9999023201456148,,
1434786551,1437641681,0,313224440,True,,,Avenida Santos Dumont,secondary,,False,53.480999999999995,"LINESTRING (-45.8755552 -23.1926116, -45.8756019 -23.1930047, -45.8756041 -23.1930902)",0.002533952061834924,0.9997484699224146,,
1434786551,1434786543,0,973344588,True,,,Rua Genésia Berardineli Tarantino,secondary,,False,17.279,"LINESTRING (-45.8755552 -23.1926116, -45.8754639 -23.192712, -45.8754474 -23.1927313)",0.012728415967756056,,,
1434786552,8230948114,0,885100702,False,,,Avenida Samuel Wainer,secondary,60,True,15.644,"LINESTRING (-45.8756332 -23.1933201, -45.8755928 -23.1931844)",0.023186383592871496,0.9997990400257453,,
1434786552,1434870722,0,249535523,False,,,Avenida Samuel Wainer,secondary,60,False,310.029,"LINESTRING (-45.8756332 -23.1933201, -45.8759402 -23.1943723, -45.8759973 -23.1945635, -45.8760077 -23.1946001, -45.8760662 -23.1948062, -45.8761836 -23.1952089, -45.8762048 -23.1952817, -45.8763624 -23.195839, -45.8763965 -23.195958, -45.8764127 -23.1960146)",0.0017708421944840436,0.9979135847439984,,
1434833247,8227243170,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,60,False,25.578,"LINESTRING (-45.8776672 -23.198452, -45.877853 -23.1986061)",0.001638816988558913,0.9998361525592403,,
