u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,name,junction,bridge
1453977323,1453987200,0,664316342,False,,residential,,True,44.557,"LINESTRING (-45.8521257 -23.2045148, -45.8518151 -23.2042336)",0.0019155657453529794,0.9969423523985107,Rua Hermino José Friggi,,
1453977323,2061127780,0,670135220,False,,residential,,True,135.046,"LINESTRING (-45.8521257 -23.2045148, -45.8531043 -23.2036987)",0.0012021078206266305,0.9996027050502426,Rua Orlando Saes,,
1453977329,1453977308,0,132114033,False,,residential,,True,54.402,"LINESTRING (-45.8567843 -23.2000149, -45.8571012 -23.200408)",0.001919299791640217,,Rua Madre Maria Gema de Jesus,,
1453977330,1453990675,0,132115207,False,,residential,,False,45.026,"LINESTRING (-45.8570057 -23.2052802, -45.8566103 -23.2051016)",0.0021451971576315313,0.9995788065654525,Rua Capricórnio,,
1453977330,1453987113,0,132115207,False,,residential,,True,61.792,"LINESTRING (-45.8570057 -23.2052802, -45.8574799 -23.2055025, -45.8575443 -23.2055327)",0.0026982381033163745,0.999517021510246,Rua Capricórnio,,
1453977330,1453979257,0,819285517,False,,residential,,True,62.677,"LINESTRING (-45.8570057 -23.2052802, -45.8570366 -23.2052215, -45.8572779 -23.2047751)",0.0018113826209985378,0.9996410330250858,Rua Fênix,,
1453977331,1453979234,0,132114041,False,,residential,,False,64.774,"LINESTRING (-45.8571401 -23.2022029, -45.8566703 -23.2025939)",0.0036802129887236273,0.9994884398746854,Rua Centaurus,,
1453977331,1453977294,0,877826628,True,,residential,,False,55.134,"LINESTRING (-45.8571401 -23.2022029, -45.8575353 -23.2018654)",0.002988904407943337,,Rua Centaurus,,
1453977333,1453987206,0,448351874,False,,residential,,True,150.892,"LINESTRING (-45.8522207 -23.2064313, -45.8532924 -23.2054979)",0.002758293525163758,0.9996506554027684,Rua Centaurus,,
1453977333,1453990700,0,448351880,False,,residential,,False,79.084,"LINESTRING (-45.8522207 -23.2064313, -45.8528467 -23.2068494)",0.0006939799865386155,0.9997720102491856,Rua Saturno,,
1453977333,1453987228,0,448351880,False,,residential,,True,57.691,"LINESTRING (-45.8522207 -23.2064313, -45.8520359 -23.2062767, -45.8518351 -23.2060541)",0.00107337562595291,0.999764383743107,Rua Saturno,,
1453979232,1453979238,0,819285517,False,,residential,,False,61.886,"LINESTRING (-45.8580947 -23.2032541, -45.8578272 -23.2037534)",0.0016800682196557845,0.9997463038294315,Rua Fênix,,
1453979232,1453977291,0,819285517,False,,residential,,True,53.743,"LINESTRING (-45.8580947 -23.2032541, -45.8583367 -23.202825)",0.005478243182806361,,Rua Fênix,,
1453979232,1453979234,0,132114092,False,,residential,,False,163.03799999999998,"LINESTRING (-45.8580947 -23.2032541, -45.8567299 -23.2026216, -45.8566703 -23.2025939)",0.003279604237947425,0.9996326895798334,Rua Taurus,,
