u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1453969591,1453977234,0,132114021,False,Jardim da Granja,residential,,False,162.844,"LINESTRING (-45.8593589 -23.2012756, -45.8590031 -23.2006038, -45.8587521 -23.1999246)",0.0021139722632259944,0.9961082529996289,,
1453969591,1453969592,0,448342026,False,Rua Avião Universal,residential,,False,78.785,"LINESTRING (-45.8593589 -23.2012756, -45.859066 -23.2014859, -45.8587385 -23.2016957)",0.008002185114637062,0.9984754201646543,,
1453969592,8163558861,0,448346525,False,Rua Orlando Saes,residential,,False,13.447,"LINESTRING (-45.8587385 -23.2016957, -45.8586582 -23.2015999)",0.010809513002678102,0.9982586093397564,,
1453969592,1453977301,0,132214751,False,Rua Orlando Saes,residential,,True,251.71699999999998,"LINESTRING (-45.8587385 -23.2016957, -45.8591013 -23.2021353, -45.8593685 -23.2024817, -45.8597717 -23.2033184, -45.8598167 -23.2034297, -45.8598116 -23.2034751, -45.8597822 -23.2035123, -45.8596371 -23.2036041)",0.009575205164500004,0.9990201531212612,,
1453969592,1453969591,0,448342026,False,Rua Avião Universal,residential,,True,78.785,"LINESTRING (-45.8587385 -23.2016957, -45.859066 -23.2014859, -45.8593589 -23.2012756)",0.007008492437369577,,,
1453977234,1453969591,0,132114021,False,Jardim da Granja,residential,,True,162.844,"LINESTRING (-45.8587521 -23.1999246, -45.8590031 -23.2006038, -45.8593589 -23.2012756)",0.002100304339110309,,,
1453977242,1453977301,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,False,61.217,"LINESTRING (-45.859968 -23.204063, -45.8596371 -23.2036041)",0.02389457342048764,0.9967058061695602,,
1453977242,1453977246,0,132114025,False,Rua Hidra,residential,,False,59.193999999999996,"LINESTRING (-45.859968 -23.204063, -45.8599866 -23.2040972, -45.8599886 -23.2041096, -45.8599806 -23.2041225, -45.8595671 -23.2043934)",0.07499894511873033,0.9939322651242346,,
1453977242,1453969499,0,"[132114025, 670342747]",False,"['Rua Hidra', 'Rua Avião Paulistinha']",residential,,True,171.05,"LINESTRING (-45.859968 -23.204063, -45.8600597 -23.2040029, -45.8601241 -23.2039962, -45.8602287 -23.204006, -45.8603715 -23.2040338, -45.8604104 -23.2040221, -45.8604379 -23.2039808, -45.8606957 -23.2029493)",0.03306828352693338,,,
1453977246,1453977252,0,132114025,False,Rua Hidra,residential,,False,206.178,"LINESTRING (-45.8595671 -23.2043934, -45.8586613 -23.2060502)",0.06108948657154398,0.9984034333640215,,
1453977246,1453987117,0,310701931,False,Rua Orion,residential,,False,74.563,"LINESTRING (-45.8595671 -23.2043934, -45.8591431 -23.2038477)",0.012567913289005037,0.9975911654711742,,
1453977246,1453987139,0,310701931,False,Rua Orion,residential,,True,71.829,"LINESTRING (-45.8595671 -23.2043934, -45.8599962 -23.204905)",0.024539087213197457,0.9964718227856674,,
1453977246,1453977242,0,132114025,False,Rua Hidra,residential,,True,59.194,"LINESTRING (-45.8595671 -23.2043934, -45.8599806 -23.2041225, -45.8599886 -23.2041096, -45.8599866 -23.2040972, -45.859968 -23.204063)",0.051462257906282415,,,
1453977252,1453977246,0,132114025,False,Rua Hidra,residential,,True,206.178,"LINESTRING (-45.8586613 -23.2060502, -45.8595671 -23.2043934)",0.0264952540750671,,,
1453977252,2024367597,0,132115207,False,Rua Capricórnio,residential,,False,65.188,"LINESTRING (-45.8586613 -23.2060502, -45.8580931 -23.2057838)",0.06678802041240982,0.9978913541021862,,
1453977252,1453987131,0,132115207,False,Rua Capricórnio,residential,,True,67.052,"LINESTRING (-45.8586613 -23.2060502, -45.8592457 -23.2063243)",0.0031347367639063717,0.9995703320971899,,
1453977291,1453977303,0,132114040,False,Rua Fênix,residential,,True,55.659,"LINESTRING (-45.8583367 -23.202825, -45.8587901 -23.2025477)",0.0037266604378906397,0.9983224452667694,,
1453977291,1453987112,0,310701931,False,Rua Orion,residential,,True,70.179,"LINESTRING (-45.8583367 -23.202825, -45.8587304 -23.2033421)",0.01539277319581871,0.9983545997941986,,
1453977291,1453979232,0,819285517,False,Rua Fênix,residential,,False,53.743,"LINESTRING (-45.8583367 -23.202825, -45.8580947 -23.2032541)",0.005400586023702492,0.9988765631931379,,
1453977291,7650927101,0,877799613,False,Rua Orion,residential,,False,14.202,"LINESTRING (-45.8583367 -23.202825, -45.8582515 -23.2027241)",0.005535538585221142,0.998007303401361,,
1453977294,1453977295,0,448342021,False,Rua Odete Mimessi,residential,,True,56.323,"LINESTRING (-45.8575353 -23.2018654, -45.8572117 -23.2014554)",0.0009381909474732506,0.9990830591003222,,
1453977294,8167145019,0,819285518,True,Rua Orion,residential,,False,91.101,"LINESTRING (-45.8575353 -23.2018654, -45.8580834 -23.2025115)",0.0042715263632735105,0.999615801519135,,
1453977295,1453977294,0,448342021,False,Rua Odete Mimessi,residential,,False,56.323,"LINESTRING (-45.8572117 -23.2014554, -45.8575353 -23.2018654)",0.0019118007729252294,,,
1453977295,1453987151,0,448342021,False,Rua Odete Mimessi,residential,,True,52.361,"LINESTRING (-45.8572117 -23.2014554, -45.8569075 -23.2010765)",0.0029389245831852283,0.9990490846675474,,
1453977295,1453977306,0,132114038,False,Rua José Alves Moreira,residential,,True,64.13999999999999,"LINESTRING (-45.8572117 -23.2014554, -45.857378 -23.2013859, -45.8575887 -23.2013292, -45.8578124 -23.2013042)",0.003660115069100359,0.9988825054832923,,
1453977296,1453987151,0,448342021,False,Rua Odete Mimessi,residential,,False,54.122,"LINESTRING (-45.856577 -23.2006962, -45.8569075 -23.2010765)",0.0007396135213472128,0.9998521300771699,,
1453977296,2061113646,0,448346524,False,Rua Orlando Saes,residential,,False,144.372,"LINESTRING (-45.856577 -23.2006962, -45.8555553 -23.2015928)",0.004174110091563866,0.99906035196345,,
1453977296,1453977308,0,448346524,False,Rua Orlando Saes,residential,,True,64.064,"LINESTRING (-45.856577 -23.2006962, -45.8567079 -23.2005729, -45.8567955 -23.2005097, -45.8568967 -23.2004597, -45.8569839 -23.2004277, -45.8571012 -23.200408)",0.004845517835497737,0.9987105767584142,,
1453977301,1453977303,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,False,145.917,"LINESTRING (-45.8596371 -23.2036041, -45.8587901 -23.2025477)",0.014790402328461585,0.9977644464146417,,
