u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ebc,vulnerability,geometry,junction,ref,bridge
1437661738,1453962116,0,772037048,True,4,Avenida dos Astronautas,secondary,60,False,150.332,0.0018552488951888602,0.9969299598680941,"LINESTRING (-45.8676265 -23.1947219, -45.8665464 -23.1956396)",,,
1446670972,1437659085,0,448350906,True,2,Avenida dos Astronautas,secondary,60,False,153.286,0.0018517746463214654,,"LINESTRING (-45.8658229 -23.1949238, -45.8659978 -23.1947089, -45.8661647 -23.1945881, -45.8661788 -23.1945779, -45.8663895 -23.1944934, -45.8666181 -23.1944743, -45.8668631 -23.1945028, -45.8668763 -23.1945043, -45.8671338 -23.1945142)",,,
1446670972,6193276640,0,772037050,True,2,,motorway_link,60,False,85.16,0.009612350480461043,0.9982250842801818,"LINESTRING (-45.8658229 -23.1949238, -45.8659128 -23.1944682, -45.8660153 -23.1941804)",,,
1446670988,1454021673,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,222.525,0.06334258053280055,0.9938359297447196,"LINESTRING (-45.8540288 -23.2182371, -45.8541801 -23.2178618, -45.8542699 -23.2177099, -45.8545876 -23.2172996, -45.8552113 -23.2165742)",,,
1446670988,1446748371,0,312135006,True,,,secondary_link,60,False,40.15,0.02467527353919416,0.991973449799682,"LINESTRING (-45.8540288 -23.2182371, -45.8540791 -23.2181952, -45.8541076 -23.2181764, -45.8541706 -23.2181496, -45.8542276 -23.2181493, -45.8542762 -23.2181801, -45.8543399 -23.2182562)",,,
1446670989,1454044981,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,46.913,0.0075696201984944665,0.9995618496354436,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",,,
1446670989,3178889265,0,312071905,True,,Rua Professor Waldemar Ramos,residential,,False,24.064,0.0031897100321441464,0.9997273165106938,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",,,
1446671002,2143249780,0,132121238,True,,Avenida Doutor Amin Simão,tertiary,60,False,38.96,0.0028002445871202646,0.999762882020909,"LINESTRING (-45.8560897 -23.2230937, -45.8560427 -23.222746)",,,
1446671002,1446674016,0,312071894,True,,,tertiary_link,,False,46.416000000000004,0.0027203368631701827,0.9999234214519821,"LINESTRING (-45.8560897 -23.2230937, -45.8560436 -23.2230173, -45.8560194 -23.2229217, -45.8559642 -23.222808, -45.8559424 -23.2227763, -45.8558953 -23.2227214)",,,
1446671007,1453987215,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,130.267,0.15799818301751678,0.996629100729411,"LINESTRING (-45.8575321 -23.208997, -45.8581212 -23.2082652, -45.8582902 -23.2080552)",,,
1446671010,4453703041,0,448342048,True,,Avenida dos Astronautas,secondary,60,False,41.732,0.004521186190180604,0.9997945669695314,"LINESTRING (-45.8639063 -23.2000514, -45.8640778 -23.1997108)",,,
1446671010,4453703042,0,885507245,True,,Rua Raul Franco Martins,residential,,False,52.384,0.004827143435081401,0.9995981452838482,"LINESTRING (-45.8639063 -23.2000514, -45.8639072 -23.1997227, -45.8639296 -23.1995818)",,,
1446671013,3178886355,0,132120725,True,,,secondary_link,,False,70.983,0.01457910633054467,0.9994580038077712,"LINESTRING (-45.854189 -23.2192006, -45.8541072 -23.2190992, -45.8540093 -23.2189563, -45.8539526 -23.2188753, -45.8539329 -23.2188472, -45.8538893 -23.2187843, -45.8538397 -23.2187319, -45.8538226 -23.2187153, -45.8537872 -23.2186819)",,,
