osmid,y,x,street_count,dc,cc,nbc,vulnerability,com,highway,ref,geometry
1434769669,-23.1952891,-45.8715213,3,0.0015384615384615385,0.0,0.0,1.0005493206428453,0.009070112419195381,,,POINT (-45.8715213 -23.1952891)
1437650656,-23.1910426,-45.8712921,3,0.003076923076923077,0.028608172862695635,0.003722887282209316,1.00054790820056,0.0190868516404206,,,POINT (-45.8712921 -23.1910426)
1437658989,-23.1921577,-45.8709714,3,0.006153846153846154,0.030341427948233243,0.0034052388289676425,1.0006542143130694,0.02196905250414638,,,POINT (-45.8709714 -23.1921577)
1437658990,-23.1915753,-45.8698476,4,0.00923076923076923,0.03226578627925497,0.06953221919323614,0.9983204462284164,0.04452625473785423,traffic_signals,,POINT (-45.8698476 -23.1915753)
1437658997,-23.193275,-45.8714605,3,0.003076923076923077,0.027059960186488045,0.0,1.0011510257770082,0.006105315166882058,,,POINT (-45.8714605 -23.193275)
1437659002,-23.1931077,-45.8707851,3,0.006153846153846154,0.028613272813290642,0.00605902572004267,0.9970092542141326,0.014436792158241776,,,POINT (-45.8707851 -23.1931077)
1437659003,-23.1928872,-45.8710467,3,0.006153846153846154,0.02781615247972858,0.003034253881711509,0.9991146521077292,0.010279697104299582,,,POINT (-45.8710467 -23.1928872)
1437659004,-23.1923071,-45.8699266,3,0.006153846153846154,0.030341427948233243,0.06672909011892063,0.9984475074689922,0.03179718976833639,,,POINT (-45.8699266 -23.1923071)
1437659005,-23.1927044,-45.8703527,3,0.00923076923076923,0.02945472383284926,0.009861325115562404,0.9947454236393257,0.024523827442972518,,,POINT (-45.8703527 -23.1927044)
1437659008,-23.1927582,-45.8694539,3,0.004615384615384615,0.028838189614365333,0.08198056181107029,0.9964772048318737,0.03032671373294446,,,POINT (-45.8694539 -23.1927582)
1437659009,-23.193493,-45.8694306,3,0.006153846153846154,0.029634184878126718,0.017296037296037296,1.000172754204287,0.027800965506769526,,,POINT (-45.8694306 -23.193493)
1437659011,-23.1932316,-45.8696386,3,0.007692307692307693,0.0288317143607246,0.012916123424597999,1.000085817025524,0.02910549191803785,,,POINT (-45.8696386 -23.1932316)
1437659020,-23.1938019,-45.8695602,3,0.004615384615384615,0.028782597300484866,0.0030425506696693137,1.0006970198594336,0.023079186245538317,,,POINT (-45.8695602 -23.1938019)
1437659025,-23.1945064,-45.8701988,3,0.003076923076923077,0.029680792983401517,0.0,1.0008455369486051,0.0183383214044482,,,POINT (-45.8701988 -23.1945064)
1437659085,-23.1945142,-45.8671338,3,0.004615384615384615,0.03602427423322945,0.08314211212516298,0.9905174931461568,0.028238769040336363,,,POINT (-45.8671338 -23.1945142)
1437661738,-23.1947219,-45.8676265,3,0.003076923076923077,0.0266080076001747,0.08186203626881593,0.9934708932583161,0.01945854182002864,,,POINT (-45.8676265 -23.1947219)
1437668168,-23.193067,-45.8691192,3,0.004615384615384615,0.027323684529285245,0.0818857413772668,0.9943600974491872,0.02557105020465494,,,POINT (-45.8691192 -23.193067)
1437668193,-23.1928182,-45.8690082,3,0.006153846153846154,0.02730857572882243,0.003034253881711509,0.9979114399452389,0.02336502261898593,,,POINT (-45.8690082 -23.1928182)
1437668199,-23.1929401,-45.869261,3,0.004615384615384615,0.028042132141717205,0.08195685670261942,0.9961010768650139,0.02796987525434558,,,POINT (-45.869261 -23.1929401)
1437668208,-23.1921144,-45.8676013,3,0.006153846153846154,0.034184793961163695,0.03407727865354984,0.997917886121853,0.02921001281752756,,,POINT (-45.8676013 -23.1921144)
1437668220,-23.1918974,-45.8658661,3,0.006153846153846154,0.032199439058358766,0.017572201809489946,0.9992853001205236,0.028437504576216643,,,POINT (-45.8658661 -23.1918974)
1437668225,-23.1926032,-45.8672987,3,0.00923076923076923,0.033165854705269934,0.017978349334281538,0.9976199796778437,0.024282696723364715,,,POINT (-45.8672987 -23.1926032)
1437668258,-23.1926438,-45.8664561,3,0.004615384615384615,0.031222322393844062,0.018661451542807475,0.9989875519854017,0.02641983857108764,,,POINT (-45.8664561 -23.1926438)
1437681453,-23.1906358,-45.8678315,3,0.00923076923076923,0.03131521877790535,0.0088961321164711,1.0002386076412775,0.03252605455744162,,,POINT (-45.8678315 -23.1906358)
1437681454,-23.1918835,-45.8671394,3,0.006153846153846154,0.033188142433942386,0.016538659081031963,0.9996992309262377,0.03064387140758475,,,POINT (-45.8671394 -23.1918835)
1437681455,-23.1908703,-45.8676939,3,0.00923076923076923,0.03224795898260161,0.0037706925842519064,1.0002627505240265,0.032130795695022134,,,POINT (-45.8676939 -23.1908703)
1437681456,-23.1913908,-45.8674137,3,0.00923076923076923,0.033231087752826884,0.00418948283355063,1.00026897453031,0.03122000040570354,,,POINT (-45.8674137 -23.1913908)
1437681457,-23.1904948,-45.8673288,3,0.00923076923076923,0.03130911027916782,0.020076646517324482,0.9995370030199007,0.03363863680342989,,,POINT (-45.8673288 -23.1904948)
