osmid,y,x,highway,street_count,dc,cc,nbc,vulnerability,com,geometry
1446670972,-23.1949238,-45.8658229,motorway_junction,3,0.0038684719535783366,0.039172581899747226,0.0019342359767891683,0.9980962795653161,0.016087928391892464,POINT (-45.8658229 -23.1949238)
1446670988,-23.2182371,-45.8540288,,4,0.007736943907156673,0.05317360783198879,0.08933221238907124,0.9868335082311972,0.061664279299323665,POINT (-45.8540288 -23.2182371)
1446670989,-23.2140414,-45.8569489,,4,0.007736943907156673,0.0608306581949843,0.009184982702876765,0.9975812035141497,0.06063475843748237,POINT (-45.8569489 -23.2140414)
1446671002,-23.2230937,-45.8560897,,3,0.005802707930367505,0.040210992003762436,0.0038384837988994346,1.0005791031072797,0.044945993903716654,POINT (-45.8560897 -23.2230937)
1446671007,-23.208997,-45.8575321,,3,0.005802707930367505,0.06781653980490657,0.15946891366405913,0.9957221837468551,0.04559260919605989,POINT (-45.8575321 -23.208997)
1446671010,-23.2000514,-45.8639063,,3,0.005802707930367505,0.04265741622187452,0.006438394334237976,0.9996956699604821,0.04026043491335848,POINT (-45.8639063 -23.2000514)
1446671013,-23.2192006,-45.854189,,3,0.005802707930367505,0.04562435670660829,0.035550957371838124,0.9987046011126732,0.050480826137254325,POINT (-45.854189 -23.2192006)
1446671015,-23.203508,-45.8612975,,3,0.007736943907156673,0.055407744397042415,0.0801138687778133,0.9947084213653046,0.04566226264637559,POINT (-45.8612975 -23.203508)
1446671018,-23.2055917,-45.8605262,,4,0.009671179883945842,0.06209966424004253,0.1478505767443611,0.9913302597371746,0.056554945556709146,POINT (-45.8605262 -23.2055917)
1446671019,-23.2003589,-45.8636959,,3,0.005802707930367505,0.04454243505212011,0.006434645814903113,0.9994941921480286,0.04798238392860998,POINT (-45.8636959 -23.2003589)
1446671022,-23.2107427,-45.8569899,,3,0.007736943907156673,0.059808594498370185,0.06577062214947677,0.9967103262279646,0.04742205695232231,POINT (-45.8569899 -23.2107427)
1446671027,-23.1955056,-45.8656856,traffic_signals,3,0.005802707930367505,0.040614974027702255,0.003860974914908611,0.9946579480207283,0.028867967090932124,POINT (-45.8656856 -23.1955056)
