osmid,y,x,street_count,dc,cc,nbc,vulnerability,com,ref,highway,geometry
1434769556,-23.1963241,-45.8745623,3,0.002666666666666667,0.037145570478903815,0.013061245068362504,0.9971364860002591,0.01685067546072644,,,POINT (-45.8745623 -23.1963241)
1434769669,-23.1952891,-45.8715213,3,0.0017777777777777779,0.0008888888888888889,0.000551891393172532,0.9991581008606788,0.009378838561503833,,,POINT (-45.8715213 -23.1952891)
1434769703,-23.1967287,-45.8739872,3,0.0017777777777777779,0.0,0.0,0.9992698767983487,0.009448756170962047,147,motorway_junction,POINT (-45.8739872 -23.1967287)
1434786526,-23.1980119,-45.8770966,3,0.0017777777777777779,0.034980845599305664,0.0,1.000134814216323,0.01052898250767468,,,POINT (-45.8770966 -23.1980119)
1434786538,-23.1976086,-45.8765156,3,0.002666666666666667,0.03581308655701253,0.013061245068362504,0.9983487582806151,0.014744007625640999,,,POINT (-45.8765156 -23.1976086)
1434786543,-23.1927313,-45.8754474,4,0.0035555555555555557,0.031112752478622767,0.008262286061926371,0.999662550361449,0.04028026505250431,,,POINT (-45.8754474 -23.1927313)
1434786546,-23.1891115,-45.8738027,3,0.002666666666666667,0.029633638183884408,0.002123729322225129,0.9997874503444095,0.0218399227622582,,,POINT (-45.8738027 -23.1891115)
1434786547,-23.1886102,-45.8736854,3,0.002666666666666667,0.033701572452841805,0.017003345815681446,0.9995009942337238,0.023751588466725558,,,POINT (-45.8736854 -23.1886102)
1434786551,-23.1926116,-45.8755552,5,0.0044444444444444444,0.030258322972786297,0.009921547298702248,0.9990724693833097,0.043493511305748196,,traffic_signals,POINT (-45.8755552 -23.1926116)
1434786552,-23.1933201,-45.8756332,3,0.0044444444444444444,0.032539069463426225,0.01491606405983628,0.9990416602838211,0.019538497921205676,,,POINT (-45.8756332 -23.1933201)
1434870722,-23.1960146,-45.8764127,3,0.0044444444444444444,0.03329381364949081,0.014649495647360398,0.9966782713322575,0.013485942240024551,,traffic_signals,POINT (-45.8764127 -23.1960146)
1434874897,-23.1964168,-45.8772352,3,0.0017777777777777779,0.0008888888888888889,0.0,1.0003751715675733,0.0038820081231664247,,,POINT (-45.8772352 -23.1964168)
1434874903,-23.1960347,-45.8771321,3,0.002666666666666667,0.0008888888888888889,0.0008786081455120601,0.9988794954629532,0.007432311727484092,,,POINT (-45.8771321 -23.1960347)
1434875367,-23.1974576,-45.8768433,3,0.0035555555555555557,0.03504415717394087,0.012442483653159794,0.9990224726220078,0.013304560429075225,,,POINT (-45.8768433 -23.1974576)
1437624927,-23.1913914,-45.8767407,3,0.002666666666666667,0.02687739275547266,0.005296708344542484,0.9997501587601821,0.016083318770898518,,,POINT (-45.8767407 -23.1913914)
1437627792,-23.1913187,-45.8768029,3,0.002666666666666667,0.027078079414528014,0.002320839474142801,1.0000032701104224,0.015509930848120301,,traffic_signals,POINT (-45.8768029 -23.1913187)
1437641681,-23.1930902,-45.8756041,4,0.005333333333333334,0.031116288320027278,0.008843784866255106,0.9998377784856479,0.0366044008797814,,,POINT (-45.8756041 -23.1930902)
1437641687,-23.191721,-45.8772179,3,0.0017777777777777779,0.02690049861223688,0.0020980515513012244,1.0001858771802112,0.01080678386232113,,,POINT (-45.8772179 -23.191721)
1437646729,-23.1886429,-45.8766877,3,0.002666666666666667,0.027782146571624262,0.00434431556352328,1.0002818211816853,0.01970461715427178,,,POINT (-45.8766877 -23.1886429)
1437646730,-23.1896458,-45.877228,3,0.0017777777777777779,0.02714971350643923,0.0,1.0002829821880728,0.009044210037830186,,,POINT (-45.877228 -23.1896458)
1437646731,-23.1894965,-45.8771536,3,0.002666666666666667,0.02562590668725724,1.0622493362706887e-05,1.0003641938668748,0.009534225108803647,,,POINT (-45.8771536 -23.1894965)
1437646732,-23.1893007,-45.8770447,3,0.0035555555555555557,0.026308582958994933,0.001763093825905213,1.0002801953540452,0.01626656125897511,,,POINT (-45.8770447 -23.1893007)
1437646733,-23.1906993,-45.8773872,3,0.0017777777777777779,0.0,0.0,1.0002583241938254,0.010701284177723928,,,POINT (-45.8773872 -23.1906993)
1437646736,-23.1905705,-45.8746809,3,0.0035555555555555557,0.03206088992974239,0.01918521579713738,0.9993129679454104,0.021750150404116868,,,POINT (-45.8746809 -23.1905705)
1437646740,-23.1897,-45.876878,3,0.0035555555555555557,0.02783510394957556,0.0008695673049765576,1.0000107334790183,0.01351790934432503,,,POINT (-45.876878 -23.1897)
1437646756,-23.1886288,-45.8763831,4,0.0035555555555555557,0.028584851490316854,0.00994836514515293,0.9996339190744857,0.030128675671388487,,,POINT (-45.8763831 -23.1886288)
