osmid,y,x,street_count,dc,cc,bc,vul,sub,eff,time,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0015948963317384372,0.03301209626798124,0.04065544914643161,0.007305218158974049,3.262791207466302,0.0665098351274052,11536.415709018707,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.0015948963317384372,0.03038699633320481,0.03917800944325144,0.008677659786261312,3.4711916600024737,0.0665098351274052,11536.415709018707,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.002126528442317916,0.033451250261275996,0.04487238943453953,0.0015338537676972722,4.334598716272145,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944550,-23.5372021,-46.6535506,4,0.0015948963317384372,0.0008506113769271665,0.0008527257067824092,-0.00011164897619981845,3.4091316998700805,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,0.002126528442317916,0.03173708847227873,0.0028447182827360962,4.447105779620338e-06,3.604837817712406,0.0665098351274052,11536.415709018707,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,0.002658160552897395,0.03279053453416976,0.005422240646328472,-9.799687458909182e-05,4.6649718497335355,0.0665098351274052,11536.415709018707,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,0.0015948963317384372,0.03172812746471601,0.004492517654226369,-0.00015280443104870477,3.404467530774745,0.0665098351274052,11536.415709018707,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,0.0015948963317384372,0.03073240345013183,0.0012056948224191764,-0.0001161891418015911,3.4243072535090846,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6531738 -23.5416139)
25870836,-23.5635176,-46.6113811,4,0.000531632110579479,0.0,0.0,7.748256356544988e-05,1.6505167273896642,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6113811 -23.5635176)
25871539,-23.5560493,-46.6222841,3,0.0015948963317384372,0.03341705479328406,0.027549155320402953,0.0004927990307065786,3.3119142828182992,0.0665098351274052,11536.415709018707,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0015948963317384372,0.000531632110579479,0.0005166446095897383,0.0013254896944614783,3.3555114330294034,0.0665098351274052,11536.415709018707,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.002126528442317916,0.03135136010049282,0.0393912094744806,0.0018560152712987,4.94517716067576,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.0015948963317384372,0.0323556327210456,0.04478056641578481,0.001415783220494903,3.9374902730659955,0.0665098351274052,11536.415709018707,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.0015948963317384372,0.0294874419668224,0.022765658215269484,0.01032717440199106,3.3911664857004804,0.0665098351274052,11536.415709018707,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.0015948963317384372,0.04184851614279874,0.0744941869044116,0.003270419095489889,3.260588185301721,0.0665098351274052,11536.415709018707,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0015948963317384372,0.04370609910890591,0.07449786308389965,0.0032772927811531706,3.2685259033416574,0.0665098351274052,11536.415709018707,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.0015948963317384372,0.04227259002734558,0.04654019802293272,0.001306479257505936,3.4394987816429263,0.0665098351274052,11536.415709018707,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.0015948963317384372,0.03765787950408559,0.03332103923471813,0.0024070779032434077,3.3628085891330213,0.0665098351274052,11536.415709018707,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.0015948963317384372,0.044987809309222124,0.045238372526284376,0.0013514249244184744,3.388464800728893,0.0665098351274052,11536.415709018707,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,0.002126528442317916,0.042135875299813975,0.00858679764660782,0.0003860678457753479,5.099306427875546,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,0.002126528442317916,0.042854979240193124,0.06843955984773432,0.0005080829027667339,6.044050790721758,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,0.0015948963317384372,0.036607439814371916,0.0164170784307723,-3.411341699177822e-05,3.453936807000577,0.0665098351274052,11536.415709018707,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,0.0015948963317384372,0.03802664493227855,0.016420754610260352,-4.031045511654682e-05,3.996081297262319,0.0665098351274052,11536.415709018707,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,0.002126528442317916,0.036857337878335054,0.020533653859794197,0.0015822659158451068,5.019639956379693,0.0665098351274052,11536.415709018707,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,0.002126528442317916,0.035222603566325054,0.016637946679979164,0.0018367447506985072,4.950373165602961,0.0665098351274052,11536.415709018707,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,0.0015948963317384372,0.036358701699556364,0.013446602405925453,0.0008898019941571167,3.3622331942318486,0.0665098351274052,11536.415709018707,,,POINT (-46.6252162 -23.5326836)
