u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,tunnel,width,access,junction,est_width
25777974,5588633745,0,4328340,True,3,Avenida Presidente Castelo Branco (Central),trunk,70,False,194.329,"LINESTRING (-46.6329128 -23.5192517, -46.6326794 -23.5193132, -46.6326284 -23.51932, -46.6324286 -23.5193421, -46.6320853 -23.5193864, -46.6318385 -23.5194319, -46.6315636 -23.5195056, -46.6312759 -23.519596, -46.6310667 -23.5196624)",,,,,,,
25777974,2368031429,0,"[941917754, 4614878, 278036030]",True,3,Marginal Tietê (Expressa),motorway,90,False,719.25,"LINESTRING (-46.6329128 -23.5192517, -46.6317742 -23.5193249, -46.6304203 -23.5193851, -46.6302151 -23.5193974, -46.6300783 -23.5194091, -46.6297756 -23.5194398, -46.6294004 -23.5194798, -46.6288398 -23.5195253, -46.6281948 -23.5195671, -46.6277589 -23.5196053, -46.627382 -23.5196323, -46.6269663 -23.519668, -46.626403 -23.5197012, -46.6258788 -23.519726)",SP-015,,,,,,
25777984,5233398708,0,4331536,True,1,,trunk_link,40,False,74.75199999999998,"LINESTRING (-46.6315649 -23.5196667, -46.6314892 -23.5197135, -46.6314208 -23.5197516, -46.6313564 -23.5197989, -46.6313101 -23.519858, -46.6312749 -23.5199088, -46.6312538 -23.519948, -46.6312303 -23.5200209, -46.6312008 -23.5201119, -46.6311874 -23.5201402, -46.6311733 -23.5201635, -46.631156 -23.520194)",,,,,,,
25777984,25777990,0,584709943,True,3,Avenida Presidente Castelo Branco (Local),trunk,60,False,93.035,"LINESTRING (-46.6315649 -23.5196667, -46.6310667 -23.5197916, -46.6308662 -23.5198321, -46.6306778 -23.5198591)",,,,,,,
25777990,25777992,0,"[278036026, 278036027]",True,3,Avenida Presidente Castelo Branco (Local),trunk,60,False,101.53200000000001,"LINESTRING (-46.6306778 -23.5198591, -46.6299447 -23.519909, -46.629684 -23.5199059)",,,,,,,
25777992,25876404,0,"[4331534, 935871495]",True,"['1', '2']",,trunk_link,40,False,172.65400000000005,"LINESTRING (-46.629684 -23.5199059, -46.6296183 -23.5199459, -46.629558 -23.5199858, -46.6295084 -23.5200363, -46.6294701 -23.5201057, -46.6294507 -23.5201635, -46.6294514 -23.520257, -46.6294824 -23.5203692, -46.6295398 -23.5204435, -46.6296123 -23.5204912, -46.6296753 -23.5205005, -46.6297585 -23.5205011, -46.6298638 -23.5204826, -46.6299516 -23.5204347, -46.6300133 -23.5203818, -46.6300353 -23.520344, -46.6300515 -23.5203037, -46.630059 -23.5202754, -46.6300635 -23.5202465, -46.63008 -23.520118, -46.6300981 -23.5200722, -46.6301182 -23.5200449, -46.6301447 -23.5200243, -46.6301737 -23.5200054)",,,,,,,
25777992,25777997,0,4614911,True,3,Avenida Presidente Castelo Branco (Local),trunk,60,False,116.761,"LINESTRING (-46.629684 -23.5199059, -46.6288921 -23.5198795, -46.6287164 -23.5198746, -46.6285394 -23.5198746)",,,,,,,
25777997,25778039,0,842455158,True,4,Avenida Presidente Castelo Branco (Local),trunk,60,False,165.58499999999998,"LINESTRING (-46.6285394 -23.5198746, -46.6282149 -23.5198881, -46.6280514 -23.5198977, -46.627838 -23.5199102, -46.6276187 -23.5199219, -46.626918 -23.5199594)",,,,,,,
25778039,1929896837,0,182625575,True,1,Rua Pietro Giannoccaro,motorway_link,50,False,202.94400000000002,"LINESTRING (-46.626918 -23.5199594, -46.6267873 -23.5200301, -46.6266833 -23.5200928, -46.6266049 -23.5201654, -46.6265599 -23.5202213, -46.6264989 -23.5203123, -46.6264439 -23.5204125, -46.6263896 -23.5205423, -46.6263434 -23.5206579, -46.6262931 -23.5207741, -46.6262595 -23.5208282, -46.6261757 -23.5209438, -46.6260429 -23.5211079, -46.6259571 -23.5212186, -46.625876 -23.5213409, -46.6258199 -23.5214378)",,,,,,,
25778039,3916046762,0,842455158,True,4,Avenida Presidente Castelo Branco (Local),trunk,60,False,139.856,"LINESTRING (-46.626918 -23.5199594, -46.6261442 -23.5200024, -46.6255488 -23.5200356)",,,,,,,
25778049,25778062,0,945243375,True,3,Avenida Presidente Castelo Branco,trunk,60,False,191.023,"LINESTRING (-46.6225851 -23.5200626, -46.6220934 -23.520003, -46.6211628 -23.519775, -46.6207637 -23.5196729)",,,,,,,
25778062,452091577,0,438281673,True,4,Avenida Presidente Castelo Branco,trunk,60,False,426.14300000000003,"LINESTRING (-46.6207637 -23.5196729, -46.6202018 -23.519545, -46.6195326 -23.5194934, -46.6191906 -23.5194909, -46.6187923 -23.5195056, -46.6185522 -23.5195339, -46.6182853 -23.519588, -46.6178638 -23.5197108, -46.6175866 -23.5197946, -46.6171615 -23.5199508, -46.6167471 -23.5201746)",,,,,,,
25778134,2350165013,0,4614876,True,4,Marginal Tietê (Expressa),motorway,90,False,832.9820000000002,"LINESTRING (-46.6141929 -23.5218113, -46.6130854 -23.5226184, -46.6125811 -23.5229479, -46.6118945 -23.523248, -46.6114882 -23.5234092, -46.611064 -23.5235424, -46.6106119 -23.5236638, -46.610156 -23.5237535, -46.6097122 -23.5238212, -46.6092222 -23.5238589, -46.6089216 -23.5238542, -46.6086134 -23.5238424, -46.6080054 -23.5237594, -46.6071126 -23.5235734, -46.6066566 -23.5234849)",SP-015,,,,,,
25778137,452091654,0,945246226,True,4,Avenida Presidente Castelo Branco,trunk,60,False,22.602,"LINESTRING (-46.6126896 -23.5232174, -46.6125071 -23.5233328)",,,,,,,
25778137,2350164866,0,38306045,True,2,Rua Guarantã,tertiary,50,False,21.163,"LINESTRING (-46.6126896 -23.5232174, -46.6127008 -23.5233061, -46.6127253 -23.5234046)",,,,,,,
25778140,25778144,0,945246224,True,4,Avenida Presidente Castelo Branco,trunk,60,False,144.24200000000002,"LINESTRING (-46.6115037 -23.52377, -46.6108896 -23.5239277, -46.6101309 -23.5240816)",,,,,,,
25778144,461887520,0,"[582975777, 15808319]",True,2,Avenida Carlos de Campos,secondary,40,False,161.763,"LINESTRING (-46.6101309 -23.5240816, -46.6100527 -23.5241281, -46.6099322 -23.5241795, -46.6099085 -23.5241984, -46.6098839 -23.5242226, -46.6098657 -23.5242417, -46.6098475 -23.5242635, -46.6098329 -23.5242858, -46.6098197 -23.5243095, -46.6098084 -23.5243317, -46.6097986 -23.5243564, -46.6097902 -23.5243805, -46.6097832 -23.5244033, -46.6097505 -23.5245454, -46.6097448 -23.5245755, -46.6097405 -23.5246082, -46.6097397 -23.5246396, -46.6097421 -23.5247096, -46.6097489 -23.5247417, -46.6097621 -23.5247773, -46.6097797 -23.5248049, -46.6098009 -23.5248288, -46.6098279 -23.5248605, -46.6098668 -23.5249023, -46.610036 -23.5250506, -46.6102187 -23.5252043)",,,,,,,
25778144,25778147,0,945246223,True,3,Avenida Presidente Castelo Branco,trunk,60,False,119.96,"LINESTRING (-46.6101309 -23.5240816, -46.610003 -23.5240992, -46.6094365 -23.5241522, -46.6089591 -23.5241708)",,,,,,,
25778147,597437,0,945246222,True,4,Avenida Presidente Castelo Branco,trunk,60,False,33.255,"LINESTRING (-46.6089591 -23.5241708, -46.6086344 -23.5241424)",,,,,,,
25783030,1708663662,0,226030607,True,2,,trunk_link,70,False,228.518,"LINESTRING (-46.6056686 -23.5219155, -46.605915 -23.5219847, -46.6061242 -23.5220314, -46.6064984 -23.522099, -46.607646 -23.5223268, -46.6078322 -23.5224212)",,,,,,,
25783030,6221835688,0,"[440093657, 440093658]",True,4,"['Avenida Morvan Dias de Figueiredo', 'Avenida Morvan Dias de Figueiredo (Local)']",trunk,60,False,175.738,"LINESTRING (-46.6056686 -23.5219155, -46.6060625 -23.5219367, -46.6061577 -23.5219516, -46.6065413 -23.5220117, -46.606649 -23.5220309, -46.6068328 -23.5220636, -46.6072273 -23.5221338, -46.607368 -23.5221642)",,,,,,,
25783050,3957979057,0,37395900,True,2,Rua António Patricio,trunk_link,40,False,120.38900000000001,"LINESTRING (-46.609309 -23.5224308, -46.6094829 -23.5222838, -46.6095025 -23.5222544, -46.6095392 -23.5221995, -46.6095921 -23.5220615, -46.6097013 -23.5218725, -46.6099128 -23.5215149)",,,,,,,
25783050,158848206,0,440093658,True,4,Avenida Morvan Dias de Figueiredo (Local),trunk,60,False,137.86599999999999,"LINESTRING (-46.609309 -23.5224308, -46.609546 -23.5224202, -46.6098229 -23.5223745, -46.6102375 -23.5222869, -46.6106303 -23.5221853)",,,,,,,
25783146,2891590728,0,15808296,True,2,,trunk_link,40,False,169.03200000000004,"LINESTRING (-46.6115765 -23.5218114, -46.6116408 -23.5217289, -46.6116951 -23.5216433, -46.6117139 -23.521582, -46.611724 -23.5215076, -46.6117164 -23.5214389, -46.6116932 -23.5213794, -46.6116569 -23.5213223, -46.6116173 -23.5212689, -46.6115491 -23.5212059, -46.6114715 -23.521166, -46.6113816 -23.521149, -46.6112663 -23.5211445, -46.6111618 -23.5211705, -46.6110642 -23.5212143, -46.6109899 -23.5212732, -46.6109644 -23.521311, -46.6109555 -23.5213241, -46.6109037 -23.5214187, -46.6108894 -23.521521)",,,,,,,
25783146,7285099759,0,1137121801,True,4,Avenida Morvan Dias de Figueiredo (Local),trunk,60,False,87.815,"LINESTRING (-46.6115765 -23.5218114, -46.6117459 -23.5217252, -46.6119686 -23.5215976, -46.6120155 -23.5215707, -46.612312 -23.5214008)",,,,,,,
25870718,466929713,0,227324138,True,3,Avenida do Estado,trunk,50,False,345.547,"LINESTRING (-46.6111634 -23.5646175, -46.610812 -23.565249, -46.6105565 -23.5656847, -46.6103569 -23.5660711, -46.6102467 -23.5662846, -46.6099732 -23.5667603, -46.6096352 -23.5673909)",BR-050,,,,,,
25870718,3712576655,0,416452347,True,4,Rua Ibiruba,residential,,False,28.967999999999996,"LINESTRING (-46.6111634 -23.5646175, -46.6112439 -23.5646478, -46.6114307 -23.5647057)",,,,,,,
