osmid,y,x,street_count,com,highway,ref,geometry
25929414,-23.5590528,-46.6385968,3,0.007147097427911671,,,POINT (-46.6385968 -23.5590528)
25929616,-23.5659574,-46.6408524,3,0.005637131309474432,,,POINT (-46.6408524 -23.5659574)
60609692,-23.5620582,-46.6558638,4,0.01502798946030198,traffic_signals,,POINT (-46.6558638 -23.5620582)
60609697,-23.5619455,-46.6557503,4,0.01332251066103278,traffic_signals,,POINT (-46.6557503 -23.5619455)
60609753,-23.5637843,-46.6576459,4,0.00558944053646638,traffic_signals,,POINT (-46.6576459 -23.5637843)
60609766,-23.5629117,-46.6567507,4,0.011128384731763193,traffic_signals,,POINT (-46.6567507 -23.5629117)
60609797,-23.5618125,-46.6580167,4,0.0069327262462244915,traffic_signals,,POINT (-46.6580167 -23.5618125)
60624525,-23.5480122,-46.6490136,4,0.013182435550319452,traffic_signals,,POINT (-46.6490136 -23.5480122)
60634932,-23.5254833,-46.6255558,5,0.016088075096975876,traffic_signals,,POINT (-46.6255558 -23.5254833)
60634933,-23.5259257,-46.6255608,3,0.008049536340802889,,,POINT (-46.6255608 -23.5259257)
60634934,-23.5264274,-46.6255716,3,0.007879643454520281,,,POINT (-46.6255716 -23.5264274)
60634935,-23.5273444,-46.6256175,3,0.008374442603046147,,,POINT (-46.6256175 -23.5273444)
60634936,-23.5254873,-46.625306,4,0.013238498202356704,traffic_signals,,POINT (-46.625306 -23.5254873)
60634939,-23.5255003,-46.623228,4,0.01007985590225985,traffic_signals,,POINT (-46.623228 -23.5255003)
60634941,-23.5254486,-46.6220505,3,0.01046312126986883,,,POINT (-46.6220505 -23.5254486)
60641012,-23.5523377,-46.6376599,3,0.00892362562740835,,,POINT (-46.6376599 -23.5523377)
60641027,-23.5520563,-46.6359282,3,0.00975820213397063,,,POINT (-46.6359282 -23.5520563)
60641028,-23.5518993,-46.635442,5,0.015751417504985318,traffic_signals,,POINT (-46.635442 -23.5518993)
60641030,-23.5517667,-46.634943,4,0.01324729129749396,traffic_signals,,POINT (-46.634943 -23.5517667)
60641031,-23.5519876,-46.6344161,3,0.00905578118544117,crossing,,POINT (-46.6344161 -23.5519876)
60641034,-23.5520574,-46.6342543,3,0.008714827530167805,traffic_signals,,POINT (-46.6342543 -23.5520574)
60641038,-23.5522027,-46.633903,3,0.007886983663871914,traffic_signals,,POINT (-46.633903 -23.5522027)
60641043,-23.5525309,-46.6329267,4,0.010490011099335858,traffic_signals,,POINT (-46.6329267 -23.5525309)
60641048,-23.5517762,-46.6325558,3,0.008477958769228735,,,POINT (-46.6325558 -23.5517762)
60641052,-23.5504696,-46.6319095,3,0.008621795200367826,,,POINT (-46.6319095 -23.5504696)
60641086,-23.5511669,-46.6354804,3,0.009761094702836107,,,POINT (-46.6354804 -23.5511669)
