osmid,y,x,street_count,com,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.007877291738900295,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.009216194529865086,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.011965065177967827,traffic_signals,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,3,0.00828053493302605,,,POINT (-46.6253024 -23.5252524)
20944550,-23.5372021,-46.6535506,4,0.015446613264524189,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,0.01203060922524795,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,0.013870044150066046,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,0.012788394142693914,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,0.016137367565565244,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,0.013608778684616175,traffic_signals,,POINT (-46.6552234 -23.5477074)
25870718,-23.5646175,-46.6111634,4,0.008487634575540541,traffic_signals,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,4,0.013020682650699921,traffic_signals,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,4,0.014293298585845438,traffic_signals,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,3,0.006794032011135158,,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,3,0.00849611883668544,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.010629351262436046,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.012105762326646181,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.010276861834948815,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.009153190654447323,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.008088244111492202,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.008547055508099175,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.009053678949998355,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.010008180157889415,,,POINT (-46.6305184 -23.5448763)
