u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction,est_width
25871670,25871831,0,15260247,True,2,trunk,,False,52.218999999999994,"LINESTRING (-46.6257511 -23.5523785, -46.6257499 -23.5521893, -46.6257509 -23.552054, -46.6257432 -23.5519744, -46.6257308 -23.5519102)",0.0002992042496755296,Rua da Figueira,,,,,,,
25871670,25872025,0,"[923545472, 945278713]",True,2,trunk,50,False,268.772,"LINESTRING (-46.6257511 -23.5523785, -46.6257861 -23.5522728, -46.6258673 -23.5520574, -46.6263177 -23.5509519, -46.6265023 -23.5505521, -46.6266488 -23.5501074)",0.00014721713312476772,Avenida do Estado,,BR-050,,,,,
25871831,597282,0,"[1189377203, 183489030]",True,3,trunk,50,False,100.219,"LINESTRING (-46.6257308 -23.5519102, -46.6258392 -23.5516803, -46.6261325 -23.5510876)",0.042505899046560706,Avenida do Estado,,,,,,,
25871831,151239264,0,944826127,True,1,primary,,False,51.848,"LINESTRING (-46.6257308 -23.5519102, -46.6256938 -23.5518235, -46.6255187 -23.5514866)",0.00012753519597941216,Rua da Figueira,,,,,,,
25871833,151239264,0,15260284,True,1,primary,,False,88.25999999999999,"LINESTRING (-46.6256216 -23.5522727, -46.6256086 -23.5519887, -46.6255952 -23.5518488, -46.625577 -23.5517392, -46.6255187 -23.5514866)",0.0053345890991996535,Rua da Figueira,,,,,,,
25871833,25871831,0,183489030,True,3,trunk,50,False,41.821,"LINESTRING (-46.6256216 -23.5522727, -46.6256778 -23.5520764, -46.6257308 -23.5519102)",0.04233528936966288,Avenida do Estado,,,,,,,
25872025,6595269581,0,"[945278712, 974488538, 186371501]",True,"['4', '3']",trunk,50,False,866.2439999999999,"LINESTRING (-46.6266488 -23.5501074, -46.6268808 -23.5496575, -46.6268953 -23.5496294, -46.6271058 -23.5492196, -46.6274451 -23.5487288, -46.6277288 -23.5482796, -46.6280386 -23.5477637, -46.6282138 -23.5473878, -46.6284581 -23.5467998, -46.6286116 -23.5462412, -46.6287575 -23.5455225, -46.6288187 -23.5451344, -46.6288696 -23.5442792, -46.6288315 -23.5437331, -46.6286944 -23.5430398, -46.62867 -23.5429187, -46.6286381 -23.5427706)",0.024819895769978076,Avenida do Estado,,BR-050,,,,,
25872075,1420146737,0,8375715,True,4,primary,50,False,181.78199999999998,"LINESTRING (-46.6286296 -23.5481997, -46.6284281 -23.5484814, -46.6283289 -23.5486362, -46.6282819 -23.5487543, -46.6282484 -23.5488821, -46.6282296 -23.5490273, -46.6282263 -23.5491593, -46.6282383 -23.5497422)",0.07423388536522259,Avenida do Estado,,,,,,,
25872075,4902214144,0,"[1031685924, 945561098, 945561099, 945561100, 945561101, 333520062]",True,"['3', '1', '2']",trunk,50,False,649.536,"LINESTRING (-46.6286296 -23.5481997, -46.6284429 -23.5483818, -46.6283208 -23.548517, -46.6282149 -23.5486559, -46.6279931 -23.5489777, -46.6275628 -23.5496502, -46.6273673 -23.5499944, -46.6272893 -23.5501333, -46.6270733 -23.5505515, -46.6269196 -23.550886, -46.6266321 -23.5515787, -46.6264567 -23.5520841, -46.6263682 -23.5523466, -46.6262837 -23.5525544, -46.6262133 -23.5526816, -46.6259873 -23.5530006, -46.6257161 -23.5533456)",0.000319405635941067,Avenida do Estado,,BR-050,,,,,
25872212,25872075,0,"[909387488, 909387494]",True,"['4', '5']",trunk,50,False,278.49199999999996,"LINESTRING (-46.6301486 -23.5461204, -46.6296407 -23.5468368, -46.6291596 -23.547551, -46.6288493 -23.5479469, -46.6286296 -23.5481997)",0.07455435037796194,Avenida do Estado,,BR-050,,,,,
25872232,25872212,0,909387495,True,3,trunk,50,False,196.38,"LINESTRING (-46.6297656 -23.5444987, -46.6301094 -23.544975, -46.630165 -23.5450763, -46.6302077 -23.5451656, -46.630243 -23.5452747, -46.6302958 -23.5455661, -46.6302695 -23.5457912, -46.6302515 -23.5458776, -46.6301955 -23.5460135, -46.6301486 -23.5461204)",0.049002080876199984,Avenida do Estado,,BR-050,,,,,
25872236,25872212,0,"[909387489, 8375719]",True,"['1', '2']",trunk_link,50,False,148.005,"LINESTRING (-46.6305184 -23.5448763, -46.6305538 -23.5449621, -46.6305665 -23.5450703, -46.6305403 -23.5452534, -46.6305177 -23.5453328, -46.6304226 -23.5456301, -46.6303358 -23.5458399, -46.6302636 -23.5459689, -46.6301486 -23.5461204)",0.025553328878560162,,,,,,,,
25872236,8747316252,0,8579876,True,3,primary_link,50,False,43.653000000000006,"LINESTRING (-46.6305184 -23.5448763, -46.63073 -23.5449554, -46.6308443 -23.5450004, -46.6309072 -23.5450384)",0.004757433565497916,,,,,,,,
25872254,2389060601,0,909387495,True,3,trunk,50,False,35.27,"LINESTRING (-46.6291191 -23.5428224, -46.6292503 -23.5431159)",0.048177245012856515,Avenida do Estado,,BR-050,,,,,
25872264,1420146734,0,8375726,True,2,tertiary,50,False,129.04899999999998,"LINESTRING (-46.6297566 -23.5436253, -46.6300059 -23.5439008, -46.6304801 -23.5444058, -46.6305789 -23.5445076)",0.007331271645891264,Parque Dom Pedro II,,,,,,,
25872264,2389060616,0,72470714,True,1,trunk_link,,False,31.261000000000003,"LINESTRING (-46.6297566 -23.5436253, -46.629731 -23.5436915, -46.6297095 -23.5437591, -46.6296914 -23.5438986)",0.0007919250183998618,,,,,,,,
25872274,445042754,0,231245220,True,3,trunk,50,False,29.516,"LINESTRING (-46.6271577 -23.5394006, -46.6270468 -23.5391554)",0.050996233167296484,Avenida do Estado,,BR-050,,,,,
25872274,661212055,0,231245218,True,2,secondary,,False,48.04600000000001,"LINESTRING (-46.6271577 -23.5394006, -46.6270913 -23.5394884, -46.6270613 -23.539545, -46.6270233 -23.5396372, -46.6270057 -23.5397375, -46.6269719 -23.5397914)",0.019825632464912785,Largo do Pari,,,,,,,
25872723,6222710507,0,8580974,True,1,trunk_link,40,False,105.916,"LINESTRING (-46.6254827 -23.5332714, -46.6255002 -23.5334346, -46.625511 -23.5335237, -46.6255412 -23.5336245, -46.6256102 -23.5337542, -46.62568 -23.5338194, -46.6257463 -23.5338581, -46.6258865 -23.5339165, -46.6259466 -23.5339321, -46.6259938 -23.5339406, -46.6260415 -23.533946)",0.000644364579385796,,,,,,,,
25872723,6213473289,0,933998791,True,3,trunk,50,False,84.074,"LINESTRING (-46.6254827 -23.5332714, -46.6254616 -23.5333396, -46.6254348 -23.5334711, -46.6254213 -23.5336476, -46.6254227 -23.5339531, -46.6254267 -23.534022)",0.02189205978426957,Avenida do Estado,,BR-050,,,,,
25872726,25872723,0,933998790,True,4,trunk,50,False,24.86,"LINESTRING (-46.6255492 -23.5330563, -46.6254936 -23.5332367, -46.6254827 -23.5332714)",0.02253748374045366,Avenida do Estado,,BR-050,,,,,
