u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,ref,bridge,tunnel,width,access,junction,est_width
1420074010,445043618,0,27238983,False,,residential,,False,81.67,"LINESTRING (-46.6220784 -23.5575884, -46.6219962 -23.558319)",0.0006474087289866569,Rua Luís Gama,,,,,,,
1420074010,4293928070,0,27238983,False,,residential,,True,73.537,"LINESTRING (-46.6220784 -23.5575884, -46.6221529 -23.5569306)",0.000644095934110882,Rua Luís Gama,,,,,,,
1420074013,334381427,0,128508563,False,3,secondary,50,False,37.853,"LINESTRING (-46.6222318 -23.553534, -46.6226024 -23.5535122)",0.012729157582670281,Rua da Mooca,,,,,,,
1420074013,458788031,0,128508563,False,3,secondary,50,True,36.995,"LINESTRING (-46.6222318 -23.553534, -46.6218696 -23.5535553)",0.0002155935983338789,Rua da Mooca,,,,,,,
1420074013,6954442680,0,944822703,False,,residential,,True,9.415,"LINESTRING (-46.6222318 -23.553534, -46.6222244 -23.5534496)",0.0003144162970932399,Vila Moóca,,,,,,,
1420074016,445043924,0,429353539,True,1,tertiary,50,False,22.354,"LINESTRING (-46.6137549 -23.5531788, -46.6135394 -23.5532161)",0.0028067024137682075,Avenida Alcântara Machado,,,,,,,
1420074016,1420074032,0,"[857152233, 128511293, 944861927]",True,"['1', '2']",trunk_link,,False,281.63800000000003,"LINESTRING (-46.6137549 -23.5531788, -46.6134247 -23.5531817, -46.6130487 -23.5531919, -46.6126806 -23.5531795, -46.6122511 -23.5531343, -46.6118561 -23.5530719, -46.611667 -23.5530191, -46.6114631 -23.5529404, -46.6112593 -23.5528273, -46.6111005 -23.5527189)",0.0012546181184766882,Viaduto Alcântara Machado - Rampa Ascendente,,viaduct,,,,,
1420074023,445044310,0,128511296,True,2,residential,,False,58.742,"LINESTRING (-46.6243183 -23.5591142, -46.6242958 -23.5590879, -46.6242854 -23.5590662, -46.6242814 -23.5590404, -46.6243085 -23.558596)",0.00039073695396064586,Rua Doutor Pedro Severiano,,,,,,,
1420074023,445044403,0,1006443247,True,3,secondary,40,False,104.37,"LINESTRING (-46.6243183 -23.5591142, -46.6247281 -23.5589457, -46.6248346 -23.5589019, -46.6252459 -23.558717)",0.011513556106993221,Rua Otto de Alencar,,,,,,,
1420074024,445044598,0,1025373865,True,,residential,,False,29.924,"LINESTRING (-46.6225175 -23.5583814, -46.6228086 -23.5584163)",0.0018974049801715304,Rua Professor Demóstenes Batista Figueira Marqués,,,,,,,
1420074026,4293928073,0,128511287,True,,residential,,False,66.355,"LINESTRING (-46.6227648 -23.5563917, -46.622693 -23.5569848)",0.0014232959977091902,Rua Vieira Ravasco,,,,,,,
1420074026,418517428,0,679361689,True,3,secondary,,False,22.844,"LINESTRING (-46.6227648 -23.5563917, -46.6225425 -23.5563656)",0.005674350729012948,Rua Leopoldo Miguez,,,,,,,
1420074031,7992134625,0,130808670,False,,residential,,True,77.414,"LINESTRING (-46.615338 -23.5588316, -46.6154251 -23.5590126, -46.6155457 -23.5592536, -46.6155776 -23.5593186, -46.6156501 -23.5594663)",0.0008925756352428356,Rua Dona Ana Neri,,,,,,,
1420074031,418517410,0,1080801251,True,3,primary,50,False,321.839,"LINESTRING (-46.615338 -23.5588316, -46.6152241 -23.5588871, -46.6151376 -23.5589317, -46.6149932 -23.5590171, -46.6148088 -23.5591351, -46.6144377 -23.5594141, -46.6141158 -23.5596944, -46.6138262 -23.559987, -46.6135861 -23.5602611, -46.6134493 -23.5604455, -46.6133823 -23.560539, -46.6132897 -23.5606828, -46.6131704 -23.5608807)",0.014299995242060841,Avenida do Estado,,,,,,,
1420074032,445061549,0,"[203314696, 519489956]",True,6,trunk,50,False,111.65100000000001,"LINESTRING (-46.6111005 -23.5527189, -46.6107939 -23.5525913, -46.6105217 -23.5524683, -46.6102991 -23.55237, -46.6101115 -23.5522875)",0.005540269007966762,"['Avenida Alcântara Machado', 'Viaduto Alcântara Machado']",,viaduct,,,,,
1420074033,1420074024,0,128511287,True,,residential,,False,82.17,"LINESTRING (-46.6226084 -23.5576472, -46.6225856 -23.5578099, -46.622582 -23.557836, -46.6225597 -23.5579994, -46.6225175 -23.5583814)",0.0011714369878588994,Rua Vieira Ravasco,,,,,,,
1420074033,1420074010,0,128511292,True,,residential,,False,54.417,"LINESTRING (-46.6226084 -23.5576472, -46.6225101 -23.5576347, -46.6220784 -23.5575884)",0.00023056091144013256,Rua General Espozel Júnior,,,,,,,
1420099938,396034427,0,1006443249,True,3,secondary,,False,24.565,"LINESTRING (-46.6268463 -23.5568743, -46.6266079 -23.5568419)",0.005927128176223473,Rua Leopoldo Miguez,,,,,,,
1420099938,1420099953,0,"[779597568, 128515113, 183462527]",True,2,secondary,,False,248.18599999999998,"LINESTRING (-46.6268463 -23.5568743, -46.6268104 -23.5567999, -46.6267933 -23.5567522, -46.6267767 -23.5566966, -46.6267682 -23.5566372, -46.6267727 -23.5565684, -46.6268024 -23.5563183, -46.6268319 -23.5560998, -46.6269194 -23.5554883, -46.6269588 -23.5551574, -46.6269899 -23.5548694, -46.6269919 -23.5548154, -46.6270015 -23.5546665)",0.014852818924337605,Avenida Prefeito Passos,,viaduct,,,,,
1420099938,4293887737,0,229739161,True,2,secondary,,False,61.259,"LINESTRING (-46.6268463 -23.5568743, -46.6270351 -23.556807, -46.6271094 -23.5568116, -46.6273567 -23.5568317, -46.6274323 -23.5568286)",0.019483743590199724,Praça José Luiz de Mello Malheiro,,,,,,,
1420099939,871721095,0,907951052,True,2,residential,,False,32.409,"LINESTRING (-46.626829 -23.5575758, -46.6265123 -23.5575499)",0.0065684231223854216,Peca Nina Rodrigues,,,,,,,
1420099939,1420099938,0,620987193,True,3,secondary,,False,78.065,"LINESTRING (-46.626829 -23.5575758, -46.626852 -23.5571025, -46.6268466 -23.5569589, -46.6268463 -23.5568743)",0.03637242934224433,Praça Nina Rodrigues,,,,,,,
1420099941,2449978409,0,"[128515112, 278923385]",True,,residential,,False,128.67499999999998,"LINESTRING (-46.6259035 -23.5539469, -46.6259665 -23.55399, -46.6260526 -23.5540311, -46.6261866 -23.5540834, -46.6265079 -23.5542034, -46.6267702 -23.5543139, -46.6269204 -23.5543591, -46.627061 -23.5543995)",0.0011900168314436684,Praça Ministro Francisco Sá Carneiro,,,,,,,
1420099946,445044382,0,235497115,False,4,secondary,,False,12.535,"LINESTRING (-46.6285117 -23.5570922, -46.6285589 -23.5571963)",0.0008386419131400028,Rua Teixeira Leite,,,,,,,
1420099946,2390857079,0,907571895,True,3,secondary,,False,43.251,"LINESTRING (-46.6285117 -23.5570922, -46.6280945 -23.5570212)",0.00048703210118128105,Rua Leopoldo Miguez,,,,,,,
1420099953,133492789,0,"[183462563, 435973660]",True,2,primary,40,False,186.58,"LINESTRING (-46.6270015 -23.5546665, -46.6269342 -23.5544903, -46.6268594 -23.5543422, -46.6267876 -23.554261, -46.6265625 -23.5540951, -46.6259669 -23.5537028, -46.6257238 -23.5535228)",0.0394618420615639,Viaduto 31 de Março,,viaduct,,,,,
1420099956,631977642,0,424630819,True,3,tertiary,40,False,22.695,"LINESTRING (-46.6286082 -23.5549401, -46.6286574 -23.5550366, -46.6287025 -23.555125)",0.008368701274525039,Rua Glicério,,,,,,,
1420099960,396034426,0,128511291,True,2,secondary,40,False,43.347,"LINESTRING (-46.6268175 -23.558412, -46.6265291 -23.5583729, -46.626397 -23.5583538)",0.00021859799941441175,Rua Junqueira Freire,,,,,,,
1420099960,1938339452,0,128515108,True,2,secondary,,False,20.728,"LINESTRING (-46.6268175 -23.558412, -46.6268118 -23.5583443, -46.6268097 -23.5583197, -46.6268024 -23.5582261)",0.01842701355504789,Peca Nina Rodrigues,,,,,,,
1420138394,130010321,0,167147488,True,2,primary,,False,25.899,"LINESTRING (-46.625502 -23.5494682, -46.6255832 -23.5492475)",0.022566011625992057,Rua da Figueira,,,,,,,
1420138394,661211990,0,"[1190266361, 128519866, 128519867, 128519865]",True,3,primary,"['50', '40']",False,495.889,"LINESTRING (-46.625502 -23.5494682, -46.6255975 -23.5493339, -46.6258043 -23.5490435, -46.625942 -23.5488917, -46.6261521 -23.5486904, -46.6262096 -23.5486372, -46.6263171 -23.5485396, -46.6264761 -23.5484184, -46.6266487 -23.5483137, -46.6268326 -23.548227, -46.6270258 -23.5481591, -46.6272259 -23.5481109, -46.6274305 -23.548083, -46.6276372 -23.5480757, -46.6278435 -23.5480891, -46.6280471 -23.5481231, -46.6282454 -23.5481771, -46.628436 -23.5482507, -46.6286168 -23.5483429, -46.6287856 -23.5484525, -46.6289403 -23.5485784, -46.6290791 -23.548719, -46.6292004 -23.5488727, -46.6292562 -23.5489486, -46.6293357 -23.5490647)",0.019230022505953917,Viaduto Antônio Nakashima,,yes,,,,,
1420146734,2389060616,0,230395376,True,1,trunk_link,,False,121.51700000000001,"LINESTRING (-46.6305789 -23.5445076, -46.6305086 -23.5445198, -46.6304601 -23.5445298, -46.6304215 -23.5445208, -46.6303828 -23.5444975, -46.629908 -23.5439669, -46.6298497 -23.5439251, -46.6297893 -23.5439066, -46.6297263 -23.5438998, -46.6296914 -23.5438986)",0.0063744450859273835,,,,,,,,
1420146734,60685982,0,237815998,True,3,tertiary,50,False,74.293,"LINESTRING (-46.6305789 -23.5445076, -46.6309758 -23.5449062, -46.6310702 -23.5450011)",0.004979898800686374,Parque Dom Pedro II,,,,,,,
1420146737,279225578,0,8375715,True,4,primary,50,False,164.494,"LINESTRING (-46.6282383 -23.5497422, -46.6282466 -23.5502032, -46.6282464 -23.5502461, -46.6282429 -23.5502727, -46.6282366 -23.5503209, -46.6282069 -23.5504384, -46.628141 -23.5506226, -46.6279627 -23.5509973, -46.6278789 -23.5511565)",0.02627390890809358,Avenida do Estado,,,,,,,
1420146737,8659537226,0,128521816,True,1,primary_link,,False,74.378,"LINESTRING (-46.6282383 -23.5497422, -46.6283155 -23.5499008, -46.6283408 -23.54994, -46.6283621 -23.5499635, -46.6283832 -23.5499823, -46.6284127 -23.5499985, -46.6284422 -23.5500114, -46.6284658 -23.5500193, -46.6284958 -23.550023, -46.6285294 -23.5500217, -46.6285565 -23.550019, -46.6285884 -23.5500114, -46.6286169 -23.5500029, -46.6286509 -23.5499884, -46.6286933 -23.5499678, -46.6287272 -23.5499499, -46.6287741 -23.5499204)",0.0021279051783860865,,,,,,,,
1420146741,279225582,0,128521811,True,,residential,,False,48.646,"LINESTRING (-46.6286459 -23.550906, -46.6285872 -23.5508662, -46.6283962 -23.5507423, -46.6282572 -23.5506522)",0.000363017802670539,Rua Lousada,,,,,,,
1420146741,247951670,0,575155216,True,2,residential,40,False,121.86,"LINESTRING (-46.6286459 -23.550906, -46.6280316 -23.551569, -46.627872 -23.5517413)",0.0022070473656354973,Rua Frederico Alvarenga,,,,,,,
1420150289,1068077341,0,237048513,True,2,secondary,50,False,98.638,"LINESTRING (-46.6258246 -23.5341494, -46.6266564 -23.5339361, -46.6267078 -23.5339347, -46.6267596 -23.533942)",0.003340024105635301,Rua João Teodoro,,,,,,,
1420150299,4902214144,0,128522229,True,1,trunk_link,50,False,105.13300000000001,"LINESTRING (-46.6266053 -23.5528747, -46.6261778 -23.5530547, -46.6260039 -23.553149, -46.6257161 -23.5533456)",0.0073019675434427955,,,,,,,,
1420150299,445043469,0,"[1024362617, 278923387]",True,3,primary,50,False,99.629,"LINESTRING (-46.6266053 -23.5528747, -46.6264873 -23.5529585, -46.6263608 -23.5530396, -46.6262466 -23.55311, -46.6261497 -23.553191, -46.6261089 -23.5532325, -46.6260383 -23.5533043, -46.625882 -23.5534696)",0.020891404901967753,Avenida do Estado,,,,,,,
1439843020,6776038545,0,237048448,True,3,primary,50,False,20.14,"LINESTRING (-46.6122373 -23.563123, -46.612192 -23.5632993)",0.004434366814113433,Praça Alberto Lion,,,,,,,
1439843020,5476745338,0,130808473,True,2,trunk_link,50,False,70.825,"LINESTRING (-46.6122373 -23.563123, -46.6121944 -23.5631525, -46.6118564 -23.5635625, -46.6117863 -23.563599)",0.03766992401891021,,,,,,,,
1439849926,445043662,0,130808657,True,,residential,,False,115.928,"LINESTRING (-46.6140615 -23.56515, -46.6150708 -23.5656307)",0.010786761454967635,Rua Alexandrino da Silveira Bueno,,,,,,,
