u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction
25872075,4902214144,0,"[1031685924, 945561098, 945561099, 945561100, 945561101, 333520062]",True,"['3', '1', '2']",trunk,50,False,649.536,"LINESTRING (-46.6286296 -23.5481997, -46.6284429 -23.5483818, -46.6283208 -23.548517, -46.6282149 -23.5486559, -46.6279931 -23.5489777, -46.6275628 -23.5496502, -46.6273673 -23.5499944, -46.6272893 -23.5501333, -46.6270733 -23.5505515, -46.6269196 -23.550886, -46.6266321 -23.5515787, -46.6264567 -23.5520841, -46.6263682 -23.5523466, -46.6262837 -23.5525544, -46.6262133 -23.5526816, -46.6259873 -23.5530006, -46.6257161 -23.5533456)",0.0004280569456781029,Avenida do Estado,,BR-050,,,,
25872212,25872075,0,"[909387488, 909387494]",True,"['4', '5']",trunk,50,False,278.49199999999996,"LINESTRING (-46.6301486 -23.5461204, -46.6296407 -23.5468368, -46.6291596 -23.547551, -46.6288493 -23.5479469, -46.6286296 -23.5481997)",0.07729456716193171,Avenida do Estado,,BR-050,,,,
25872232,25872212,0,909387495,True,3,trunk,50,False,196.38,"LINESTRING (-46.6297656 -23.5444987, -46.6301094 -23.544975, -46.630165 -23.5450763, -46.6302077 -23.5451656, -46.630243 -23.5452747, -46.6302958 -23.5455661, -46.6302695 -23.5457912, -46.6302515 -23.5458776, -46.6301955 -23.5460135, -46.6301486 -23.5461204)",0.05342000291280249,Avenida do Estado,,BR-050,,,,
25872236,25872212,0,"[909387489, 8375719]",True,"['1', '2']",trunk_link,50,False,148.005,"LINESTRING (-46.6305184 -23.5448763, -46.6305538 -23.5449621, -46.6305665 -23.5450703, -46.6305403 -23.5452534, -46.6305177 -23.5453328, -46.6304226 -23.5456301, -46.6303358 -23.5458399, -46.6302636 -23.5459689, -46.6301486 -23.5461204)",0.023885396372875473,,,,,,,
25872236,8747316252,0,8579876,True,3,primary_link,50,False,43.653000000000006,"LINESTRING (-46.6305184 -23.5448763, -46.63073 -23.5449554, -46.6308443 -23.5450004, -46.6309072 -23.5450384)",0.006027021756138597,,,,,,,
25872254,2389060601,0,909387495,True,3,trunk,50,False,35.27,"LINESTRING (-46.6291191 -23.5428224, -46.6292503 -23.5431159)",0.05269791489118925,Avenida do Estado,,BR-050,,,,
25872264,1420146734,0,8375726,True,2,tertiary,50,False,129.04899999999998,"LINESTRING (-46.6297566 -23.5436253, -46.6300059 -23.5439008, -46.6304801 -23.5444058, -46.6305789 -23.5445076)",0.01116724671000607,Parque Dom Pedro II,,,,,,
25872264,2389060616,0,72470714,True,1,trunk_link,,False,31.261000000000003,"LINESTRING (-46.6297566 -23.5436253, -46.629731 -23.5436915, -46.6297095 -23.5437591, -46.6296914 -23.5438986)",0.001018234676757392,,,,,,,
25872274,445042754,0,231245220,True,3,trunk,50,False,29.516,"LINESTRING (-46.6271577 -23.5394006, -46.6270468 -23.5391554)",0.04506384214041168,Avenida do Estado,,BR-050,,,,
25872274,661212055,0,231245218,True,2,secondary,,False,48.04600000000001,"LINESTRING (-46.6271577 -23.5394006, -46.6270913 -23.5394884, -46.6270613 -23.539545, -46.6270233 -23.5396372, -46.6270057 -23.5397375, -46.6269719 -23.5397914)",0.02643171435766149,Largo do Pari,,,,,,
