u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ebc,maxspeed,ref,bridge,tunnel,width,access,junction,est_width
597437,452092033,0,"[605958857, 38306052]",True,2,Rua Joaquim Carlos,tertiary,False,91.459,"LINESTRING (-46.6086344 -23.5241424, -46.6085934 -23.5242265, -46.6084329 -23.5245489, -46.6082876 -23.5249005)",0.0011350136596878979,"['50', '40']",,,,,,,
597437,452095832,0,945246221,True,3,Avenida Presidente Castelo Branco,trunk,False,180.11299999999997,"LINESTRING (-46.6086344 -23.5241424, -46.6082522 -23.5241035, -46.6078209 -23.5240366, -46.607376 -23.5239448, -46.6072112 -23.5239086, -46.6070105 -23.523866, -46.606901 -23.5238399)",0.0006636137867061372,60,,,,,,,
20944547,457051435,0,15807950,True,3,Avenida General Olímpio da Silveira,primary,False,115.88600000000001,"LINESTRING (-46.6587483 -23.5321244, -46.6587237 -23.5321312, -46.6586647 -23.5321514, -46.658622 -23.532172, -46.6585568 -23.5322036, -46.6582076 -23.5324, -46.6578428 -23.5326087, -46.6577695 -23.5326506)",0.014050078654292794,50,,,,,,,
20944547,457051355,0,426403447,True,2,Rua Conselheiro Brotero,residential,False,162.13,"LINESTRING (-46.6587483 -23.5321244, -46.6587522 -23.5321377, -46.6587801 -23.5322002, -46.6588178 -23.532274, -46.6594021 -23.5334533)",0.0011457060620494273,,,,,,,,
20944548,453215766,0,421540365,False,,Rua Doutor Cândido Espinheira,residential,True,114.787,"LINESTRING (-46.6601022 -23.534842, -46.6601839 -23.5348047, -46.661008 -23.5344279, -46.6611098 -23.5343813)",0.002564408387649274,,,,,,,,
20944548,457051432,0,426403442,False,,Alameda Barros,residential,False,97.42,"LINESTRING (-46.6601022 -23.534842, -46.6600105 -23.534884, -46.6593688 -23.5351774, -46.6592466 -23.5352322)",0.0017462845620097062,,,,,,,,
20944548,396152231,0,426403447,True,2,Rua Conselheiro Brotero,residential,False,164.21599999999998,"LINESTRING (-46.6601022 -23.534842, -46.6601414 -23.5349187, -46.6601529 -23.5349412, -46.6607852 -23.5361795)",0.0005299653980046697,,,,,,,,
20944550,1997444090,0,27238811,True,,Rua Barão de Tatuí,residential,False,120.212,"LINESTRING (-46.6535506 -23.5372021, -46.6535859 -23.5372981, -46.6536037 -23.5373522, -46.6538773 -23.5381846, -46.6538943 -23.5382362)",0.0011833967023165883,,,,,,,,
20944550,457551668,0,230629156,True,2,Alameda Barros,tertiary,False,242.181,"LINESTRING (-46.6535506 -23.5372021, -46.6534786 -23.5372477, -46.6534645 -23.5372587, -46.6526398 -23.5379005, -46.6518463 -23.538521, -46.651736 -23.5386072)",0.0015912378947153419,,,,,,,,
20944551,20944552,0,8307075,False,,Rua Fortunato,residential,False,164.142,"LINESTRING (-46.6513228 -23.538894, -46.6513463 -23.5389693, -46.6517558 -23.5402497, -46.6517752 -23.5403107)",0.00012779673273892903,,,,,,,,
20944551,158844513,0,914039011,True,2,Rua Frederico Abranches,tertiary,False,135.69,"LINESTRING (-46.6513228 -23.538894, -46.6502894 -23.539597, -46.6502532 -23.5396203)",0.0005959645159470673,,,,,,,,
20944552,20944551,0,8307075,False,,Rua Fortunato,residential,True,164.142,"LINESTRING (-46.6517752 -23.5403107, -46.6517558 -23.5402497, -46.6513463 -23.5389693, -46.6513228 -23.538894)",0.00024753317430444287,,,,,,,,
20944552,20944553,0,27238807,True,,Rua Canuto do Val,residential,False,93.569,"LINESTRING (-46.6517752 -23.5403107, -46.6518333 -23.5402937, -46.6525596 -23.5400916, -46.6526531 -23.5400651)",0.0011652101297995804,,,,,,,,
20944553,444959880,0,27238807,True,,Rua Canuto do Val,residential,False,42.455,"LINESTRING (-46.6526531 -23.5400651, -46.65275 -23.5400384, -46.6528885 -23.5399992, -46.6529757 -23.5399772, -46.6530533 -23.5399598)",0.0008809827885397169,,,,,,,,
20944553,20944554,0,904937317,True,,Rua Aureliano Coutinho,residential,False,180.238,"LINESTRING (-46.6526531 -23.5400651, -46.6531621 -23.5415632, -46.6531738 -23.5416139)",0.0002845426921800048,,,,,,,,
20944554,158844839,0,8307077,True,2,Rua Aureliano Coutinho,tertiary,False,121.303,"LINESTRING (-46.6531738 -23.5416139, -46.6531782 -23.541669, -46.6531805 -23.5417123, -46.6531829 -23.5426144, -46.6531842 -23.5427046)",0.00028199670277208674,,,,,,,,
20944554,158843385,0,230629152,True,2,Rua Jaguaribe,tertiary,False,97.54899999999999,"LINESTRING (-46.6531738 -23.5416139, -46.6530739 -23.5416161, -46.6522173 -23.5416398)",0.0006240866351769741,,,,,,,,
20944556,1944434945,0,"[935544123, 8307079]",True,"['3', '2']",Rua Sabará,tertiary,False,132.553,"LINESTRING (-46.6552234 -23.5477074, -46.655267 -23.5477928, -46.6556554 -23.5485523, -46.6557398 -23.5487086, -46.6557807 -23.5487844)",0.0016816343355788943,,,,,,,,
20944556,444959901,0,37909804,True,,Rua Alagoas,residential,False,159.088,"LINESTRING (-46.6552234 -23.5477074, -46.6553401 -23.547658, -46.6565328 -23.5471553, -46.6566413 -23.5471096)",0.006756197860745679,,,,,,,,
25777925,293820409,0,242534891,True,,Rua General Flores,residential,False,44.21,"LINESTRING (-46.6433446 -23.5207514, -46.6432678 -23.5211427)",0.000296231814996535,,,,,,,,
25777925,25777928,0,584709941,True,3,Avenida Presidente Castelo Branco,trunk,False,68.548,"LINESTRING (-46.6433446 -23.5207514, -46.6426901 -23.5208924)",0.0007086795590975917,50,BR-050,,,,,,
25777928,1970494500,0,584709941,True,3,Avenida Presidente Castelo Branco,trunk,False,79.077,"LINESTRING (-46.6426901 -23.5208924, -46.6423365 -23.5209647, -46.6419331 -23.5210472)",0.008106479543245825,50,BR-050,,,,,,
25778039,1929896837,0,182625575,True,1,Rua Pietro Giannoccaro,motorway_link,False,202.94400000000002,"LINESTRING (-46.626918 -23.5199594, -46.6267873 -23.5200301, -46.6266833 -23.5200928, -46.6266049 -23.5201654, -46.6265599 -23.5202213, -46.6264989 -23.5203123, -46.6264439 -23.5204125, -46.6263896 -23.5205423, -46.6263434 -23.5206579, -46.6262931 -23.5207741, -46.6262595 -23.5208282, -46.6261757 -23.5209438, -46.6260429 -23.5211079, -46.6259571 -23.5212186, -46.625876 -23.5213409, -46.6258199 -23.5214378)",0.00027474948917092823,50,,,,,,,
25778039,3916046762,0,842455158,True,4,Avenida Presidente Castelo Branco (Local),trunk,False,139.856,"LINESTRING (-46.626918 -23.5199594, -46.6261442 -23.5200024, -46.6255488 -23.5200356)",4.7302638020819783e-07,60,,,,,,,
25778134,2350165013,0,4614876,True,4,Marginal Tietê (Expressa),motorway,False,832.9820000000002,"LINESTRING (-46.6141929 -23.5218113, -46.6130854 -23.5226184, -46.6125811 -23.5229479, -46.6118945 -23.523248, -46.6114882 -23.5234092, -46.611064 -23.5235424, -46.6106119 -23.5236638, -46.610156 -23.5237535, -46.6097122 -23.5238212, -46.6092222 -23.5238589, -46.6089216 -23.5238542, -46.6086134 -23.5238424, -46.6080054 -23.5237594, -46.6071126 -23.5235734, -46.6066566 -23.5234849)",2.3651319010409892e-07,90,SP-015,,,,,,
25778137,452091654,0,945246226,True,4,Avenida Presidente Castelo Branco,trunk,False,22.602,"LINESTRING (-46.6126896 -23.5232174, -46.6125071 -23.5233328)",0.001995831508834295,60,,,,,,,
25778137,2350164866,0,38306045,True,2,Rua Guarantã,tertiary,False,21.163,"LINESTRING (-46.6126896 -23.5232174, -46.6127008 -23.5233061, -46.6127253 -23.5234046)",0.0009906389273605326,50,,,,,,,
25778140,25778144,0,945246224,True,4,Avenida Presidente Castelo Branco,trunk,False,144.24200000000002,"LINESTRING (-46.6115037 -23.52377, -46.6108896 -23.5239277, -46.6101309 -23.5240816)",0.0007507808382859884,60,,,,,,,
25778144,461887520,0,"[582975777, 15808319]",True,2,Avenida Carlos de Campos,secondary,False,161.763,"LINESTRING (-46.6101309 -23.5240816, -46.6100527 -23.5241281, -46.6099322 -23.5241795, -46.6099085 -23.5241984, -46.6098839 -23.5242226, -46.6098657 -23.5242417, -46.6098475 -23.5242635, -46.6098329 -23.5242858, -46.6098197 -23.5243095, -46.6098084 -23.5243317, -46.6097986 -23.5243564, -46.6097902 -23.5243805, -46.6097832 -23.5244033, -46.6097505 -23.5245454, -46.6097448 -23.5245755, -46.6097405 -23.5246082, -46.6097397 -23.5246396, -46.6097421 -23.5247096, -46.6097489 -23.5247417, -46.6097621 -23.5247773, -46.6097797 -23.5248049, -46.6098009 -23.5248288, -46.6098279 -23.5248605, -46.6098668 -23.5249023, -46.610036 -23.5250506, -46.6102187 -23.5252043)",0.0006637089453365533,40,,,,,,,
25778144,25778147,0,945246223,True,3,Avenida Presidente Castelo Branco,trunk,False,119.96,"LINESTRING (-46.6101309 -23.5240816, -46.610003 -23.5240992, -46.6094365 -23.5241522, -46.6089591 -23.5241708)",8.738724386957373e-05,60,,,,,,,
25778147,597437,0,945246222,True,4,Avenida Presidente Castelo Branco,trunk,False,33.255,"LINESTRING (-46.6089591 -23.5241708, -46.6086344 -23.5241424)",0.001798312095473889,60,,,,,,,
25783030,1708663662,0,226030607,True,2,,trunk_link,False,228.518,"LINESTRING (-46.6056686 -23.5219155, -46.605915 -23.5219847, -46.6061242 -23.5220314, -46.6064984 -23.522099, -46.607646 -23.5223268, -46.6078322 -23.5224212)",2.3651319010409892e-07,70,,,,,,,
25783030,6221835688,0,"[440093657, 440093658]",True,4,"['Avenida Morvan Dias de Figueiredo', 'Avenida Morvan Dias de Figueiredo (Local)']",trunk,False,175.738,"LINESTRING (-46.6056686 -23.5219155, -46.6060625 -23.5219367, -46.6061577 -23.5219516, -46.6065413 -23.5220117, -46.606649 -23.5220309, -46.6068328 -23.5220636, -46.6072273 -23.5221338, -46.607368 -23.5221642)",0.00027616856831155285,60,,,,,,,
25783050,3957979057,0,37395900,True,2,Rua António Patricio,trunk_link,False,120.38900000000001,"LINESTRING (-46.609309 -23.5224308, -46.6094829 -23.5222838, -46.6095025 -23.5222544, -46.6095392 -23.5221995, -46.6095921 -23.5220615, -46.6097013 -23.5218725, -46.6099128 -23.5215149)",4.45433174696053e-06,40,,,,,,,
25783050,158848206,0,440093658,True,4,Avenida Morvan Dias de Figueiredo (Local),trunk,False,137.86599999999999,"LINESTRING (-46.609309 -23.5224308, -46.609546 -23.5224202, -46.6098229 -23.5223745, -46.6102375 -23.5222869, -46.6106303 -23.5221853)",0.0049454119673466735,60,,,,,,,
25783146,2891590728,0,15808296,True,2,,trunk_link,False,169.03200000000004,"LINESTRING (-46.6115765 -23.5218114, -46.6116408 -23.5217289, -46.6116951 -23.5216433, -46.6117139 -23.521582, -46.611724 -23.5215076, -46.6117164 -23.5214389, -46.6116932 -23.5213794, -46.6116569 -23.5213223, -46.6116173 -23.5212689, -46.6115491 -23.5212059, -46.6114715 -23.521166, -46.6113816 -23.521149, -46.6112663 -23.5211445, -46.6111618 -23.5211705, -46.6110642 -23.5212143, -46.6109899 -23.5212732, -46.6109644 -23.521311, -46.6109555 -23.5213241, -46.6109037 -23.5214187, -46.6108894 -23.521521)",0.006991624334764059,40,,,,,,,
25783146,7285099759,0,1137121801,True,4,Avenida Morvan Dias de Figueiredo (Local),trunk,False,87.815,"LINESTRING (-46.6115765 -23.5218114, -46.6117459 -23.5217252, -46.6119686 -23.5215976, -46.6120155 -23.5215707, -46.612312 -23.5214008)",0.0008229870638322295,60,,,,,,,
25870718,466929713,0,227324138,True,3,Avenida do Estado,trunk,False,345.547,"LINESTRING (-46.6111634 -23.5646175, -46.610812 -23.565249, -46.6105565 -23.5656847, -46.6103569 -23.5660711, -46.6102467 -23.5662846, -46.6099732 -23.5667603, -46.6096352 -23.5673909)",0.009262655182024083,50,BR-050,,,,,,
25870718,3712576655,0,416452347,True,4,Rua Ibiruba,residential,False,28.967999999999996,"LINESTRING (-46.6111634 -23.5646175, -46.6112439 -23.5646478, -46.6114307 -23.5647057)",0.002111207356614279,,,,,,,,
25870742,1417145836,0,944399652,True,3,Avenida do Estado,primary,False,93.706,"LINESTRING (-46.6112995 -23.5634708, -46.6117112 -23.5627173)",0.011862019872048454,50,,,,,,,
25870742,445062313,0,37918181,True,2,Praça Alberto Lion,secondary,False,45.376999999999995,"LINESTRING (-46.6112995 -23.5634708, -46.6112045 -23.5634138, -46.6110011 -23.5633123, -46.6109307 -23.5632471)",0.0051038815298372975,,,,,,,,
25870836,25871670,0,"[945278714, 183489035, 945273863]",True,"['3', '2']",Avenida do Estado,trunk,False,2025.182,"LINESTRING (-46.6113811 -23.5635176, -46.6119298 -23.562539, -46.6121967 -23.5620376, -46.6124757 -23.5615199, -46.6127881 -23.5609618, -46.6129826 -23.5606324, -46.613169 -23.5603656, -46.6134407 -23.5600187, -46.6136344 -23.5597965, -46.6138159 -23.5596072, -46.6140367 -23.5593932, -46.614258 -23.559199, -46.6145383 -23.55899, -46.6147636 -23.558829, -46.6149822 -23.5586999, -46.6151619 -23.5585991, -46.615296 -23.5585253, -46.6155052 -23.5584208, -46.6157198 -23.5583348, -46.6159987 -23.5582242, -46.6162536 -23.5581356, -46.6167846 -23.5579783, -46.6176215 -23.5577078, -46.6193368 -23.5571546, -46.6206564 -23.5567428, -46.6212724 -23.5565509, -46.6217515 -23.5563849, -46.622204 -23.5562019, -46.6225727 -23.5560213, -46.6229598 -23.5558091, -46.6232804 -23.5556087, -46.6236042 -23.5553763, -46.6239339 -23.5551084, -46.6243109 -23.5547722, -46.6247401 -23.5543148, -46.6251183 -23.553828, -46.6253315 -23.553533, -46.6254173 -23.5534076, -46.6254844 -23.5532981, -46.6255595 -23.5531494, -46.6256104 -23.5530412, -46.6256549 -23.5529021, -46.625684 -23.5527525, -46.6257511 -23.5523785)",0.10934156394159086,50,BR-050,,,,,,
25870836,25870742,0,"[945571466, 858483060]",True,4,Praça Alberto Lion,trunk_link,False,9.811,"LINESTRING (-46.6113811 -23.5635176, -46.6113367 -23.5634923, -46.6112995 -23.5634708)",0.01675901776855752,50,,,,,,,
25870857,337788952,0,37916661,True,,Rua Conselheiro João Alfredo,residential,False,68.163,"LINESTRING (-46.6139407 -23.5593666, -46.6138392 -23.5587607)",0.0032001957805884167,40,,,,,,,
25870857,4617469258,0,183489045,True,3,Avenida do Estado,primary,False,111.118,"LINESTRING (-46.6139407 -23.5593666, -46.6142646 -23.5590935, -46.6146131 -23.5588339, -46.6147795 -23.5587305)",0.0051813753828883775,50,,,,,,,
25871539,445043156,0,34436963,True,2,Rua Luís Gama,residential,False,80.72200000000001,"LINESTRING (-46.6222841 -23.5560493, -46.6223375 -23.5555713, -46.6223676 -23.5553274)",0.0012762211583287905,,,,,,,,
25871539,396034445,0,1080789231,True,3,Avenida do Estado,primary,False,229.75300000000001,"LINESTRING (-46.6222841 -23.5560493, -46.622537 -23.5559345, -46.6225934 -23.5559023, -46.6227531 -23.5558111, -46.6230883 -23.5556203, -46.6235255 -23.5553175, -46.6236597 -23.5552091, -46.62387 -23.5550407, -46.6240972 -23.5548386)",0.012862301324780279,50,,,,,,,
25871670,25871831,0,15260247,True,2,Rua da Figueira,trunk,False,52.218999999999994,"LINESTRING (-46.6257511 -23.5523785, -46.6257499 -23.5521893, -46.6257509 -23.552054, -46.6257432 -23.5519744, -46.6257308 -23.5519102)",0.07551133845307774,,,,,,,,
25871670,25872025,0,"[923545472, 945278713]",True,2,Avenida do Estado,trunk,False,268.772,"LINESTRING (-46.6257511 -23.5523785, -46.6257861 -23.5522728, -46.6258673 -23.5520574, -46.6263177 -23.5509519, -46.6265023 -23.5505521, -46.6266488 -23.5501074)",0.0338305408394331,50,BR-050,,,,,,
25871831,597282,0,"[1189377203, 183489030]",True,3,Avenida do Estado,trunk,False,100.219,"LINESTRING (-46.6257308 -23.5519102, -46.6258392 -23.5516803, -46.6261325 -23.5510876)",0.08409203911407263,50,,,,,,,
25871831,151239264,0,944826127,True,1,Rua da Figueira,primary,False,51.848,"LINESTRING (-46.6257308 -23.5519102, -46.6256938 -23.5518235, -46.6255187 -23.5514866)",0.007193279468610476,,,,,,,,
25871833,151239264,0,15260284,True,1,Rua da Figueira,primary,False,88.25999999999999,"LINESTRING (-46.6256216 -23.5522727, -46.6256086 -23.5519887, -46.6255952 -23.5518488, -46.625577 -23.5517392, -46.6255187 -23.5514866)",0.0023515394180034428,,,,,,,,
25871833,25871831,0,183489030,True,3,Avenida do Estado,trunk,False,41.821,"LINESTRING (-46.6256216 -23.5522727, -46.6256778 -23.5520764, -46.6257308 -23.5519102)",0.015773664778684807,50,,,,,,,
25872025,6595269581,0,"[945278712, 974488538, 186371501]",True,"['4', '3']",Avenida do Estado,trunk,False,866.2439999999999,"LINESTRING (-46.6266488 -23.5501074, -46.6268808 -23.5496575, -46.6268953 -23.5496294, -46.6271058 -23.5492196, -46.6274451 -23.5487288, -46.6277288 -23.5482796, -46.6280386 -23.5477637, -46.6282138 -23.5473878, -46.6284581 -23.5467998, -46.6286116 -23.5462412, -46.6287575 -23.5455225, -46.6288187 -23.5451344, -46.6288696 -23.5442792, -46.6288315 -23.5437331, -46.6286944 -23.5430398, -46.62867 -23.5429187, -46.6286381 -23.5427706)",0.04404388478089998,50,BR-050,,,,,,
25872075,1420146737,0,8375715,True,4,Avenida do Estado,primary,False,181.78199999999998,"LINESTRING (-46.6286296 -23.5481997, -46.6284281 -23.5484814, -46.6283289 -23.5486362, -46.6282819 -23.5487543, -46.6282484 -23.5488821, -46.6282296 -23.5490273, -46.6282263 -23.5491593, -46.6282383 -23.5497422)",0.026752484131917567,50,,,,,,,
25872075,4902214144,0,"[1031685924, 945561098, 945561099, 945561100, 945561101, 333520062]",True,"['3', '1', '2']",Avenida do Estado,trunk,False,649.536,"LINESTRING (-46.6286296 -23.5481997, -46.6284429 -23.5483818, -46.6283208 -23.548517, -46.6282149 -23.5486559, -46.6279931 -23.5489777, -46.6275628 -23.5496502, -46.6273673 -23.5499944, -46.6272893 -23.5501333, -46.6270733 -23.5505515, -46.6269196 -23.550886, -46.6266321 -23.5515787, -46.6264567 -23.5520841, -46.6263682 -23.5523466, -46.6262837 -23.5525544, -46.6262133 -23.5526816, -46.6259873 -23.5530006, -46.6257161 -23.5533456)",0.07419778165754173,50,BR-050,,,,,,
25872212,25872075,0,"[909387488, 909387494]",True,"['4', '5']",Avenida do Estado,trunk,False,278.49199999999996,"LINESTRING (-46.6301486 -23.5461204, -46.6296407 -23.5468368, -46.6291596 -23.547551, -46.6288493 -23.5479469, -46.6286296 -23.5481997)",0.10094995043853959,50,BR-050,,,,,,
25872232,25872212,0,909387495,True,3,Avenida do Estado,trunk,False,196.38,"LINESTRING (-46.6297656 -23.5444987, -46.6301094 -23.544975, -46.630165 -23.5450763, -46.6302077 -23.5451656, -46.630243 -23.5452747, -46.6302958 -23.5455661, -46.6302695 -23.5457912, -46.6302515 -23.5458776, -46.6301955 -23.5460135, -46.6301486 -23.5461204)",0.06626795523245424,50,BR-050,,,,,,
25872236,25872212,0,"[909387489, 8375719]",True,"['1', '2']",,trunk_link,False,148.005,"LINESTRING (-46.6305184 -23.5448763, -46.6305538 -23.5449621, -46.6305665 -23.5450703, -46.6305403 -23.5452534, -46.6305177 -23.5453328, -46.6304226 -23.5456301, -46.6303358 -23.5458399, -46.6302636 -23.5459689, -46.6301486 -23.5461204)",0.03468167985516551,50,,,,,,,
25872236,8747316252,0,8579876,True,3,,primary_link,False,43.653000000000006,"LINESTRING (-46.6305184 -23.5448763, -46.63073 -23.5449554, -46.6308443 -23.5450004, -46.6309072 -23.5450384)",0.0027643043963309667,50,,,,,,,
25872254,2389060601,0,909387495,True,3,Avenida do Estado,trunk,False,35.27,"LINESTRING (-46.6291191 -23.5428224, -46.6292503 -23.5431159)",0.06255023651649319,50,BR-050,,,,,,
25872264,1420146734,0,8375726,True,2,Parque Dom Pedro II,tertiary,False,129.04899999999998,"LINESTRING (-46.6297566 -23.5436253, -46.6300059 -23.5439008, -46.6304801 -23.5444058, -46.6305789 -23.5445076)",0.003627866389412673,50,,,,,,,
25872264,2389060616,0,72470714,True,1,,trunk_link,False,31.261000000000003,"LINESTRING (-46.6297566 -23.5436253, -46.629731 -23.5436915, -46.6297095 -23.5437591, -46.6296914 -23.5438986)",0.0006915600571630926,,,,,,,,
25872274,445042754,0,231245220,True,3,Avenida do Estado,trunk,False,29.516,"LINESTRING (-46.6271577 -23.5394006, -46.6270468 -23.5391554)",0.03857843896073485,50,BR-050,,,,,,
25872274,661212055,0,231245218,True,2,Largo do Pari,secondary,False,48.04600000000001,"LINESTRING (-46.6271577 -23.5394006, -46.6270913 -23.5394884, -46.6270613 -23.539545, -46.6270233 -23.5396372, -46.6270057 -23.5397375, -46.6269719 -23.5397914)",0.009812623061700755,,,,,,,,
25872723,6222710507,0,8580974,True,1,,trunk_link,False,105.916,"LINESTRING (-46.6254827 -23.5332714, -46.6255002 -23.5334346, -46.625511 -23.5335237, -46.6255412 -23.5336245, -46.6256102 -23.5337542, -46.62568 -23.5338194, -46.6257463 -23.5338581, -46.6258865 -23.5339165, -46.6259466 -23.5339321, -46.6259938 -23.5339406, -46.6260415 -23.533946)",0.00039282474300475327,40,,,,,,,
25872723,6213473289,0,933998791,True,3,Avenida do Estado,trunk,False,84.074,"LINESTRING (-46.6254827 -23.5332714, -46.6254616 -23.5333396, -46.6254348 -23.5334711, -46.6254213 -23.5336476, -46.6254227 -23.5339531, -46.6254267 -23.534022)",0.016495271138533853,50,BR-050,,,,,,
25872726,25872723,0,933998790,True,4,Avenida do Estado,trunk,False,24.86,"LINESTRING (-46.6255492 -23.5330563, -46.6254936 -23.5332367, -46.6254827 -23.5332714)",0.016887780530618467,50,BR-050,,,,,,
25872749,246650435,0,91924978,True,3,Rua da Cantareira,tertiary,False,59.73500000000001,"LINESTRING (-46.6259967 -23.5320811, -46.6260236 -23.5321446, -46.6261734 -23.5324981, -46.6262093 -23.5325817)",0.01779435074000397,,,,,,,,
25872749,25872726,0,279006651,True,3,Avenida do Estado,trunk,False,117.71499999999999,"LINESTRING (-46.6259967 -23.5320811, -46.6259629 -23.5321506, -46.6256538 -23.532786, -46.6255492 -23.5330563)",0.013085802234920311,50,BR-050,,,,,,
25872763,25872749,0,"[237048504, 8580993, 675926657, 933998793]",True,4,Avenida Cruzeiro do Sul,primary,False,54.599999999999994,"LINESTRING (-46.6257805 -23.5316319, -46.6258261 -23.5317298, -46.6259519 -23.5319933, -46.6259607 -23.5320115, -46.6259967 -23.5320811)",0.02254563547333915,,,yes,,,,,
25872763,3824584734,0,379089474,True,3,Avenida do Estado,trunk,False,26.243000000000002,"LINESTRING (-46.6257805 -23.5316319, -46.6258388 -23.5315319, -46.625899 -23.5314224)",0.004848271170903325,50,BR-050,,,,,,
25872766,1955027468,0,8579021,True,4,Avenida Cruzeiro do Sul,primary,False,86.355,"LINESTRING (-46.6252162 -23.5326836, -46.6252736 -23.5324628, -46.6252993 -23.5323639, -46.6254351 -23.5319336)",0.004327473729498247,50,,,,,,,
