osmid,y,x,street_count,dc,cc,nbc,com,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0020161290322580645,0.0010080645161290322,0.0016765258585157384,0.011716371285052053,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.0020161290322580645,0.0304145861787788,0.03453454144405198,0.014759705995047145,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.002688172043010753,0.03349541129593037,0.04183401123919696,0.020296169923943504,traffic_signals,,POINT (-46.6252641 -23.5533268)
25871539,-23.5560493,-46.6222841,3,0.0020161290322580645,0.032601242013509765,0.019345787452584005,0.01445431661326638,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0013440860215053765,0.0,0.0,0.01039828687970297,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.002688172043010753,0.03138121152461971,0.03474421479880527,0.01836524674812799,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.0020161290322580645,0.03239643311034109,0.04169589883577987,0.01693285316344926,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.0020161290322580645,0.029513742665431372,0.0240761367746886,0.013452289714607692,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.0020161290322580645,0.04388243206644699,0.07674320654910888,0.012214119038514638,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0020161290322580645,0.04593233307676767,0.07675405324195225,0.014203834360875684,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.0020161290322580645,0.04396025232118496,0.0528473779447408,0.01536883266694528,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.0020161290322580645,0.038806141828225726,0.029308175696549206,0.016997065236783293,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.0020161290322580645,0.046480819438387014,0.05212431872202251,0.016933663800565768,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,0.002688172043010753,0.04341189720128815,0.011557396403199362,0.02338897528351183,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,0.002688172043010753,0.04391652981001824,0.07094724296724783,0.02821800302956968,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,0.0020161290322580645,0.03629795335133781,0.009396847793668684,0.016535965091632018,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,0.0020161290322580645,0.0376963004590755,0.009407694486512037,0.0187523515135175,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,0.002688172043010753,0.035805849427487886,0.008127978086299668,0.02267252094489097,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,0.002688172043010753,0.03510136707178236,0.005544600180571605,0.017865870276477114,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,0.0020161290322580645,0.036400814851934124,0.00851347809768511,0.015112296014772802,,,POINT (-46.6252162 -23.5326836)
25928388,-23.534495,-46.6330324,3,0.0020161290322580645,0.042096541936765285,0.004748953136009819,0.016224940838169506,,,POINT (-46.6330324 -23.534495)
25928438,-23.5352466,-46.6337902,3,0.0020161290322580645,0.03778804102769381,0.009196981802949315,0.014353712598136332,,,POINT (-46.6337902 -23.5352466)
25928439,-23.5352713,-46.6331286,3,0.0020161290322580645,0.0439794083076297,0.01893607943854526,0.014105448164550649,,,POINT (-46.6331286 -23.5352713)
25928614,-23.5353735,-46.6331395,3,0.0020161290322580645,0.046041592430757824,0.018946926131388625,0.014838119296039414,,,POINT (-46.6331395 -23.5353735)
25928755,-23.5414795,-46.634182,4,0.002688172043010753,0.044567576019036305,0.11687397612552643,0.020797665415814594,,,POINT (-46.634182 -23.5414795)
25928842,-23.5468886,-46.6377089,3,0.0020161290322580645,0.03822041251068536,0.072652007971101,0.014000719648258754,,,POINT (-46.6377089 -23.5468886)
25928939,-23.549578,-46.6385434,3,0.0020161290322580645,0.0011200716845878136,0.0013327626751154854,0.013911092093828266,,,POINT (-46.6385434 -23.549578)
25928961,-23.5481572,-46.6387749,3,0.0020161290322580645,0.04212038484789623,0.05913528054498945,0.013377555037488022,,,POINT (-46.6387749 -23.5481572)
25928964,-23.5493388,-46.6387877,3,0.0020161290322580645,0.040398285398774214,0.02649017411143986,0.013919716960861559,,,POINT (-46.6387877 -23.5493388)
25929039,-23.5548213,-46.6371573,3,0.0020161290322580645,0.04581467624615048,0.00895613510215599,0.013501577156790444,,,POINT (-46.6371573 -23.5548213)
25929410,-23.5579874,-46.6385024,3,0.0020161290322580645,0.0479981802468757,0.013590755647247935,0.012778654777323551,,,POINT (-46.6385024 -23.5579874)
25929413,-23.5587907,-46.6388079,3,0.0020161290322580645,0.04576570674702102,0.013579908954404578,0.010507674771625904,,,POINT (-46.6388079 -23.5587907)
25929414,-23.5590528,-46.6385968,3,0.0013440860215053765,0.0008960573476702509,0.0010311476343362908,0.006862595596856219,,,POINT (-46.6385968 -23.5590528)
60624525,-23.5480122,-46.6490136,4,0.002688172043010753,0.035222116614506103,0.015245493615134817,0.01901800183578082,traffic_signals,,POINT (-46.6490136 -23.5480122)
60641012,-23.5523377,-46.6376599,3,0.0020161290322580645,0.04137056948256506,0.01622737871404403,0.016450779406859056,,,POINT (-46.6376599 -23.5523377)
60641027,-23.5520563,-46.6359282,3,0.0020161290322580645,0.04724389561680911,0.060085095411156385,0.01798917174490905,,,POINT (-46.6359282 -23.5520563)
60641028,-23.5518993,-46.635442,5,0.0033602150537634413,0.04605810124869701,0.07082947233992158,0.02903800100001914,traffic_signals,,POINT (-46.635442 -23.5518993)
60641030,-23.5517667,-46.634943,4,0.002688172043010753,0.046173995297785264,0.030329288577619955,0.024421630025860668,traffic_signals,,POINT (-46.634943 -23.5517667)
60641031,-23.5519876,-46.6344161,3,0.002688172043010753,0.04570057669019752,0.026783310443830477,0.016694504011526286,crossing,,POINT (-46.6344161 -23.5519876)
60641034,-23.5520574,-46.6342543,3,0.0020161290322580645,0.04544628445876707,0.021315785942386565,0.016065935002124093,traffic_signals,,POINT (-46.6342543 -23.5520574)
60641038,-23.5522027,-46.633903,3,0.002688172043010753,0.0441043303089405,0.028729835489659756,0.014539803819798601,traffic_signals,,POINT (-46.633903 -23.5522027)
60641043,-23.5525309,-46.6329267,4,0.002688172043010753,0.04109981180684508,0.02863232457721081,0.019338532352225806,traffic_signals,,POINT (-46.6329267 -23.5525309)
60641048,-23.5517762,-46.6325558,3,0.002688172043010753,0.042662150667497796,0.04819731456234728,0.015629278793976416,,,POINT (-46.6325558 -23.5517762)
60641052,-23.5504696,-46.6319095,3,0.0020161290322580645,0.040883378088236076,0.04501229329809134,0.01589444333931519,,,POINT (-46.6319095 -23.5504696)
60641086,-23.5511669,-46.6354804,3,0.0020161290322580645,0.044094695734225656,0.03152059486084203,0.017994470905694927,,,POINT (-46.6354804 -23.5511669)
60641088,-23.5514227,-46.6353811,3,0.0020161290322580645,0.04617550425187996,0.031531441553685376,0.018987279706556743,traffic_signals,,POINT (-46.6353811 -23.5514227)
60641089,-23.5451434,-46.6336403,3,0.0020161290322580645,0.038619466753424085,0.0313497303553058,0.012947090626807711,traffic_signals,,POINT (-46.6336403 -23.5451434)
60641100,-23.5486338,-46.6322968,3,0.002688172043010753,0.04371543933257617,0.04145367556808597,0.013713808154683163,,,POINT (-46.6322968 -23.5486338)
