osmid,y,x,highway,street_count,dc,cc,nbc,com,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,0.0010598834128245894,0.023428113816453988,0.002228185959216282,0.00978324885853697,,POINT (-46.6619198 -23.528187)
587993,-23.55821,-46.6382561,,3,0.000794912559618442,0.030122498126130357,0.03827454899825161,0.005387288499333087,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,0.0010598834128245894,0.029908738662567137,0.00518213603447697,0.007971753047673783,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,0.0010598834128245894,0.02913421864097172,0.00785890498320836,0.00965884688620283,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,0.000794912559618442,0.033881006075526895,0.08401404855714685,0.006233941576755392,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,0.0010598834128245894,0.030406292540102277,0.016783819049801984,0.00805099293182178,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,0.000794912559618442,0.03332717775872853,0.007119488334510939,0.008182294041746203,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,motorway_junction,3,0.000794912559618442,0.025864419078932464,0.014421296066158744,0.0051966773097763515,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,,3,0.000794912559618442,0.023037702135328783,0.005855633374453415,0.00529704005183629,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,traffic_signals,4,0.0010598834128245894,0.026010723386743956,0.019019609043071695,0.01159714643082973,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,0.001589825119236884,0.025868649950087936,0.004892099849846074,0.010801692697402755,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,0.0010598834128245894,0.027687154801188357,0.0026616801131637354,0.010602230330194763,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,0.0010598834128245894,0.028789241229942097,0.0004345089827430208,0.008100131366313107,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,0.0013248542660307368,0.029494259098062088,0.0011843376405421488,0.009336029201230911,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,0.000794912559618442,0.02863466873111259,0.0009516699323446996,0.008623048786536667,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,0.0010598834128245894,0.02883214450890676,0.000604984148064907,0.010891750385048677,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,0.0010598834128245894,0.029632424080883405,0.009025292519516065,0.01128676820616546,,POINT (-46.6552234 -23.5477074)
25777925,-23.5207514,-46.6433446,,3,0.000794912559618442,0.0253166020020193,0.0008297033379726582,0.007051475466146213,,POINT (-46.6433446 -23.5207514)
25777928,-23.5208924,-46.6426901,,3,0.000794912559618442,0.02734371918682991,0.015047978955416453,0.007222094571959367,,POINT (-46.6426901 -23.5208924)
25777939,-23.5193276,-46.6344226,,3,0.000794912559618442,0.027785504955747407,0.017482750401785905,0.004301906065245867,,POINT (-46.6344226 -23.5193276)
25777943,-23.5197443,-46.6361611,,3,0.000794912559618442,0.028589653806561036,0.01722402985495011,0.005502918054868162,,POINT (-46.6361611 -23.5197443)
25777946,-23.5194442,-46.6326351,motorway_junction,3,0.000794912559618442,0.027022946130596175,0.017481977892009795,0.004915242879675988,,POINT (-46.6326351 -23.5194442)
25777974,-23.5192517,-46.6329128,motorway_junction,3,0.0005299417064122947,0.0,0.0,0.003310370213139711,,POINT (-46.6329128 -23.5192517)
25777984,-23.5196667,-46.6315649,motorway_junction,3,0.000794912559618442,0.026301125337017162,0.0034912396246092685,0.0051679936807690645,,POINT (-46.6315649 -23.5196667)
25777990,-23.5198591,-46.6306778,,3,0.000794912559618442,0.025624081708187665,0.0011208970007626474,0.00512596326986463,,POINT (-46.6306778 -23.5198591)
25777992,-23.5199059,-46.629684,,3,0.000794912559618442,0.02497621714241061,0.001120124490986537,0.00474735779302838,,POINT (-46.629684 -23.5199059)
25777997,-23.5198746,-46.6285394,,3,0.000794912559618442,0.02899071061772885,0.0071319550137417765,0.004994387255900252,,POINT (-46.6285394 -23.5198746)
25778039,-23.5199594,-46.626918,,3,0.000794912559618442,0.02816176969116506,0.007131182503965676,0.0045664413658137665,,POINT (-46.626918 -23.5199594)
25778049,-23.5200626,-46.6225851,,3,0.000794912559618442,0.027582803326322087,0.012266639893250667,0.005186241325604136,,POINT (-46.6225851 -23.5200626)
25778062,-23.5196729,-46.6207637,,3,0.000794912559618442,0.027664832564362425,0.025709039428227085,0.005260762381599693,,POINT (-46.6207637 -23.5196729)
25778134,-23.5218113,-46.6141929,,3,0.000794912559618442,0.02843104583296836,0.00026040602271094464,0.0040428569542753185,,POINT (-46.6141929 -23.5218113)
25778137,-23.5232174,-46.6126896,,3,0.000794912559618442,0.025201706734975782,0.014129829465311246,0.005469576911450067,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,,3,0.000794912559618442,0.024104586144220248,0.008742988115388671,0.005379497726427537,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,,3,0.000794912559618442,0.02352813551951016,0.008742215605612561,0.005454941582303013,,POINT (-46.6101309 -23.5240816)
25778147,-23.5241708,-46.6089591,,3,0.000794912559618442,0.02359054841475464,0.005856405884229523,0.0052343515565666885,,POINT (-46.6089591 -23.5241708)
25783030,-23.5219155,-46.6056686,,3,0.000794912559618442,0.0003532944709415298,0.000522497521297041,0.0038020097525004013,,POINT (-46.6056686 -23.5219155)
25783050,-23.5224308,-46.609309,motorway_junction,3,0.000794912559618442,0.0012098669146393898,0.005710673177659972,0.005963300591397449,,POINT (-46.609309 -23.5224308)
25783146,-23.5218114,-46.6115765,,3,0.000794912559618442,0.022284820369398498,0.009197037984507692,0.005257186428652488,,POINT (-46.6115765 -23.5218114)
25870718,-23.5646175,-46.6111634,traffic_signals,4,0.0010598834128245894,0.033881637288845246,0.013038361991583156,0.009316195616472124,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,traffic_signals,4,0.0010598834128245894,0.033765888657929025,0.016731657633095063,0.00988065280162293,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,traffic_signals,4,0.0010598834128245894,0.034903860799862914,0.12622901384266635,0.01003775059099894,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,,3,0.000794912559618442,0.030752321064561824,0.008335900876687624,0.0051957653449449075,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,,3,0.000794912559618442,0.031234534360086857,0.013183462307335195,0.005716615490939639,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,,3,0.000794912559618442,0.03370987243841106,0.10944301051671038,0.007226077096192008,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,traffic_signals,4,0.0010598834128245894,0.03508668814191978,0.09113931866947517,0.008162128716895095,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,,3,0.000794912559618442,0.02949736859110613,0.01666118026000803,0.006917384594480702,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,,3,0.000794912559618442,0.03429566951640751,0.042263693968922045,0.006175136789356721,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,,3,0.000794912559618442,0.03578115280643084,0.10130810682934432,0.005443530202383264,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,,3,0.000794912559618442,0.03712968963395754,0.10130887933912044,0.005751034138147509,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,,3,0.000794912559618442,0.036762295595634875,0.06451624610885402,0.006091765386264002,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,,3,0.000794912559618442,0.03267921085184556,0.03924906885760284,0.006733999334405244,,POINT (-46.6305184 -23.5448763)
