osmid,y,x,highway,street_count,dc,cc,nbc,vul,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,0.0010635469290082426,0.023285450882479936,0.0013947789465080136,3.1955060656361296e-05,,POINT (-46.6619198 -23.528187)
587993,-23.55821,-46.6382561,,3,0.0007976601967561819,0.03000875994407907,0.03740346904263178,0.007249857378492606,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,0.0010635469290082426,0.029928488623959835,0.005707937567532401,0.004546359946346677,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,0.0010635469290082426,0.02915113786309574,0.008192065362667129,0.00013513954168054392,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,0.0007976601967561819,0.03387717145060852,0.08507178911674756,0.007421456657126862,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,0.0010635469290082426,0.030363086580194626,0.01657099667691955,0.0007940639031689793,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,0.0007976601967561819,0.03349854646377816,0.010523919382825132,0.00021549421138214846,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,motorway_junction,3,0.0007976601967561819,0.024748079512872494,0.010124436871599408,0.0013594690245609198,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,,3,0.0007976601967561819,0.022153430746111688,0.001966978237741802,7.92603496136685e-05,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,traffic_signals,4,0.0010635469290082426,0.025870883870013094,0.01773778293035681,0.00012113227228032823,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,0.0015953203935123639,0.025737811748261594,0.005136985053743599,6.607944018517873e-05,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,0.0010635469290082426,0.027556863589392546,0.0024722587663630886,0.00014974088430101668,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,0.0010635469290082426,0.02866749693715715,0.0004353202736407928,6.800018380553855e-05,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,0.0013294336612603031,0.02937623675054153,0.001089532336432702,1.7849666368406074e-05,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,0.0007976601967561819,0.028520889145540726,0.0008557557587112198,-1.2799287213565082e-05,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,0.0010635469290082426,0.028724180978811176,0.0006041201703063968,7.663222088168047e-06,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,0.0010635469290082426,0.029544871863920068,0.008880315688556763,7.441454020224731e-05,,POINT (-46.6552234 -23.5477074)
25777913,-23.518581,-46.6469816,,3,0.0007976601967561819,0.025157828517963277,0.0,-0.00013819081996217534,,POINT (-46.6469816 -23.518581)
25777925,-23.5207514,-46.6433446,,3,0.0007976601967561819,0.025158882631645785,0.0008968812954585539,-4.0928344131416904e-05,,POINT (-46.6433446 -23.5207514)
25777928,-23.5208924,-46.6426901,,3,0.0007976601967561819,0.027175434292960907,0.00818138105317338,-6.197144925268054e-05,,POINT (-46.6426901 -23.5208924)
25777943,-23.5197443,-46.6361611,,3,0.0005317734645041213,0.02855198377092876,0.0,-3.837341928314005e-05,,POINT (-46.6361611 -23.5197443)
25777984,-23.5196667,-46.6315649,motorway_junction,3,0.0005317734645041213,0.0,0.0,-9.05233020245258e-05,,POINT (-46.6315649 -23.5196667)
25777990,-23.5198591,-46.6306778,,3,0.0007976601967561819,0.0006042880278455923,0.00012649067815614738,8.92540510993517e-06,,POINT (-46.6306778 -23.5198591)
25777992,-23.5199059,-46.629684,,3,0.0007976601967561819,0.0005630542565337755,0.00038636667310995674,0.0002163219740988826,,POINT (-46.629684 -23.5199059)
25777997,-23.5198746,-46.6285394,,3,0.0007976601967561819,0.028406873054101424,0.009682488460600092,0.0002112751056687641,,POINT (-46.6285394 -23.5198746)
25778039,-23.5199594,-46.626918,,3,0.0007976601967561819,0.02760817872918612,0.009682347031487196,0.0001259114164982297,,POINT (-46.626918 -23.5199594)
25778049,-23.5200626,-46.6225851,,3,0.0007976601967561819,0.027142062568926154,0.0182937421124847,0.00019582883171365056,,POINT (-46.6225851 -23.5200626)
25778062,-23.5196729,-46.6207637,,3,0.0007976601967561819,0.026422260746796235,0.018764671058326948,0.0004398162499941679,,POINT (-46.6207637 -23.5196729)
25778134,-23.5218113,-46.6141929,,3,0.0007976601967561819,0.027848824039465214,0.0007346805627770119,0.0032086560060671974,,POINT (-46.6141929 -23.5218113)
25778137,-23.5232174,-46.6126896,,3,0.0007976601967561819,0.024138866425144647,0.00655730504558278,0.0008221838322105523,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,,3,0.0007976601967561819,0.02312848946251445,0.004440043939177222,0.00037456971976831943,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,,3,0.0007976601967561819,0.02259568793094927,0.004439902510064323,2.518377286772269e-05,,POINT (-46.6101309 -23.5240816)
25778147,-23.5241708,-46.6089591,,3,0.0007976601967561819,0.022665771254216215,0.0019671196668547006,-3.641577111614878e-05,,POINT (-46.6089591 -23.5241708)
25778277,-23.5260265,-46.5998089,,1,0.00026588673225206064,0.026378150747870248,0.0,-0.00010173863180503743,,POINT (-46.5998089 -23.5260265)
25783030,-23.5219155,-46.6056686,,3,0.0007976601967561819,0.00026588673225206064,0.00026192671709085973,0.00012532538429349977,,POINT (-46.6056686 -23.5219155)
25783050,-23.5224308,-46.609309,motorway_junction,3,0.0007976601967561819,0.0011564471125661913,0.0049452457189407524,-1.1201785038335331e-05,,POINT (-46.609309 -23.5224308)
25783146,-23.5218114,-46.6115765,,3,0.0007976601967561819,0.0214543583709679,0.008227548252555927,-3.8888379522590964e-05,,POINT (-46.6115765 -23.5218114)
25783236,-23.518172,-46.6201099,,3,0.00026588673225206064,0.0005113206389462705,0.0,-0.000210224769194859,,POINT (-46.6201099 -23.518172)
25870718,-23.5646175,-46.6111634,traffic_signals,4,0.0010635469290082426,0.033902356094426433,0.012571190129887515,0.0009329788316607976,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,traffic_signals,4,0.0010635469290082426,0.033784090952525936,0.016328640518420028,0.0015164543455666894,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,traffic_signals,4,0.0010635469290082426,0.03492580608500396,0.12723041642410915,0.0062829754107935655,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,,3,0.0007976601967561819,0.030755257980437368,0.0080060761552485,0.0008766603975567476,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,,3,0.0007976601967561819,0.03124063852278781,0.01301446764916486,0.0002630360269291424,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,,3,0.0007976601967561819,0.03372684586300705,0.11085246479342839,0.00540285576260845,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,traffic_signals,4,0.0010635469290082426,0.03508635166278487,0.09251287119585574,0.0011946581518830018,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,,3,0.0007976601967561819,0.02945405077901839,0.016492935270913035,0.0007802940892397742,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,,3,0.0007976601967561819,0.03429674591923854,0.04202644533987104,0.007178095725873131,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,,3,0.0007976601967561819,0.03583921924203586,0.10220005635799552,0.0023586669247280053,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,,3,0.0007976601967561819,0.03719647388996462,0.10220019778710841,0.002120980275668227,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,,3,0.0007976601967561819,0.03677802400096382,0.06137477934814582,0.0006585497139541271,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,,3,0.0007976601967561819,0.032764343431914124,0.04355532127790706,0.0015140265507275674,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,,3,0.0007976601967561819,0.0393029146903007,0.057637407914747085,0.0005760914005815724,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,traffic_signals,4,0.0010635469290082426,0.03701912941930141,0.003594697194623777,0.00020641161905185019,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,traffic_signals,4,0.0010635469290082426,0.03795393819291861,0.045612435469159995,0.0003165511761718765,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,,3,0.0007976601967561819,0.03385043385404879,0.016099797013485063,3.539721363290499e-05,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,,3,0.0007976601967561819,0.035061083889702825,0.01609993844259796,3.662515590103755e-05,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,traffic_signals,4,0.0010635469290082426,0.034479903481642815,0.03344145375876029,0.0005567201566407231,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,crossing,4,0.0010635469290082426,0.033112153847655056,0.030570203004565873,0.0006682736632399067,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,,3,0.0007976601967561819,0.03370602019989909,0.011607112054233789,0.0006277528069927862,,POINT (-46.6252162 -23.5326836)
25875892,-23.5287456,-46.6312713,,3,0.0007976601967561819,0.034057151129532004,0.0005221332755321384,4.94737636587602e-05,,POINT (-46.6312713 -23.5287456)
25875912,-23.52485,-46.6297992,,3,0.0007976601967561819,0.031852154818768186,0.016019741670830825,6.69263987530719e-05,,POINT (-46.6297992 -23.52485)
25875921,-23.5217505,-46.6343656,motorway_junction,3,0.0007976601967561819,0.028763396286607214,0.003377687309528194,0.0004109893746178571,,POINT (-46.6343656 -23.5217505)
25875933,-23.5216281,-46.6364197,,3,0.0007976601967561819,0.027702222013567087,0.015297775051483931,0.0006611034075337353,,POINT (-46.6364197 -23.5216281)
25875949,-23.5210108,-46.6371232,motorway_junction,3,0.0007976601967561819,0.027170720427515466,0.002913683560716016,-7.693126814128088e-06,,POINT (-46.6371232 -23.5210108)
25875960,-23.5216195,-46.636985,,3,0.0010635469290082426,0.027277282759953763,0.01617517501765606,0.00014639679827108728,,POINT (-46.636985 -23.5216195)
25876382,-23.5178779,-46.6300507,,3,0.00026588673225206064,0.0,0.0,-0.00010277008116034738,,POINT (-46.6300507 -23.5178779)
25876402,-23.5208216,-46.6303373,,3,0.0007976601967561819,0.000738574256255724,0.0011757178788708996,0.00011283401560162715,,POINT (-46.6303373 -23.5208216)
25876404,-23.5200054,-46.6301737,,3,0.0007976601967561819,0.03060709507178639,0.0002604417114054094,0.0006134045287709409,,POINT (-46.6301737 -23.5200054)
25876428,-23.5201771,-46.629157,,3,0.0007976601967561819,0.029235589345828233,0.009037023652657275,1.8197878347392407e-05,,POINT (-46.629157 -23.5201771)
25876617,-23.5200141,-46.6302842,,3,0.0007976601967561819,0.00026588673225206064,0.0002607245696312095,0.00035003972374092625,,POINT (-46.6302842 -23.5200141)
25908565,-23.523301,-46.6307945,,3,0.0007976601967561819,0.0006381281574049455,0.0014356645883811588,0.0002121097613386531,,POINT (-46.6307945 -23.523301)
25908745,-23.5236755,-46.6309494,,3,0.0007976601967561819,0.0005922022672886805,0.00012028546052147742,-2.9533179570207553e-05,,POINT (-46.6309494 -23.5236755)
25927014,-23.5254031,-46.6312275,,3,0.0010635469290082426,0.029401889083646146,0.0023323199770088677,0.0005026829987347846,,POINT (-46.6312275 -23.5254031)
25927015,-23.5266085,-46.6313508,,3,0.0007976601967561819,0.029420136660921085,0.01842923404076053,0.00017913750997065327,,POINT (-46.6313508 -23.5266085)
25927018,-23.5264105,-46.6310338,,3,0.0007976601967561819,0.03365123925916695,0.03543033024422815,0.004219145019995952,,POINT (-46.6310338 -23.5264105)
25927315,-23.5275121,-46.6314845,,3,0.0007976601967561819,0.027755791025319054,0.013372764400823321,0.00021729240735783115,,POINT (-46.6314845 -23.5275121)
25927318,-23.5279337,-46.6312772,,3,0.0007976601967561819,0.034845071911621915,0.035430471673341034,0.004275787645011533,,POINT (-46.6312772 -23.5279337)
25928248,-23.530254,-46.6317405,,3,0.0007976601967561819,0.03660017549918131,0.002210889569227163,0.0001245777395267161,,POINT (-46.6317405 -23.530254)
25928388,-23.534495,-46.6330324,,3,0.0007976601967561819,0.03602377461114913,0.0023132368574705544,0.00011080050786501565,,POINT (-46.6330324 -23.534495)
25928438,-23.5352466,-46.6337902,,3,0.0007976601967561819,0.03332224973950825,0.0016657820990483665,9.537260165545057e-05,,POINT (-46.6337902 -23.5352466)
25928439,-23.5352713,-46.6331286,,3,0.0007976601967561819,0.037395311187203926,0.007074784911810622,0.0005031635919690673,,POINT (-46.6331286 -23.5352713)
25928614,-23.5353735,-46.6331395,,3,0.0007976601967561819,0.038876257675933286,0.007074926340923517,0.000644881343323797,,POINT (-46.6331395 -23.5353735)
25928755,-23.5414795,-46.634182,,4,0.0010635469290082426,0.0365355921942075,0.10525991517304964,0.01559740446021447,,POINT (-46.634182 -23.5414795)
25928842,-23.5468886,-46.6377089,,3,0.0007976601967561819,0.033070816466888926,0.08439609978130777,0.01911337490800803,,POINT (-46.6377089 -23.5468886)
25928939,-23.5495812,-46.6385465,,3,0.0007976601967561819,0.028284213347096476,0.028165448883263017,0.012514716139181632,,POINT (-46.6385465 -23.5495812)
25928961,-23.5481572,-46.6387749,,3,0.0007976601967561819,0.034046530095224896,0.06554433355061928,0.0005771788944024656,,POINT (-46.6387749 -23.5481572)
25928964,-23.5493388,-46.6387877,,3,0.0007976601967561819,0.03290799681293423,0.02451617056111251,0.000348576159257569,,POINT (-46.6387877 -23.5493388)
25929039,-23.5548213,-46.6371573,,3,0.0007976601967561819,0.03563926158482127,0.02001654495111644,0.0006747726375384877,,POINT (-46.6371573 -23.5548213)
25929410,-23.5579874,-46.6385024,,3,0.0007976601967561819,0.038929608349395024,0.04298423552906138,0.0019119576711052264,,POINT (-46.6385024 -23.5579874)
25929413,-23.5588307,-46.6388251,,3,0.0007976601967561819,0.03744583961383224,0.04298409409994848,0.0014688941523697593,,POINT (-46.6388251 -23.5588307)
25929414,-23.5590528,-46.6385968,,3,0.0007976601967561819,0.030954768400721852,0.037403610471744675,0.0042587428014419625,,POINT (-46.6385968 -23.5590528)
25929616,-23.5659574,-46.6408524,,3,0.0007976601967561819,0.03668477476235313,0.0028571745103252682,0.00099115007349508,,POINT (-46.6408524 -23.5659574)
25947658,-23.5686478,-46.6399769,traffic_signals,4,0.0013294336612603031,0.030701529452102444,0.010135745181474256,0.001197247061754429,,POINT (-46.6399769 -23.5686478)
26359231,-23.5691303,-46.607751,,3,0.0007976601967561819,0.029043974066141686,0.0025976285166348922,3.3466586614807024e-05,,POINT (-46.607751 -23.5691303)
26359247,-23.5681322,-46.609198,,3,0.0007976601967561819,0.031838643233497534,0.01067642733663332,0.0009116623444509864,,POINT (-46.609198 -23.5681322)
28149783,-23.5540326,-46.6607945,traffic_signals,4,0.0010635469290082426,0.025628688831329013,0.0019304009113575624,0.00012182280554671454,,POINT (-46.6607945 -23.5540326)
40257931,-23.5729954,-46.6526858,traffic_signals,4,0.0005317734645041213,0.0,0.0,-6.87151804478969e-05,,POINT (-46.6526858 -23.5729954)
60609643,-23.5564254,-46.661892,traffic_signals,4,0.0010635469290082426,0.024544239665674823,0.002660268534918452,3.534584757883946e-05,,POINT (-46.661892 -23.5564254)
60609673,-23.5590237,-46.6592911,,3,0.0007976601967561819,0.02564474267776925,0.003630265224541544,5.007779218882226e-06,,POINT (-46.6592911 -23.5590237)
