osmid,y,x,street_count,dc,cc,nbc,vul,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0009718172983479106,0.030892169386938267,0.03780562680512392,0.0073305032542241525,,,POINT (-46.6382561 -23.55821)
597270,-23.5685427,-46.6078851,4,0.00032393909944930353,0.0,0.0,-9.713343735815428e-05,traffic_signals,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,3,0.0009718172983479106,0.03531794231299391,0.08570067521859331,0.008119551213792939,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.0012957563977972141,0.03141890724486142,0.02394437368541388,0.0010041959224122577,traffic_signals,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,3,0.0009718172983479106,0.03432867368810018,0.0018932487354723392,0.00016314433653713588,,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,3,0.0009718172983479106,0.02275309682340134,0.0035946676080148236,0.0009427098680135167,motorway_junction,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,3,0.0009718172983479106,0.02080223856202348,0.0012756370434892266,0.00010873054023223962,,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,4,0.0012957563977972141,0.026102577427649886,0.0034637779160819103,0.00012685768090915544,traffic_signals,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,4,0.0009718172983479106,0.02595729192947715,0.0006586287258995192,-4.8348406658510616e-05,traffic_signals,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,4,0.0012957563977972141,0.028007292961463457,0.002462873426294765,0.00014712199570671866,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,0.0012957563977972141,0.029358856578781095,0.0004956938019193154,6.12102688044888e-05,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,0.0016196954972465176,0.030148412747530585,0.0012283778398362649,-2.136404922047563e-06,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,0.0009718172983479106,0.029246228559824342,0.0009333703609503749,-4.247791349287993e-05,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,0.0012957563977972141,0.029406678039981666,0.0007368232973552233,-1.6701511193979736e-05,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,0.0012957563977972141,0.03028243878592415,0.005202427041241529,4.488958949742189e-05,traffic_signals,,POINT (-46.6552234 -23.5477074)
25778137,-23.5232174,-46.6126896,3,0.0009718172983479106,0.022236106025849824,0.002962744931836986,-0.00013503145233473933,,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,3,0.0009718172983479106,0.02127969362100085,0.00039390188385903695,-0.00010486817608317106,,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,3,0.0009718172983479106,0.020828594179490564,0.00039495158930119274,-0.00013612711395263508,,,POINT (-46.6101309 -23.5240816)
