osmid,y,x,highway,street_count,dc,cc,nbc,vul,com,eff,ref,geometry
884411098,-23.2058738,-45.9061609,traffic_signals,5,0.0035260930888575456,0.03586816871469583,0.06433885757120408,0.0025164676772159835,0.030526633095606295,0.06252173094359648,,POINT (-45.9061609 -23.2058738)
934161191,-23.2238343,-45.8991355,,3,0.004231311706629055,0.042007514302231264,0.02222119184802308,0.0006833511181268522,0.014246721299470399,0.06252173094359648,,POINT (-45.8991355 -23.2238343)
934161195,-23.2238331,-45.8982195,,3,0.004231311706629055,0.04009745926059677,0.0024582229883264566,6.64852874355965e-05,0.014311282798560566,0.06252173094359648,,POINT (-45.8982195 -23.2238331)
934163157,-23.2236371,-45.9009728,,3,0.0021156558533145277,0.04339271798154782,0.0873092116258868,0.0015700142085816376,0.014521072129164732,0.06252173094359648,,POINT (-45.9009728 -23.2236371)
970047010,-23.2293837,-45.8844765,traffic_signals,4,0.004231311706629055,0.03789372203912583,0.04536579942626724,0.0012509964631934947,0.021967074525514208,0.06252173094359648,,POINT (-45.8844765 -23.2293837)
970047065,-23.2320334,-45.8927507,,3,0.0028208744710860366,0.03752789366867571,0.03162381259712914,0.0004491052138190381,0.017910096425358568,0.06252173094359648,,POINT (-45.8927507 -23.2320334)
970047128,-23.229012,-45.8911766,traffic_signals,3,0.004231311706629055,0.03487863821257582,0.011275932262728265,0.0007799675647001385,0.017179851235310434,0.06252173094359648,,POINT (-45.8911766 -23.229012)
970047153,-23.2251407,-45.8857229,,3,0.0028208744710860366,0.03833615731217596,0.02939037896862068,0.000328775032337723,0.018062082830599315,0.06252173094359648,,POINT (-45.8857229 -23.2251407)
970047171,-23.2252522,-45.8858854,,4,0.004231311706629055,0.03953727847653816,0.03274445980324748,0.0008215116702842916,0.024605762044004133,0.06252173094359648,,POINT (-45.8858854 -23.2252522)
970387137,-23.2221904,-45.8891946,traffic_signals,4,0.0028208744710860366,0.038149125298216395,0.01639043597813829,0.0006485139800030157,0.023721801706070605,0.06252173094359648,,POINT (-45.8891946 -23.2221904)
1102127919,-23.2104235,-45.8893561,,3,0.004231311706629055,0.03432462974993665,0.0031004790745580123,0.00047837766523043247,0.018146976615503706,0.06252173094359648,,POINT (-45.8893561 -23.2104235)
1102127925,-23.2141884,-45.8862346,,3,0.004231311706629055,0.035586046800514366,0.002406646665465991,9.084759969545308e-05,0.021356156645361203,0.06252173094359648,,POINT (-45.8862346 -23.2141884)
1102127943,-23.2131002,-45.8864307,,4,0.005641748942172073,0.0347844685799628,0.010280267017989357,0.0001718415386747383,0.03284200561217915,0.06252173094359648,,POINT (-45.8864307 -23.2131002)
1102127944,-23.2095077,-45.8883745,,3,0.004231311706629055,0.03393202355518984,0.005145566752388398,0.00014298462889630726,0.018491069814951785,0.06252173094359648,,POINT (-45.8883745 -23.2095077)
