osmid,y,x,highway,street_count,dc,cc,nbc,vul,geometry
42423020,40.7460792,-73.9749383,traffic_signals,5,0.015384615384615385,0.08264070107108082,0.0381058826884474,0.006414917479383162,POINT (-73.9749383 40.7460792)
42426816,40.7472955,-73.9758273,traffic_signals,4,0.012307692307692308,0.06081301848637804,0.010333315632860716,0.0006733223413326423,POINT (-73.9758273 40.7472955)
42427369,40.7396792,-73.9909583,traffic_signals,4,0.00923076923076923,0.05471925727466797,0.007303998227199454,-0.0013449259821587689,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,traffic_signals,4,0.012307692307692308,0.049161260426320665,0.018186767964545752,-0.0014523149665452613,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,traffic_signals,4,0.00923076923076923,0.05166860575232014,0.007663396517973095,-0.0018332876064586282,POINT (-73.997007 40.742228)
42427423,40.7435682,-73.9923179,traffic_signals,4,0.012307692307692308,0.06100242780475339,0.04376048010674214,0.0002920673126600351,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,traffic_signals,4,0.012307692307692308,0.06219045137758093,0.018352315382168312,-0.0003777702222441818,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,traffic_signals,4,0.00923076923076923,0.054104547386315344,0.004933988303005546,-0.0010754349093415041,POINT (-73.998 40.7459612)
42427786,40.745301,-73.986846,traffic_signals,4,0.012307692307692308,0.08754102869716696,0.06623356896083836,0.0017257057858790395,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,traffic_signals,4,0.012307692307692308,0.0826872199008422,0.019552230104044575,0.0007721794623434261,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,traffic_signals,4,0.012307692307692308,0.07957413117759814,0.043464224884359345,0.0014360204196282695,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,traffic_signals,4,0.012307692307692308,0.08020412020412021,0.05421958900375578,0.0006013739376975561,POINT (-73.9929242 40.7478717)
42427812,40.7490537,-73.9957298,traffic_signals,4,0.00923076923076923,0.07466015052292053,0.028167950339254906,0.0006642325904592071,POINT (-73.9957298 40.7490537)
42428192,40.7398661,-73.9895652,traffic_signals,4,0.006153846153846154,0.06081301848637804,0.010078782919376333,-0.0012508805011652777,POINT (-73.9895652 40.7398661)
42428198,40.7406183,-73.9894381,traffic_signals,4,0.012307692307692308,0.06489677320691237,0.02189574710955993,0.0012218507518687914,POINT (-73.9894381 40.7406183)
42428201,40.7413643,-73.9891378,traffic_signals,4,0.01846153846153846,0.06906151676250406,0.05624933564131487,0.003264139048436658,POINT (-73.9891378 40.7413643)
42428206,40.7422186,-73.9891071,traffic_signals,3,0.00923076923076923,0.062229970834080134,0.0018696844993141297,-0.0006502159226635785,POINT (-73.9891071 40.7422186)
