osmid,y,x,street_count,dc,cc,nbc,vul,highway,geometry
34557142,-15.7984356,-47.8715061,3,0.0010465724751439038,0.03301187407709396,0.0,-3.771060729998213e-05,,POINT (-47.8715061 -15.7984356)
34557143,-15.7972555,-47.8752619,3,0.0015698587127158557,0.035342395101838425,0.0020575286095106593,0.00024000612011538033,,POINT (-47.8752619 -15.7972555)
34557146,-15.7966181,-47.8772364,3,0.0015698587127158557,0.03985911678787756,0.04013656860717081,0.0017606866276802787,,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,0.0015698587127158557,0.03986169399703234,0.02414579262078992,0.0007819908442030167,,POINT (-47.876754 -15.7946793)
34565322,-15.7951716,-47.8751782,3,0.0015698587127158557,0.034123669337164333,0.02874794361450497,0.0006433016877335101,,POINT (-47.8751782 -15.7951716)
34565323,-15.7953242,-47.8747147,3,0.0015698587127158557,0.035345096758352415,0.028749587445617786,0.0004264301027891344,,POINT (-47.8747147 -15.7953242)
34565324,-15.7965472,-47.8708382,3,0.0010465724751439038,0.0,0.0,-4.8820805923448044e-05,,POINT (-47.8708382 -15.7965472)
111449578,-15.7931298,-47.8896859,3,0.0015698587127158557,0.03830467397221247,0.012572892615671091,0.0005633882950309141,,POINT (-47.8896859 -15.7931298)
111450216,-15.7869798,-47.9076957,3,0.0015698587127158557,0.028418039981474245,0.013510194231692264,0.001458263256274524,traffic_signals,POINT (-47.9076957 -15.7869798)
114103910,-15.7866876,-47.8807414,3,0.0015698587127158557,0.039453438408067996,0.00047191651529721843,0.002061427730436039,,POINT (-47.8807414 -15.7866876)
123853102,-15.8006724,-47.8938029,3,0.0015698587127158557,0.03336284865564446,0.011832553922688812,0.0003650213517041899,,POINT (-47.8938029 -15.8006724)
141980289,-15.8112594,-47.9091526,3,0.0015698587127158557,0.02390187102539845,0.010789468156708247,0.0038660214414553535,,POINT (-47.9091526 -15.8112594)
141980659,-15.8111215,-47.9089511,3,0.0015698587127158557,0.02345031480143411,0.012273867789660897,0.00015345177244977215,,POINT (-47.9089511 -15.8111215)
141980694,-15.8080929,-47.9048964,3,0.0015698587127158557,0.027304174647154535,0.021583924474437088,0.0005105826617045418,,POINT (-47.9048964 -15.8080929)
