osmid,y,x,highway,street_count,dc,cc,nbc,vul,com,eff,ref,geometry
1437658990,-23.1915753,-45.8698476,traffic_signals,4,0.008064516129032258,0.03216223317928188,0.05184437264404955,0.00042108553935815094,0.02681034661559025,0.07595292607308873,,POINT (-45.8698476 -23.1915753)
1437659004,-23.1923071,-45.8699266,,3,0.0064516129032258064,0.030239937218123424,0.051711484009936255,0.0020945840956144266,0.022012629872014345,0.07595292607308873,,POINT (-45.8699266 -23.1923071)
1437659005,-23.1927044,-45.8703527,,3,0.0032258064516129032,0.029342492024793648,0.0,-0.0009298823084703561,0.009497149921663497,0.07595292607308873,,POINT (-45.8703527 -23.1927044)
1437659008,-23.1927582,-45.8694539,,3,0.004838709677419355,0.02868895026862571,0.06519881181927145,0.0024132763460986088,0.030882726184535022,0.07595292607308873,,POINT (-45.8694539 -23.1927582)
1437659009,-23.193493,-45.8694306,,3,0.0064516129032258064,0.029524618826374645,0.015214011499643892,-7.12172553900245e-05,0.02573487510616231,0.07595292607308873,,POINT (-45.8694306 -23.193493)
1437659011,-23.1932316,-45.8696386,,3,0.008064516129032258,0.028695764098729412,0.013680580888356175,1.1675579018038681e-05,0.02663598379974623,0.07595292607308873,,POINT (-45.8696386 -23.1932316)
1437659020,-23.1938019,-45.8695602,,3,0.0032258064516129032,0.028759563075736193,2.3450935431757777e-05,-0.0010267949040477307,0.016681970988819784,0.07595292607308873,,POINT (-45.8695602 -23.1938019)
1437659025,-23.1945064,-45.8701988,,3,0.0032258064516129032,0.0296888855288379,0.0,-0.0010210361157489422,0.016695986917981343,0.07595292607308873,,POINT (-45.8701988 -23.1945064)
1437659085,-23.1945142,-45.8671338,,3,0.004838709677419355,0.03622156288562487,0.06538120798374068,0.008577798062797107,0.027705717755271,0.07595292607308873,,POINT (-45.8671338 -23.1945142)
1437661738,-23.1947219,-45.8676265,,3,0.0032258064516129032,0.026471373989152603,0.06517275522434728,0.005888138345505138,0.02039147354244204,0.07595292607308873,,POINT (-45.8676265 -23.1947219)
1437668168,-23.193067,-45.8691192,,3,0.004838709677419355,0.0271836937320097,0.06517796654333212,0.004909519656711544,0.026779445179778552,0.07595292607308873,,POINT (-45.8691192 -23.193067)
1437668193,-23.1928182,-45.8690082,,3,0.0064516129032258064,0.027167801124593074,0.0031789045807493876,0.0019933353427667223,0.02446728629164535,0.07595292607308873,,POINT (-45.8690082 -23.1928182)
1437668199,-23.1929401,-45.869261,,3,0.004838709677419355,0.027896708649570612,0.06519360050028662,0.0029105943684868095,0.029163819545914106,0.07595292607308873,,POINT (-45.869261 -23.1929401)
