osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,geometry
1446670988,-23.2182371,-45.8540288,4,0.008547008547008548,0.05240166169657,0.06481417721979982,0.011851429475162895,0.06793156290576377,0.08935100791500677,,POINT (-45.8540288 -23.2182371)
1446670989,-23.2140414,-45.8569489,4,0.008547008547008548,0.061990862152565426,0.01039762290798929,0.0024262898523344082,0.06695875779431376,0.08935100791500677,,POINT (-45.8569489 -23.2140414)
1446671007,-23.208997,-45.8575321,3,0.006410256410256411,0.07179060362580962,0.15571477099879813,0.004537613224879232,0.05035600093673393,0.08935100791500677,,POINT (-45.8575321 -23.208997)
1446671010,-23.2000514,-45.8639063,3,0.006410256410256411,0.044456338232913416,0.004441805913968654,0.00032673328002237,0.038902966651608646,0.08935100791500677,,POINT (-45.8639063 -23.2000514)
1446671013,-23.2192006,-45.854189,3,0.006410256410256411,0.04496912884009659,0.014669009315690257,0.001096087572579837,0.05503659401384755,0.08935100791500677,,POINT (-45.854189 -23.2192006)
1446671015,-23.203508,-45.8612975,3,0.008547008547008548,0.05854341919498448,0.07409377931467394,0.005492240022252461,0.05042807239010316,0.08935100791500677,,POINT (-45.8612975 -23.203508)
1446671018,-23.2055917,-45.8605262,4,0.010683760683760684,0.06593581597164799,0.13481001597948988,0.008817728868312426,0.062463031132482555,0.08935100791500677,,POINT (-45.8605262 -23.2055917)
1446671019,-23.2003589,-45.8636959,3,0.006410256410256411,0.04650568014902831,0.004455532373091259,0.0007479567791015316,0.051374096903673463,0.08935100791500677,,POINT (-45.8636959 -23.2003589)
1446671022,-23.2107427,-45.8569899,3,0.008547008547008548,0.061477240148895905,0.061895828826724106,0.0036125968864255164,0.05237643554093883,0.08935100791500677,,POINT (-45.8569899 -23.2107427)
1446671028,-23.2098454,-45.8570945,3,0.006410256410256411,0.05963627016258595,0.08709208255479571,0.0069205618264038945,0.04639928693690464,0.08935100791500677,,POINT (-45.8570945 -23.2098454)
1446674039,-23.2220035,-45.8558943,3,0.006410256410256411,0.004273504273504274,0.004218598437013854,-0.00048140428003379894,0.036643190795466456,0.08935100791500677,,POINT (-45.8558943 -23.2220035)
1446748353,-23.218797,-45.8540412,4,0.008547008547008548,0.04935989141997726,0.05507446218488665,0.0010711400563559903,0.06915515254438949,0.08935100791500677,,POINT (-45.8540412 -23.218797)
1446748354,-23.2185508,-45.8543345,3,0.006410256410256411,0.051741557533931844,0.057012333180573506,0.0028832398014934407,0.0519136877972208,0.08935100791500677,,POINT (-45.8543345 -23.2185508)
1446748371,-23.2182562,-45.8543399,3,0.006410256410256411,0.054571078058622546,0.05702605963969612,0.01663640468416271,0.05236573611414764,0.08935100791500677,,POINT (-45.8543399 -23.2182562)
1446748375,-23.2223495,-45.8558256,3,0.004273504273504274,0.0,0.0,-0.0008361979604837717,0.02624806249575654,0.08935100791500677,,POINT (-45.8558256 -23.2223495)
1446748386,-23.2223571,-45.8562105,3,0.002136752136752137,0.04521178476162399,0.0,-0.0007332457417876999,0.01364429821585095,0.08935100791500677,,POINT (-45.8562105 -23.2223571)
1453950123,-23.1958164,-45.864265,4,0.004273504273504274,0.040332648433647915,0.0,-0.001285029202773125,0.0131649288572044,0.08935100791500677,,POINT (-45.864265 -23.1958164)
1453950293,-23.198817,-45.8639126,3,0.012820512820512822,0.047741198426129935,0.07926839498038642,0.040639126882347186,0.03796685907723527,0.08935100791500677,,POINT (-45.8639126 -23.198817)
1453950300,-23.1973561,-45.8639127,4,0.012820512820512822,0.042039128943999644,0.03712092095389739,0.003681692367968235,0.031154436452315894,0.08935100791500677,,POINT (-45.8639127 -23.1973561)
1453957518,-23.1983083,-45.8634198,3,0.012820512820512822,0.04381277981277981,0.061544867219385416,0.034303193762298956,0.03305668388034242,0.08935100791500677,,POINT (-45.8634198 -23.1983083)
1453958821,-23.1971269,-45.8633836,3,0.012820512820512822,0.0404034944698918,0.029223631472025474,0.01310047991520098,0.034633797939870696,0.08935100791500677,,POINT (-45.8633836 -23.1971269)
1453958828,-23.1979287,-45.8625623,3,0.012820512820512822,0.04200074756086808,0.016554109701861306,0.0025524112669474113,0.029669394423915724,0.08935100791500677,,POINT (-45.8625623 -23.1979287)
1453960044,-23.1960891,-45.863782,3,0.008547008547008548,0.036061314418294896,0.0042231739233880555,0.0006130258607250506,0.016215448636307257,0.08935100791500677,,POINT (-45.863782 -23.1960891)
1453960046,-23.1955296,-45.8622353,1,0.004273504273504274,0.034798350078229054,0.0,-0.0019021191321729873,0.009021502192236436,0.08935100791500677,turning_circle,POINT (-45.8622353 -23.1955296)
1453960056,-23.196516,-45.8636128,3,0.012820512820512822,0.037413320432188354,0.012632917879170555,0.005587214508703774,0.024838953713874182,0.08935100791500677,,POINT (-45.8636128 -23.196516)
