osmid,y,x,street_count,dc,cc,nbc,vul,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.002013422818791946,0.0010067114093959733,0.0016733788272837496,0.005750004977628214,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.002013422818791946,0.030365341586133313,0.03431405046192311,0.00969231574327002,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.0026845637583892616,0.03343794797125107,0.041336138441967096,0.002060355183754277,traffic_signals,,POINT (-46.6252641 -23.5533268)
25871539,-23.5560493,-46.6222841,3,0.002013422818791946,0.032631014141494295,0.01782345646601285,0.0006699330304958915,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0013422818791946308,0.0,0.0,0.0002047491212101567,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.0026845637583892616,0.031329448923975156,0.0345231611242004,0.0023947204557385232,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.002013422818791946,0.0323419731144227,0.04122234561458333,0.0018727663301691384,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.002013422818791946,0.029466786340148217,0.02390322183104088,0.011859881563967308,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.002013422818791946,0.043837706864676806,0.07655991800906117,0.003688800592849937,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.002013422818791946,0.04588474769829932,0.07657073559304393,0.0037641501586237617,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.002013422818791946,0.04391400085058046,0.052782906277957405,0.0015051155744893515,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.002013422818791946,0.038771321316205996,0.02917618610947451,0.0030089602884360122,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.002013422818791946,0.04643207168011066,0.052141909593176106,0.0015682099544461177,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,0.0026845637583892616,0.04336414931315414,0.011531259655439554,0.0004968108533963077,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,0.0026845637583892616,0.0438962660878884,0.07178418339440153,0.0005457106701953909,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,0.002013422818791946,0.03626850116450533,0.009356575356528535,-0.00011190300275694356,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,0.002013422818791946,0.03766548861439764,0.009367392940511303,-0.00013528001390601227,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,0.0026845637583892616,0.035779019202621415,0.008113827793311794,0.0007086761640279982,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,0.0026845637583892616,0.03508344436808838,0.005535579870794257,0.002260666073337844,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,0.002013422818791946,0.03638242971752221,0.008481886583812182,0.0008684072121963498,,,POINT (-46.6252162 -23.5326836)
25928388,-23.534495,-46.6330324,3,0.002013422818791946,0.042064205923110484,0.004741319714889335,0.00010987093125089899,,,POINT (-46.6330324 -23.534495)
25928438,-23.5352466,-46.6337902,3,0.002013422818791946,0.037740940314346355,0.0045877295876463,0.00012423094326062322,,,POINT (-46.6337902 -23.5352466)
25928439,-23.5352713,-46.6331286,3,0.002013422818791946,0.04394541286835627,0.018891274026851708,0.0012421801406380455,,,POINT (-46.6331286 -23.5352713)
25928614,-23.5353735,-46.6331395,3,0.002013422818791946,0.046005756507427484,0.018902091610834486,0.0013212711913636389,,,POINT (-46.6331395 -23.5353735)
25928755,-23.5414795,-46.634182,4,0.0026845637583892616,0.044510199879327396,0.11702626490666403,0.015373269403162151,,,POINT (-46.634182 -23.5414795)
25928842,-23.5468886,-46.6377089,3,0.002013422818791946,0.038189751496462906,0.07309348229604344,0.018781433323987407,,,POINT (-46.6377089 -23.5468886)
25928939,-23.5495812,-46.6385465,3,0.002013422818791946,0.0011185682326621924,0.0013336933168381687,0.014750713422913123,,,POINT (-46.6385465 -23.5495812)
25928961,-23.5481572,-46.6387749,3,0.002013422818791946,0.04207046790035215,0.05933078800582918,0.001671416418412969,,,POINT (-46.6387749 -23.5481572)
25928964,-23.5493388,-46.6387877,3,0.002013422818791946,0.04035127092835478,0.02646261053366293,0.0009945378356926975,,,POINT (-46.6387877 -23.5493388)
25929039,-23.5548213,-46.6371573,3,0.002013422818791946,0.0457332687759047,0.00896190630058291,0.001408489030993323,,,POINT (-46.6371573 -23.5548213)
25929410,-23.5579874,-46.6385024,3,0.002013422818791946,0.04790875450495448,0.013570379304019426,0.0023171414499151156,,,POINT (-46.6385024 -23.5579874)
25929413,-23.5588307,-46.6388251,3,0.002013422818791946,0.04568299781349221,0.013559561720036658,0.0021952349011790536,,,POINT (-46.6388251 -23.5588307)
25929414,-23.5590528,-46.6385968,3,0.0013422818791946308,0.0008948545861297538,0.0010292818476433441,0.0010139423889766349,,,POINT (-46.6385968 -23.5590528)
60624525,-23.5480122,-46.6490136,4,0.0026845637583892616,0.035176897741271314,0.015212359204987851,0.0012094098594852276,traffic_signals,,POINT (-46.6490136 -23.5480122)
60641012,-23.5522917,-46.6376347,3,0.002013422818791946,0.041315189771326206,0.016220189011393837,0.0008390416288764686,,,POINT (-46.6376347 -23.5522917)
60641027,-23.5520563,-46.6359282,3,0.002013422818791946,0.04716043005704318,0.05999574989817554,0.0010424507598493042,,,POINT (-46.6359282 -23.5520563)
60641028,-23.5518993,-46.635442,5,0.003355704697986577,0.045980306705578324,0.07077857950670005,0.0012015248886111057,traffic_signals,,POINT (-46.635442 -23.5518993)
60641030,-23.5517667,-46.634943,4,0.0026845637583892616,0.04609730875833124,0.030248569932014763,0.0005997878706418521,traffic_signals,,POINT (-46.634943 -23.5517667)
60641031,-23.5519876,-46.6344161,3,0.0026845637583892616,0.04563136360424748,0.02670606818831124,0.0006348114522623774,crossing,,POINT (-46.6344161 -23.5519876)
60641034,-23.5520574,-46.6342543,3,0.002013422818791946,0.04538513539439608,0.021275813510494512,0.0008436444395748306,traffic_signals,,POINT (-46.6342543 -23.5520574)
60641038,-23.5522027,-46.633903,3,0.0026845637583892616,0.04404815628196414,0.028669665764114855,0.0005055345889850145,traffic_signals,,POINT (-46.633903 -23.5522027)
60641043,-23.5525309,-46.6329267,4,0.0026845637583892616,0.041046356002008066,0.028537007731009027,0.0020818786453765193,traffic_signals,,POINT (-46.6329267 -23.5525309)
60641048,-23.5517762,-46.6325558,3,0.0026845637583892616,0.0426096376988459,0.048172238633385704,0.0027401288215149573,,,POINT (-46.6325558 -23.5517762)
60641052,-23.5504696,-46.6319095,3,0.002013422818791946,0.04083403090304957,0.0449959902569322,0.0028073422670358682,,,POINT (-46.6319095 -23.5504696)
60641086,-23.5511669,-46.6354804,3,0.002013422818791946,0.04402345407262759,0.03159288932972417,0.0005682789203007428,,,POINT (-46.6354804 -23.5511669)
60641088,-23.5514227,-46.6353811,3,0.002013422818791946,0.0460988126506958,0.03160370691370694,0.0004305404349930066,traffic_signals,,POINT (-46.6353811 -23.5514227)
60641089,-23.5451434,-46.6336403,3,0.002013422818791946,0.03856392580358417,0.03123384068256329,0.0024034627592547852,traffic_signals,,POINT (-46.6336403 -23.5451434)
60641100,-23.5486338,-46.6322968,3,0.0026845637583892616,0.04364812669104277,0.04131822384682507,0.0019698491501344132,,,POINT (-46.6322968 -23.5486338)
