osmid,y,x,street_count,dc,cc,nbc,vul,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.001876172607879925,0.0011118059898547702,0.002062288239516106,0.005683690511754731,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.001876172607879925,0.03022300816752083,0.03719571218578277,0.00936262711195519,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.0025015634771732333,0.033282618038202996,0.04388950676929438,0.0018624237914823853,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944551,-23.538894,-46.6513228,3,0.0006253908692933083,0.0,0.0,-0.00023664575075475582,,,POINT (-46.6513228 -23.538894)
25871539,-23.5560493,-46.6222841,3,0.001876172607879925,0.03245617113375297,0.019185585501953956,0.0005746879447705222,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0012507817385866166,0.0,0.0,0.00020077247319859632,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.0025015634771732333,0.03118270738637093,0.03737023263717369,0.002187399740735567,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.001876172607879925,0.03219157145895604,0.043799411385539236,0.0017011649672767793,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.001876172607879925,0.02932804843485685,0.026315087852081705,0.011292302945480349,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.001876172607879925,0.04315170091105013,0.07920709053808452,0.0035373124272902825,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.001876172607879925,0.04514315851175814,0.07920630782110166,0.003601562621899767,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.001876172607879925,0.043198785406387524,0.04968693004888074,0.0014383027638697565,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.001876172607879925,0.038717371401880016,0.03552028266050742,0.002845675043320435,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.001876172607879925,0.04574854494641483,0.04850709840674862,0.0014962293353287981,,,POINT (-46.6291191 -23.5428224)
