osmid,y,x,ref,highway,street_count,dc,cc,nbc,vul,com,eff,geometry
1424160116,-23.1996661,-45.8783658,148 Norte,milestone,1,0.0008347245409015025,0.0,0.0,0.00021732018547646954,0.0049122583246632955,0.0574442971015807,POINT (-45.8783658 -23.1996661)
1434769556,-23.1963241,-45.8745623,,,3,0.0025041736227045075,0.03722368004867085,0.022173164364828846,0.005270178065055009,0.01647880937297573,0.0574442971015807,POINT (-45.8745623 -23.1963241)
1434769669,-23.1952891,-45.8715213,,,3,0.0025041736227045075,0.001669449081803005,0.001357641925254613,0.002688727506151094,0.011370439708431856,0.0574442971015807,POINT (-45.8715213 -23.1952891)
1434769703,-23.1967287,-45.8739872,147,motorway_junction,3,0.001669449081803005,0.0,0.0,0.0007712509173756174,0.009765547514719196,0.0574442971015807,POINT (-45.8739872 -23.1967287)
1434786526,-23.1980119,-45.8770966,,,3,0.0025041736227045075,0.03513582770868414,0.003955775328384648,0.0008742222528805561,0.016519732355112633,0.0574442971015807,POINT (-45.8770966 -23.1980119)
1434786538,-23.1976086,-45.8765156,,,3,0.0025041736227045075,0.03588688336890903,0.022171769670524914,0.004090057699039025,0.016725220927591898,0.0574442971015807,POINT (-45.8765156 -23.1976086)
1434786543,-23.1927313,-45.8754474,,,4,0.00333889816360601,0.03135402604458661,0.014071752105887386,0.0003922867024772231,0.03784114059810538,0.0574442971015807,POINT (-45.8754474 -23.1927313)
1434786546,-23.1891115,-45.8738027,,,3,0.0025041736227045075,0.02977439775094824,0.002499270123614995,0.00023978493049270783,0.020510596126775762,0.0574442971015807,POINT (-45.8738027 -23.1891115)
1434786547,-23.1886102,-45.8736854,,,3,0.0025041736227045075,0.033792410939413674,0.01808037343141968,0.0005399083375691629,0.02231066350816853,0.0574442971015807,POINT (-45.8736854 -23.1886102)
1434786551,-23.1926116,-45.8755552,,traffic_signals,5,0.004173622704507512,0.03046745660973304,0.01814125062914981,0.0010208611590268141,0.04088038202096634,0.0574442971015807,POINT (-45.8755552 -23.1926116)
1434786552,-23.1933201,-45.8756332,,,3,0.004173622704507512,0.0328070989685437,0.024174661079109212,0.0019086509725582824,0.019424488231453655,0.0574442971015807,POINT (-45.8756332 -23.1933201)
1434833247,-23.198452,-45.8776672,,,3,0.0025041736227045075,0.03393647533453255,0.003954380634080718,0.0004926458657469035,0.015173959611210083,0.0574442971015807,POINT (-45.8776672 -23.198452)
1434870722,-23.1960146,-45.8764127,,traffic_signals,3,0.004173622704507512,0.03356077683798482,0.023943321444377965,0.0019585504559910915,0.01719948590717247,0.0574442971015807,POINT (-45.8764127 -23.1960146)
1434874889,-23.1960734,-45.8778059,,,3,0.001669449081803005,0.030198549795091918,0.0008151988206464966,-0.00021507206547666878,0.009098834134001145,0.0574442971015807,POINT (-45.8778059 -23.1960734)
1434874897,-23.1964168,-45.8772352,,,3,0.00333889816360601,0.03215883711243072,0.0008299593353630784,-0.0001497757824763349,0.017786187767950035,0.0574442971015807,POINT (-45.8772352 -23.1964168)
1434874903,-23.1960347,-45.8771321,,,3,0.00333889816360601,0.031149539637172353,0.0024529186070351167,8.238882651930705e-05,0.015074108556285437,0.0574442971015807,POINT (-45.8771321 -23.1960347)
1434874912,-23.1983989,-45.8778672,,,3,0.00333889816360601,0.032836558704961744,0.002370004030666538,-0.00010578393871387913,0.013778137103284077,0.0574442971015807,POINT (-45.8778672 -23.1983989)
1434875366,-23.1972824,-45.8774668,,,4,0.005843071786310518,0.03323289898071673,0.011628538823717921,0.0004971106913455569,0.021875534219096243,0.0574442971015807,POINT (-45.8774668 -23.1972824)
1434875367,-23.1974576,-45.8768433,,,3,0.00333889816360601,0.03527670573724087,0.018289838977932352,0.0016183564449440647,0.017086610666937802,0.0574442971015807,POINT (-45.8768433 -23.1974576)
1434877823,-23.1965729,-45.8783005,,,3,0.0025041736227045075,0.031147052250792326,0.0008253103543499818,-0.00027381499147436354,0.009392402852157521,0.0574442971015807,POINT (-45.8783005 -23.1965729)
1434877844,-23.1976049,-45.8775918,,,3,0.005008347245409015,0.03216148873158577,0.005087422538290943,0.001214383132579637,0.013311302620414881,0.0574442971015807,POINT (-45.8775918 -23.1976049)
1437624926,-23.1918875,-45.8774842,,,3,0.004173622704507512,0.02661156203970747,0.002509671042752495,0.0011152718934200941,0.011347675278299404,0.0574442971015807,POINT (-45.8774842 -23.1918875)
1437624927,-23.1913914,-45.8767407,,,3,0.0025041736227045075,0.02709903906834063,0.013729978208070476,0.0005495068367504247,0.01710366022905631,0.0574442971015807,POINT (-45.8767407 -23.1913914)
1437627792,-23.1913187,-45.8768029,,traffic_signals,3,0.0025041736227045075,0.027248593657088694,0.008305823593519394,0.00011794925194424236,0.01677418302358245,0.0574442971015807,POINT (-45.8768029 -23.1913187)
1437627795,-23.1906404,-45.8774431,,,3,0.0025041736227045075,0.025841123733189426,0.00712828731156776,-0.00015191146912512995,0.013791187412759197,0.0574442971015807,POINT (-45.8774431 -23.1906404)
1437627798,-23.1898646,-45.8780717,,,3,0.0008347245409015025,0.0,0.0,-0.00046445868727585125,0.005164896491113922,0.0574442971015807,POINT (-45.8780717 -23.1898646)
1437641681,-23.1930902,-45.8756041,,,4,0.005008347245409015,0.03135738687488321,0.011264081430909944,0.0002484703668410254,0.03446113790656453,0.0574442971015807,POINT (-45.8756041 -23.1930902)
1437641687,-23.191721,-45.8772179,,,3,0.00333889816360601,0.027269548740649643,0.006158628860956245,0.00040484024118844905,0.015054753637046283,0.0574442971015807,POINT (-45.8772179 -23.191721)
1437646728,-23.1904954,-45.8775887,,,3,0.0025041736227045075,0.02653251719860365,0.0071296820058716895,0.0008682444597453637,0.012359987608700463,0.0574442971015807,POINT (-45.8775887 -23.1904954)
1437646729,-23.1886429,-45.8766877,,,3,0.0025041736227045075,0.027918870183714282,0.004946579590261988,-0.00018359601714686225,0.020157172162856934,0.0574442971015807,POINT (-45.8766877 -23.1886429)
1437646730,-23.1896458,-45.877228,,,3,0.0025041736227045075,0.02725874967410587,0.006306115019401618,-3.176550130884164e-05,0.013985661836343534,0.0574442971015807,POINT (-45.877228 -23.1896458)
1437646731,-23.1894965,-45.8771536,,,3,0.0025041736227045075,0.025745041054519423,0.0022387082482404706,-0.00019126910611692115,0.01058889698176512,0.0574442971015807,POINT (-45.8771536 -23.1894965)
