osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,ref,geometry
21638855,41.3749826,2.1888306,3,0.0009289363678588017,0.025730572359291885,0.0,-0.0002449443444524471,0.005780135862014251,0.05359915838712445,,,POINT (2.1888306 41.3749826)
21638859,41.3763469,2.1886934,3,0.0013934045517882026,0.028771121865384417,0.003587973554666524,0.0006266313028670554,0.01155834274131463,0.05359915838712445,,,POINT (2.1886934 41.3763469)
21638861,41.3780115,2.1880402,3,0.0018578727357176034,0.029612099245116024,0.022783664446773506,0.0021230053975129243,0.012063582264480729,0.05359915838712445,,,POINT (2.1880402 41.3780115)
21638865,41.3767732,2.1906313,1,0.00046446818392940084,0.0,0.0,-0.00033433891140259185,0.0035001065325887797,0.05359915838712445,,,POINT (2.1906313 41.3767732)
21638867,41.3782089,2.1889331,4,0.002786809103576405,0.0266475706727887,0.01109828601929134,-1.2831423175362151e-05,0.02397613674948119,0.05359915838712445,,,POINT (2.1889331 41.3782089)
21638868,41.3784394,2.1899711,3,0.0023223409196470044,0.02416005209168311,0.001151972760448528,-0.00021358877265449997,0.011739343703127894,0.05359915838712445,,,POINT (2.1899711 41.3784394)
21638869,41.3785912,2.1906605,4,0.002786809103576405,0.022509271711208045,0.002459493665073499,-0.00028182969353003195,0.019443712780421042,0.05359915838712445,,,POINT (2.1906605 41.3785912)
21638877,41.3791109,2.1891407,4,0.0018578727357176034,0.024152834016630924,0.0027869428845006274,-0.0001502417395551708,0.019059971155301985,0.05359915838712445,,,POINT (2.1891407 41.3791109)
21638878,41.3792994,2.1900047,4,0.0018578727357176034,0.02415023656530995,0.014192643016638497,3.0672952549799536e-05,0.017855209739895097,0.05359915838712445,,,POINT (2.1900047 41.3792994)
21638882,41.3805427,2.1878203,4,0.0018578727357176034,0.025920983412777304,0.0023257361458941524,-0.00010989902705026246,0.0169655045958949,0.05359915838712445,,,POINT (2.1878203 41.3805427)
21638889,41.3821491,2.1841315,3,0.0013934045517882026,0.03203444227667431,0.011450573611492414,0.0003657522937130819,0.01364235509642664,0.05359915838712445,,,POINT (2.1841315 41.3821491)
21638891,41.3826029,2.1831923,4,0.0018578727357176034,0.03318422129016762,0.06807323143519578,0.00020305945963950816,0.019510038817963187,0.05359915838712445,,,POINT (2.1831923 41.3826029)
21638917,41.375966,2.1781634,3,0.0013934045517882026,0.029212762848560513,0.05529112188198547,0.011354580701550154,0.011196996015316908,0.05359915838712445,,,POINT (2.1781634 41.375966)
21638920,41.3754663,2.177604,3,0.0013934045517882026,0.030117798671916954,0.0552911218819855,0.005404750825806876,0.009759141613579846,0.05359915838712445,,,POINT (2.177604 41.3754663)
21638921,41.3755381,2.1774317,3,0.0013934045517882026,0.031008223471941255,0.06373441072795455,0.0016085781915104237,0.009790882946033959,0.05359915838712445,,,POINT (2.1774317 41.3755381)
21638922,41.3757129,2.1773686,3,0.0013934045517882026,0.03202987318031155,0.06373441072795454,0.0003496991428140623,0.010967572292143927,0.05359915838712445,,,POINT (2.1773686 41.3757129)
