osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,geometry
21638891,41.3826029,2.1831923,4,0.0038314176245210726,0.034964328585758216,0.0016066790829577223,-0.0004049038458522233,0.029080344038152253,0.0734744981509805,,POINT (2.1831923 41.3826029)
26057116,41.3857494,2.1701343,4,0.0038314176245210726,0.03956360406378753,0.01577699010588967,0.02244880393589078,0.02624089396756465,0.0734744981509805,,POINT (2.1701343 41.3857494)
26057125,41.3873921,2.1685651,4,0.004789272030651341,0.04993995193715978,0.0588936608872955,0.00303801146774593,0.036611306414982794,0.0734744981509805,,POINT (2.1685651 41.3873921)
26057131,41.3888075,2.1723496,5,0.004789272030651341,0.04875134880567008,0.11731043210527528,0.006002566847985043,0.06261736965143208,0.0734744981509805,,POINT (2.1723496 41.3888075)
26057304,41.3865594,2.1662922,4,0.0038314176245210726,0.050836359835461566,0.07129883296484735,0.003553796397967237,0.037673333452807836,0.0734744981509805,,POINT (2.1662922 41.3865594)
26057312,41.389593,2.16837,4,0.0038314176245210726,0.05137232040998251,0.029004213065646413,0.0015892982990758679,0.051708343136760725,0.0734744981509805,,POINT (2.16837 41.389593)
26057341,41.3893033,2.1736889,4,0.0038314176245210726,0.04441525816570474,0.04363177858472332,0.0020125280175186844,0.04957596592976498,0.0734744981509805,,POINT (2.1736889 41.3893033)
26057342,41.3899292,2.1753258,4,0.0038314176245210726,0.04488024628036859,0.058122662522346935,0.0019737885865597844,0.04844222720073548,0.0734744981509805,,POINT (2.1753258 41.3899292)
26057345,41.3892283,2.1762283,3,0.0028735632183908046,0.04283644779845162,0.021017169094433925,0.00036518412334043965,0.027125902540389116,0.0734744981509805,,POINT (2.1762283 41.3892283)
26057346,41.3889575,2.1758863,3,0.0028735632183908046,0.040081066008319774,0.0018473393415536477,8.947520356839449e-05,0.012651771474580667,0.0734744981509805,,POINT (2.1758863 41.3889575)
26057347,41.3889558,2.1737424,3,0.0028735632183908046,0.0420038927547702,0.0017793803520487171,0.00018774153731196714,0.012693266046634347,0.0734744981509805,,POINT (2.1737424 41.3889558)
26057388,41.3838266,2.1608564,4,0.0038314176245210726,0.04343169490011863,0.05224430261453275,0.002109821743518703,0.04854509344856101,0.0734744981509805,,POINT (2.1608564 41.3838266)
26057389,41.3846778,2.1619691,4,0.0038314176245210726,0.04926568104627248,0.07534911126191907,0.0020989469139874456,0.047924648752228176,0.0734744981509805,,POINT (2.1619691 41.3846778)
26198828,41.3812781,2.1574616,3,0.0028735632183908046,0.04067541374920117,0.024551954319167325,0.0009596495467146924,0.030818431920031114,0.0734744981509805,,POINT (2.1574616 41.3812781)
26198831,41.3804334,2.1563247,4,0.0038314176245210726,0.037787520108898555,0.026460507960467387,0.001066197243711712,0.04266557323401185,0.0734744981509805,,POINT (2.1563247 41.3804334)
26198833,41.3795841,2.1551756,4,0.0038314176245210726,0.03490419580801045,0.015900133070752723,0.0006282905031667895,0.04558809422962434,0.0734744981509805,,POINT (2.1551756 41.3795841)
26198844,41.3778725,2.1529147,4,0.0038314176245210726,0.03253324645354744,0.01210495636183919,0.00022417206723189312,0.0410700679705684,0.0734744981509805,traffic_signals,POINT (2.1529147 41.3778725)
30227025,41.3782059,2.1733456,3,0.0028735632183908046,0.03365537129904946,0.011255481689877457,0.0011236939531206948,0.013702975821986634,0.0734744981509805,,POINT (2.1733456 41.3782059)
30227027,41.3775175,2.1745094,1,0.0009578544061302681,0.03246784684961781,0.0,-0.00046683664332947784,0.005832113803302038,0.0734744981509805,,POINT (2.1745094 41.3775175)
30227030,41.3766207,2.1757423,2,0.0009578544061302681,0.032524785130171256,0.0,-0.0004875692689487834,0.004245976521228446,0.0734744981509805,,POINT (2.1757423 41.3766207)
