osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,ref,geometry
21638845,41.3700925,2.187743,3,0.0014540167211922936,0.02382228373669479,0.00423436105878854,0.0026898312284874943,0.007167620303513388,0.04830866492606071,,,POINT (2.187743 41.3700925)
21638855,41.3749826,2.1888306,3,0.0014540167211922936,0.02441713188009141,0.0049382373351839004,0.0032251247412467916,0.007252357782549082,0.04830866492606071,,,POINT (2.1888306 41.3749826)
21638859,41.3763469,2.1886934,3,0.0010905125408942201,0.027111313408870397,0.005278080697928026,0.0007008815130156122,0.00905761034751835,0.04830866492606071,,,POINT (2.1886934 41.3763469)
21638861,41.3780115,2.1880402,3,0.0014540167211922936,0.027854903217400688,0.019460002058085835,0.001944678987658329,0.009446716330707943,0.04830866492606071,,,POINT (2.1880402 41.3780115)
21638865,41.3767732,2.1906313,1,0.0003635041802980734,0.0,0.0,-0.00022697165225196473,0.0027395482982564513,0.04830866492606071,,,POINT (2.1906313 41.3767732)
21638867,41.3782089,2.1889331,4,0.0021810250817884402,0.025214303471855822,0.008365694841896146,-9.300152479610917e-06,0.01876623122991638,0.04830866492606071,,,POINT (2.1889331 41.3782089)
21638868,41.3784394,2.1899711,3,0.0018175209014903672,0.023382017313448633,0.0008894175679542979,-0.00013250837652718566,0.009189103392818055,0.04830866492606071,,,POINT (2.1899711 41.3784394)
21638869,41.3785912,2.1906605,4,0.0021810250817884402,0.021851381120433108,0.0019415911018767675,-0.00017999038977509554,0.015550095966412186,0.04830866492606071,,,POINT (2.1906605 41.3785912)
21638877,41.3791109,2.1891407,4,0.0014540167211922936,0.023248465407329874,0.0022414242569095346,-8.541474864693174e-05,0.01491867470891567,0.04830866492606071,,,POINT (2.1891407 41.3791109)
21638878,41.3792994,2.1900047,4,0.0014540167211922936,0.023374883788192385,0.01371039122838468,6.280993286376223e-05,0.013999540092553685,0.04830866492606071,,,POINT (2.1900047 41.3792994)
21638882,41.3805427,2.1878203,4,0.0014540167211922936,0.02457955642365036,0.0016138818729580062,-5.131226390694683e-05,0.01328130230008132,0.04830866492606071,,,POINT (2.1878203 41.3805427)
