osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,ref,geometry
7980059139,-22.923369,-43.193437,1,0.0015313935681470138,0.03818136354055011,0.0,-0.0003309250059017274,0.004701327314562421,0.0658623798539284,,,POINT (-43.193437 -22.923369)
7980059143,-22.9226063,-43.1919564,3,0.004594180704441042,0.04138584851986175,0.006024654849706336,0.004664685943954131,0.013131368925480936,0.0658623798539284,,,POINT (-43.1919564 -22.9226063)
7980289717,-22.9206088,-43.1967652,3,0.002297090352220521,0.037570951868589574,0.04252351694643524,0.006898477351376789,0.01556910798695305,0.0658623798539284,,,POINT (-43.1967652 -22.9206088)
7980289718,-22.9208205,-43.1966389,3,0.002297090352220521,0.03895783793312924,0.05935170113397528,0.0008855524087710066,0.015199041325887667,0.0658623798539284,,,POINT (-43.1966389 -22.9208205)
7986957843,-22.9186703,-43.1978264,3,0.004594180704441042,0.03224446385661616,0.0021317716658843288,0.00099058824451507,0.011353763088598378,0.0658623798539284,,,POINT (-43.1978264 -22.9186703)
7987277479,-22.9247837,-43.2041437,3,0.002297090352220521,0.024980492606282503,0.04631086702692554,0.001884808230610009,0.016322718700364107,0.0658623798539284,,,POINT (-43.2041437 -22.9247837)
7987277480,-22.924677,-43.2039593,3,0.002297090352220521,0.03395562433951326,0.04612310996109908,0.0002897675484681941,0.016951242011195106,0.0658623798539284,,,POINT (-43.2039593 -22.924677)
7991928431,-22.9121468,-43.2039285,3,0.002297090352220521,0.029537149218123497,0.009169679678711427,-0.00010559222277491793,0.01582929800395474,0.0658623798539284,,,POINT (-43.2039285 -22.9121468)
7991928432,-22.911998,-43.2041256,3,0.002297090352220521,0.030103277911470865,0.00430557639416839,-0.00026568823802470767,0.015559521687039932,0.0658623798539284,,,POINT (-43.2041256 -22.911998)
7991950001,-22.9106213,-43.2024533,3,0.0038284839203675345,0.0352094926698537,0.009892620374305272,-4.931288814401984e-05,0.016416053994698955,0.0658623798539284,,,POINT (-43.2024533 -22.9106213)
7991950002,-22.9107911,-43.2025465,3,0.002297090352220521,0.034066327323429874,0.0026692425671784627,-9.837263470060315e-05,0.01611464408070214,0.0658623798539284,,,POINT (-43.2025465 -22.9107911)
7991950003,-22.9106901,-43.2026779,3,0.0038284839203675345,0.034118727157669976,0.006623021928406133,-0.00016893164461800845,0.017463175737342015,0.0658623798539284,,,POINT (-43.2026779 -22.9106901)
7991974975,-22.9087469,-43.1986293,3,0.002297090352220521,0.03710782085823481,0.02920020813709795,0.0007879545243934192,0.0207081076198646,0.0658623798539284,,,POINT (-43.1986293 -22.9087469)
7998903554,-22.9059609,-43.205519,1,0.0015313935681470138,0.031104548127380838,0.0,-0.00042518132777648153,0.004504345123964413,0.0658623798539284,,,POINT (-43.205519 -22.9059609)
7999075817,-22.9138854,-43.2041093,3,0.0030627871362940277,0.0325089394292342,0.005846349624329413,0.0008269317821255433,0.015245079239601224,0.0658623798539284,,,POINT (-43.2041093 -22.9138854)
7999132432,-22.9091682,-43.16949,3,0.002297090352220521,0.028673689669383055,0.002246385089177917,-0.00017093971917274715,0.019868348297735924,0.0658623798539284,,,POINT (-43.16949 -22.9091682)
7999254600,-22.9014225,-43.1922687,3,0.002297090352220521,0.03932131841393843,0.031187177480864622,0.0034092624855436185,0.015554108459631953,0.0658623798539284,,,POINT (-43.1922687 -22.9014225)
7999254615,-22.9033675,-43.19458,3,0.004594180704441042,0.03723897479623517,0.027241852045490983,0.004699631080558722,0.012560771133870819,0.0658623798539284,,,POINT (-43.19458 -22.9033675)
7999357124,-22.9207047,-43.2009391,1,0.0015313935681470138,0.031246760553636076,0.0,-0.00036990195868627843,0.0048535621094085105,0.0658623798539284,,,POINT (-43.2009391 -22.9207047)
7999413506,-22.9211226,-43.1848121,3,0.0038284839203675345,0.04239187501363877,0.014674324155815535,0.001452894977750307,0.012021562676403263,0.0658623798539284,,,POINT (-43.1848121 -22.9211226)
8001922928,-22.9140663,-43.1957215,3,0.0030627871362940277,0.04207866583292097,0.06958678498642591,0.0020410765708820705,0.015245910473806924,0.0658623798539284,,,POINT (-43.1957215 -22.9140663)
8002238294,-22.9124169,-43.1790677,3,0.002297090352220521,0.040471756475088876,0.03228661805654471,0.0005803483266303205,0.019607890659471352,0.0658623798539284,,,POINT (-43.1790677 -22.9124169)
8002257967,-22.8933628,-43.1919417,3,0.002297090352220521,0.040706299815897504,0.02312440397903138,0.0005631504104827134,0.01801135597120961,0.0658623798539284,,,POINT (-43.1919417 -22.8933628)
8002257969,-22.8933072,-43.1945837,3,0.002297090352220521,0.03909153981639849,0.023127337683184913,0.0003727618071384574,0.01821431680006479,0.0658623798539284,,,POINT (-43.1945837 -22.8933072)
8002404081,-22.90409,-43.1967365,3,0.004594180704441042,0.03673798263204348,0.017932640609142795,0.0008886822064612964,0.016670552051849433,0.0658623798539284,,,POINT (-43.1967365 -22.90409)
8002404082,-22.9030226,-43.1966972,1,0.0015313935681470138,0.03536411032338824,0.0,-2.702629469336178e-05,0.006519462516224369,0.0658623798539284,,,POINT (-43.1966972 -22.9030226)
8002429287,-22.9035704,-43.196541,4,0.006125574272588055,0.03668149217482234,0.010196533879619269,0.0018221397072263855,0.018288491513570367,0.0658623798539284,,,POINT (-43.196541 -22.9035704)
8002959973,-22.9212687,-43.1843239,3,0.004594180704441042,0.0405431352343042,0.01501853728197793,0.001182960518038267,0.015750123408034777,0.0658623798539284,,,POINT (-43.1843239 -22.9212687)
8002959974,-22.9211076,-43.1843196,3,0.004594180704441042,0.040277075349041964,0.010035135265570426,0.0001700990946369384,0.01542698943428048,0.0658623798539284,,,POINT (-43.1843196 -22.9211076)
8002959976,-22.9210739,-43.1848131,3,0.004594180704441042,0.042627703043889964,0.03583910900141161,0.001878701657346618,0.01517946828763556,0.0658623798539284,,,POINT (-43.1848131 -22.9210739)
8003129658,-22.9217805,-43.184976,1,0.0015313935681470138,0.040642183042906434,0.0,-0.00016808251869033147,0.004872659930166459,0.0658623798539284,,,POINT (-43.184976 -22.9217805)
