osmid,y,x,street_count,dc,cc,nbc,vul,highway,geometry
34557099,-15.7993489,-47.8618433,3,0.0024489795918367346,0.04058301039130286,0.013436773121947196,0.0005077501883344169,,POINT (-47.8618433 -15.7993489)
34557103,-15.7997956,-47.867146,3,0.0024489795918367346,0.0392022792022792,0.029247474891832607,0.0008319922362480809,,POINT (-47.867146 -15.7997956)
34557141,-15.7994921,-47.868118,3,0.0024489795918367346,0.040826634466103164,0.02924614102495252,0.000825261544394678,,POINT (-47.868118 -15.7994921)
34557142,-15.7984356,-47.8715061,3,0.0024489795918367346,0.04195568161673462,0.028028342794549247,0.0009198088203848521,,POINT (-47.8715061 -15.7984356)
34557143,-15.7972555,-47.8752619,3,0.0024489795918367346,0.04346433556159554,0.029145678617767425,0.0011672619157274506,,POINT (-47.8752619 -15.7972555)
34557146,-15.7966181,-47.8772364,3,0.0024489795918367346,0.04422122571001495,0.04357078949906088,0.00333975640657047,,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,0.0024489795918367346,0.04422618380236947,0.04183320629839261,0.0012998708218228316,,POINT (-47.876754 -15.7946793)
34565322,-15.7951716,-47.8751782,3,0.0024489795918367346,0.04163974805587811,0.03713479836379001,0.0015085002375245082,,POINT (-47.8751782 -15.7951716)
34565323,-15.7953242,-47.8747147,3,0.0024489795918367346,0.043470722209977226,0.03713346449690992,0.0012027948056204587,,POINT (-47.8747147 -15.7953242)
34565324,-15.7965472,-47.8708382,3,0.0024489795918367346,0.0392022792022792,0.013902727757769778,0.00043456999531629726,,POINT (-47.8708382 -15.7965472)
34565325,-15.7975912,-47.8674802,3,0.0024489795918367346,0.03881014069725493,0.015115190520652709,0.0003679887251960769,,POINT (-47.8674802 -15.7975912)
34565328,-15.7978916,-47.8665206,3,0.0024489795918367346,0.04040150221918744,0.015113856653772621,0.00039667831804048704,,POINT (-47.8665206 -15.7978916)
114103910,-15.7866876,-47.8807414,3,0.0016326530612244899,0.04060449885627038,0.0,0.00022744110037858307,,POINT (-47.8807414 -15.7866876)
142059262,-15.81932,-47.8792927,3,0.0024489795918367346,0.03156720996612159,0.02507769911901566,7.58018958522365e-05,,POINT (-47.8792927 -15.81932)
142059275,-15.8189856,-47.8794737,3,0.0024489795918367346,0.031552901023890786,0.0029251680470167895,0.0006521851038266814,,POINT (-47.8794737 -15.8189856)
142087751,-15.8112984,-47.8850036,4,0.0032653061224489797,0.031918004045853,0.022346695606499507,0.0016081589291450267,,POINT (-47.8850036 -15.8112984)
142087820,-15.8087062,-47.8827332,3,0.0024489795918367346,0.03214254671881791,0.0314982326263839,0.0004790072101651087,,POINT (-47.8827332 -15.8087062)
142087838,-15.8056951,-47.8801118,3,0.0032653061224489797,0.03701238583760791,0.05528521578091406,0.0018743670703111847,,POINT (-47.8801118 -15.8056951)
142088003,-15.8097618,-47.8839493,4,0.0032653061224489797,0.03626045656503754,0.04123467164643642,0.002556056684808156,,POINT (-47.8839493 -15.8097618)
142089097,-15.812542,-47.8816607,3,0.0024489795918367346,0.030986933410144284,0.029743638869689278,0.002453282093298132,,POINT (-47.8816607 -15.812542)
142089214,-15.8112789,-47.8820894,3,0.0024489795918367346,0.03247063988585227,0.028066515495086927,0.0013978424696066433,,POINT (-47.8820894 -15.8112789)
142089370,-15.8106391,-47.8832183,3,0.0024489795918367346,0.03627157088122605,0.02214386093727833,0.0016897410539403516,,POINT (-47.8832183 -15.8106391)
142089422,-15.8093837,-47.8835931,3,0.0024489795918367346,0.037393667446122734,0.05500754948444023,0.001010166934562939,,POINT (-47.8835931 -15.8093837)
142089851,-15.8062438,-47.8552071,3,0.0024489795918367346,0.0370147012824523,0.0544886188278545,0.0002589379455758306,,POINT (-47.8552071 -15.8062438)
142090026,-15.8024463,-47.8496544,3,0.0024489795918367346,0.032563566318106765,0.006987595038015206,6.65763664926115e-05,,POINT (-47.8496544 -15.8024463)
142090431,-15.8035153,-47.8520571,3,0.0024489795918367346,0.04072266767610723,0.07744915886822103,0.007778695173818393,,POINT (-47.8520571 -15.8035153)
142191338,-15.8021965,-47.8527252,3,0.0024489795918367346,0.04048720405091009,0.012646290262136603,0.000665570294504334,,POINT (-47.8527252 -15.8021965)
142191746,-15.8016854,-47.8509834,3,0.0024489795918367346,0.040024352296556855,0.07466225362993506,0.006429174183175539,,POINT (-47.8509834 -15.8016854)
142191854,-15.8009451,-47.8472384,3,0.0024489795918367346,0.034874454791936814,0.005291827842248009,-2.8595691709604728e-05,,POINT (-47.8472384 -15.8009451)
142191989,-15.8031243,-47.8499309,3,0.0016326530612244899,0.033646858117713965,0.0,-9.066719836717847e-05,,POINT (-47.8499309 -15.8031243)
142192052,-15.8027127,-47.8500489,3,0.0024489795918367346,0.03366312974710551,0.0069862611711351205,-1.6884506458185563e-05,,POINT (-47.8500489 -15.8027127)
142192537,-15.8015668,-47.8781658,3,0.0024489795918367346,0.042850521436848206,0.09346417286658956,0.003766243929050169,,POINT (-47.8781658 -15.8015668)
142192586,-15.8005693,-47.8767577,3,0.0024489795918367346,0.03689583138465376,0.08738438607396196,0.002366503456464214,,POINT (-47.8767577 -15.8005693)
142192643,-15.8000234,-47.8776442,3,0.0024489795918367346,0.04479031037093111,0.09346283899970949,0.004096369130636291,,POINT (-47.8776442 -15.8000234)
142192810,-15.8032882,-47.8791046,3,0.0024489795918367346,0.04,0.0459874511835296,0.0029855965156757908,,POINT (-47.8791046 -15.8032882)
142192828,-15.8030908,-47.8786701,3,0.0024489795918367346,0.04137911742079866,0.06260262040344665,0.001019139143926107,,POINT (-47.8786701 -15.8030908)
142193469,-15.8039747,-47.8788431,3,0.0024489795918367346,0.041565156304882334,0.06478506352035764,0.005118036742378576,,POINT (-47.8788431 -15.8039747)
142193844,-15.8030353,-47.8796565,3,0.0024489795918367346,0.041054676658340276,0.03938878117384523,0.001251190237495088,,POINT (-47.8796565 -15.8030353)
142193886,-15.8023456,-47.8817566,3,0.0024489795918367346,0.039991889151740456,0.03860248887914955,0.0010064253236210811,,POINT (-47.8817566 -15.8023456)
142193908,-15.8035953,-47.8782101,3,0.0024489795918367346,0.035675610491407904,0.055212408880376075,0.002370233545795031,,POINT (-47.8782101 -15.8035953)
142194043,-15.8034392,-47.8751001,3,0.0024489795918367346,0.03727235503480425,0.011487548032866144,0.0006011706770698413,,POINT (-47.8751001 -15.8034392)
142194235,-15.8024998,-47.8774778,3,0.0024489795918367346,0.039726064186920915,0.07777086667156818,0.0008238462070478964,,POINT (-47.8774778 -15.8024998)
142194462,-15.799044,-47.8761354,4,0.0032653061224489797,0.0409254712087152,0.015973073452565306,0.0005652093953031132,,POINT (-47.8761354 -15.799044)
142194646,-15.7947158,-47.876637,3,0.0024489795918367346,0.04160168746704166,0.0501530231140076,0.002443269105171333,,POINT (-47.876637 -15.7947158)
142194667,-15.7965722,-47.8773893,3,0.0024489795918367346,0.03612540830967427,0.03524830494968552,0.0019154447999961612,,POINT (-47.8773893 -15.7965722)
142195613,-15.796709,-47.8769728,3,0.0024489795918367346,0.04232786064313052,0.04357212336594096,0.0036669575636217996,,POINT (-47.8769728 -15.796709)
142195681,-15.7920242,-47.874385,3,0.0024489795918367346,0.04553486224411267,0.09834742381801219,0.001986893743154707,,POINT (-47.874385 -15.7920242)
142196689,-15.7949126,-47.876008,3,0.0024489795918367346,0.04342924251321198,0.05015168924712751,0.002492754012267476,,POINT (-47.876008 -15.7949126)
142200756,-15.7967332,-47.8829939,3,0.0024489795918367346,0.03448621553884711,0.013646696196516126,0.0009517843172968152,,POINT (-47.8829939 -15.7967332)
142200786,-15.7964138,-47.8831858,3,0.0024489795918367346,0.03638756495802712,0.001961260694754092,0.0005831760980997521,,POINT (-47.8831858 -15.7964138)
142200802,-15.7958817,-47.8830287,3,0.0024489795918367346,0.03439400104632913,0.0016409325635015906,0.0002841244304679245,,POINT (-47.8830287 -15.7958817)
142200821,-15.7957554,-47.8826683,3,0.0024489795918367346,0.03638197134600012,0.013329035799023801,0.00041230301509471485,,POINT (-47.8826683 -15.7957554)
142201583,-15.7980559,-47.8849536,3,0.0024489795918367346,0.03824445737185703,0.022382919305288226,0.0013772699735973852,,POINT (-47.8849536 -15.7980559)
142201604,-15.7981535,-47.8835668,3,0.0024489795918367346,0.035729468599033816,0.0548474918105771,0.0025060420883705604,,POINT (-47.8835668 -15.7981535)
142201973,-15.796354,-47.8836568,3,0.0024489795918367346,0.03746825824019251,0.021279249795156097,0.0027268336432406917,,POINT (-47.8836568 -15.796354)
142202419,-15.797791,-47.8848485,3,0.0024489795918367346,0.03881014069725493,0.003869134955569529,0.0007899649810816169,,POINT (-47.8848485 -15.797791)
142202446,-15.797317,-47.883878,3,0.0024489795918367346,0.034584989478606505,0.0548096652802536,0.005078057302165052,,POINT (-47.883878 -15.797317)
142202659,-15.7989633,-47.8763694,3,0.0024489795918367346,0.04174845651790439,0.013582884043468295,0.0005901413532752299,,POINT (-47.8763694 -15.7989633)
142202827,-15.7989182,-47.8760556,3,0.0024489795918367346,0.04063736263736264,0.03299556965643401,0.000644766652546572,,POINT (-47.8760556 -15.7989182)
142202871,-15.7988362,-47.8763185,3,0.0024489795918367346,0.03902773655222453,0.03299690352331409,0.0011052584546416648,,POINT (-47.8763185 -15.7988362)
142203076,-15.7984839,-47.8774939,3,0.0024489795918367346,0.0431002331002331,0.026461843732201878,0.0019470482112695236,,POINT (-47.8774939 -15.7984839)
142204023,-15.7995163,-47.8774752,3,0.0024489795918367346,0.044417085804369046,0.11703581272984635,0.002353984393152862,,POINT (-47.8774752 -15.7995163)
142204047,-15.7997395,-47.8775516,3,0.0024489795918367346,0.04251490982251922,0.11703714659672644,0.0024443600915152785,,POINT (-47.8775516 -15.7997395)
142204320,-15.7995511,-47.8769615,3,0.0024489795918367346,0.040768965754840486,0.024556700554199642,0.0005842363965684813,,POINT (-47.8769615 -15.7995511)
142204345,-15.7987721,-47.8768755,3,0.0024489795918367346,0.04071846397357374,0.01304853697130609,0.0006873592685479006,,POINT (-47.8768755 -15.7987721)
142204399,-15.7997119,-47.8737648,3,0.004081632653061225,0.0403904703392723,0.0377255066769373,0.0017381246738247195,,POINT (-47.8737648 -15.7997119)
142204418,-15.8021133,-47.8746059,3,0.0032653061224489797,0.036639935597733535,0.004273565018563024,0.0004562323337164564,,POINT (-47.8746059 -15.8021133)
142204483,-15.801602,-47.8725305,3,0.0024489795918367346,0.03699271624620964,0.0017880416957547856,9.803697535098607e-05,,POINT (-47.8725305 -15.801602)
142204556,-15.8034145,-47.8667821,3,0.004081632653061225,0.03879741647814826,0.02054958332539361,0.0006634728298909437,,POINT (-47.8667821 -15.8034145)
142204575,-15.8076996,-47.8580322,3,0.0032653061224489797,0.04057187917852367,0.06323027279379236,0.003337206764387424,,POINT (-47.8580322 -15.8076996)
142204731,-15.807035,-47.8563182,3,0.0024489795918367346,0.03680632017666636,0.04349536597115623,0.001917247564780249,,POINT (-47.8563182 -15.807035)
142204904,-15.8067776,-47.8565688,3,0.0024489795918367346,0.04133286762137618,0.055993916453794486,0.00559308772472205,,POINT (-47.8565688 -15.8067776)
142204926,-15.8088963,-47.859906,3,0.0024489795918367346,0.03896990054666403,0.0346792091721063,0.0006305332163928572,,POINT (-47.859906 -15.8088963)
142204968,-15.8092279,-47.8598014,3,0.0024489795918367346,0.03857105606258149,0.02544944929908915,0.0010930890085490905,,POINT (-47.8598014 -15.8092279)
142204978,-15.8066593,-47.8556943,3,0.0032653061224489797,0.0384582385440364,0.059813748879875325,0.001434115185039832,,POINT (-47.8556943 -15.8066593)
142205759,-15.7914159,-47.8862707,3,0.0016326530612244899,0.03684413724391307,0.009119973674895645,0.000924660755289094,,POINT (-47.8862707 -15.7914159)
142280725,-15.8036121,-47.8864552,3,0.0024489795918367346,0.030569088889462942,0.0008036547952514339,0.00018127876316859713,,POINT (-47.8864552 -15.8036121)
142281035,-15.7982778,-47.8846142,3,0.0024489795918367346,0.03455570156227186,0.005042739317949402,0.0006444546967772174,,POINT (-47.8846142 -15.7982778)
142281364,-15.7994172,-47.8840838,3,0.0024489795918367346,0.038509551238244004,0.06023614727276193,0.004114579182054431,,POINT (-47.8840838 -15.7994172)
142281370,-15.8034753,-47.8865424,3,0.0024489795918367346,0.03406430812631337,0.007420417373298512,0.0002775609519659624,,POINT (-47.8865424 -15.8034753)
142281596,-15.8000766,-47.8852925,4,0.0032653061224489797,0.037863885067033566,0.02140429981516411,0.002121956232257333,,POINT (-47.8852925 -15.8000766)
142281637,-15.8005576,-47.8860133,3,0.0024489795918367346,0.03852835840333398,0.00616484715579354,0.0009153097944896522,,POINT (-47.8860133 -15.8005576)
142281710,-15.799972,-47.8850745,3,0.0024489795918367346,0.0358898459298799,0.014057938182487998,0.0017907974803542542,,POINT (-47.8850745 -15.799972)
142281787,-15.8009923,-47.8851875,3,0.0024489795918367346,0.03554167292386244,0.012550526559830277,0.0009521201810165251,,POINT (-47.8851875 -15.8009923)
142281889,-15.8002565,-47.8859288,3,0.0024489795918367346,0.03191542154377259,0.008555928865052517,0.00025593279682395914,,POINT (-47.8859288 -15.8002565)
142281986,-15.7999921,-47.8869646,3,0.0024489795918367346,0.037750342935528126,0.011707312289995352,0.0008883791105529292,,POINT (-47.8869646 -15.7999921)
142282019,-15.8017623,-47.8839504,3,0.0024489795918367346,0.03384122626401281,0.026259826441399053,0.0018958494440990711,,POINT (-47.8839504 -15.8017623)
142282206,-15.8018653,-47.8861253,3,0.0024489795918367346,0.029056622305161324,0.004364139306516256,0.0007014294164845338,,POINT (-47.8861253 -15.8018653)
142282217,-15.8012442,-47.8855768,3,0.0024489795918367346,0.03439900002906892,0.008082007045242342,0.0006150030446894996,,POINT (-47.8855768 -15.8012442)
142282225,-15.8011121,-47.8851904,3,0.0024489795918367346,0.034101610904584884,0.019626506446734544,0.0015217763844515406,,POINT (-47.8851904 -15.8011121)
142282369,-15.8006804,-47.8860124,3,0.0024489795918367346,0.03418139803581745,0.015592402834149527,0.0011855048946222098,,POINT (-47.8860124 -15.8006804)
142282471,-15.8016277,-47.8861185,3,0.0024489795918367346,0.03679716409092323,0.01308266745851778,0.0011280137073381412,,POINT (-47.8861185 -15.8016277)
142282487,-15.8010751,-47.8859232,3,0.0024489795918367346,0.033040904648890125,0.004050571166417506,0.0006358322276629645,,POINT (-47.8859232 -15.8010751)
142282524,-15.7979798,-47.8841513,3,0.0024489795918367346,0.03463357527511122,0.014059272049368085,0.0021264924592153205,,POINT (-47.8841513 -15.7979798)
142282689,-15.7979357,-47.8842565,3,0.0024489795918367346,0.03937052932761087,0.021402965948284038,0.0022434205671437997,,POINT (-47.8842565 -15.7979357)
142282704,-15.8015433,-47.8839745,3,0.0024489795918367346,0.03686479750778816,0.03278484130544954,0.0011971562642115012,,POINT (-47.8839745 -15.8015433)
142282728,-15.8008016,-47.8847386,3,0.0024489795918367346,0.03599464655067527,0.04857091711143336,0.004187598937907092,,POINT (-47.8847386 -15.8008016)
142282744,-15.8015552,-47.885161,3,0.0024489795918367346,0.03083192204476173,0.034965920759838336,0.004347866065171699,,POINT (-47.885161 -15.8015552)
142282770,-15.8001875,-47.8870782,3,0.0024489795918367346,0.03540344053851907,0.018620669696449994,0.0007269936866623882,,POINT (-47.8870782 -15.8001875)
142282797,-15.80087,-47.8863995,3,0.0024489795918367346,0.035980418985071,0.010857843137254929,0.001115175965968002,,POINT (-47.8863995 -15.80087)
142282814,-15.8001189,-47.8859677,3,0.0024489795918367346,0.035809477697754645,0.013368039808516011,0.000871509133943703,,POINT (-47.8859677 -15.8001189)
142282909,-15.8051266,-47.883959,3,0.0024489795918367346,0.029329566014821427,0.042542026549029326,0.0009338459469166615,,POINT (-47.883959 -15.8051266)
142282919,-15.8024769,-47.8822334,3,0.0024489795918367346,0.03734646215994446,0.04519448955443348,0.003348969032955031,,POINT (-47.8822334 -15.8024769)
142282961,-15.8049807,-47.8841671,3,0.0024489795918367346,0.033330328977016675,0.03591934551598417,0.0004229694097442762,,POINT (-47.8841671 -15.8049807)
142283133,-15.805462,-47.8841026,3,0.0024489795918367346,0.031140233151759164,0.04253135561398864,0.0005468898999167571,,POINT (-47.8841026 -15.805462)
142335299,-15.7850409,-47.8737657,3,0.0024489795918367346,0.022465732619508676,0.026664751085619446,0.0006548618457843864,,POINT (-47.8737657 -15.7850409)
142335315,-15.7868812,-47.8736249,3,0.0024489795918367346,0.022014361721918372,0.013701733074182047,0.0013275862200562627,,POINT (-47.8736249 -15.7868812)
142335512,-15.7826741,-47.8738388,3,0.0024489795918367346,0.042597805312019156,0.0013890222755768974,0.0006391553270050527,,POINT (-47.8738388 -15.7826741)
142335579,-15.7895387,-47.8733061,3,0.0032653061224489797,0.04648283447246445,0.037543913525006,0.004679619514470516,,POINT (-47.8733061 -15.7895387)
142335619,-15.7902701,-47.8743973,3,0.0024489795918367346,0.04115748469671675,0.04732511325838653,0.0008237898746914539,,POINT (-47.8743973 -15.7902701)
142335646,-15.7904662,-47.8734498,3,0.0024489795918367346,0.04736850532383316,0.0357294099457965,0.007059719453470765,,POINT (-47.8734498 -15.7904662)
142335660,-15.7894306,-47.8806771,3,0.0024489795918367346,0.040217509516041326,0.03736918418160901,0.0011403599206817952,,POINT (-47.8806771 -15.7894306)
142335711,-15.7830051,-47.8798201,3,0.0016326530612244899,0.03660448800606031,0.0,3.467739919655452e-05,,POINT (-47.8798201 -15.7830051)
142335910,-15.7869983,-47.8815786,3,0.0024489795918367346,0.036958056154158474,0.08517823161010438,0.0037191587324230785,,POINT (-47.8815786 -15.7869983)
143774087,-15.7862973,-47.8808347,3,0.0024489795918367346,0.034168567551179516,0.0012834689431328087,0.00027439014949025536,,POINT (-47.8808347 -15.7862973)
143832852,-15.8034598,-47.8880927,3,0.0008163265306122449,0.03235503017912501,0.0,-0.00020451570314394574,,POINT (-47.8880927 -15.8034598)
