osmid,y,x,street_count,dc,cc,nbc,vul,geometry
34557099,-15.7993489,-47.8618433,3,0.005952380952380952,0.03567622237689229,0.006000504907065544,6.815356135550686e-05,POINT (-47.8618433 -15.7993489)
34557103,-15.7997956,-47.867146,3,0.005952380952380952,0.038438554555680536,0.039376702746484034,0.0006999245356157683,POINT (-47.867146 -15.7997956)
34557141,-15.7994921,-47.868118,3,0.005952380952380952,0.04002415724168222,0.039424037783878714,0.0007453655324259986,POINT (-47.868118 -15.7994921)
34557142,-15.7984356,-47.8715061,3,0.005952380952380952,0.04347739652498907,0.04322727655232623,0.0010637861147748473,POINT (-47.8715061 -15.7984356)
34557143,-15.7972555,-47.8752619,3,0.005952380952380952,0.04750561146911882,0.048623470815319675,0.0017683977107444022,POINT (-47.8752619 -15.7972555)
34557146,-15.7966181,-47.8772364,3,0.005952380952380952,0.047553816046966735,0.047544231962721,0.0022423051867144273,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,0.005952380952380952,0.04771098171939701,0.0019170690144845214,0.0005635728099878075,POINT (-47.876754 -15.7946793)
34565322,-15.7951716,-47.8751782,3,0.005952380952380952,0.04532329372754905,0.03802857458424058,0.004855453315708335,POINT (-47.8751782 -15.7951716)
34565323,-15.7953242,-47.8747147,3,0.005952380952380952,0.04752488156808206,0.03807590962163526,0.004249741351031689,POINT (-47.8747147 -15.7953242)
34565324,-15.7965472,-47.8708382,3,0.005952380952380952,0.038438554555680536,0.015741661144245637,0.0010147250432498748,POINT (-47.8708382 -15.7965472)
34565325,-15.7975912,-47.8674802,3,0.005952380952380952,0.035670791379422834,0.01212776252537684,0.00039974396482795964,POINT (-47.8674802 -15.7975912)
34565328,-15.7978916,-47.8665206,3,0.005952380952380952,0.037032228932663544,0.012175097562771518,0.0001518385224294974,POINT (-47.8665206 -15.7978916)
114103910,-15.7866876,-47.8807414,3,0.003968253968253968,0.02150111544815922,0.0,-0.0007531808814766147,POINT (-47.8807414 -15.7866876)
142087838,-15.8056951,-47.8801118,3,0.007936507936507936,0.0415095533341769,0.049217262562192984,0.005621285426241126,POINT (-47.8801118 -15.8056951)
142089097,-15.812542,-47.8816607,3,0.001984126984126984,0.0,0.0,-0.001355160581973484,POINT (-47.8816607 -15.812542)
142089851,-15.8062438,-47.8552071,3,0.005952380952380952,0.03472200171466675,0.006056912493294203,-1.809601987551258e-05,POINT (-47.8552071 -15.8062438)
142090431,-15.8035153,-47.8520571,3,0.003968253968253968,0.03444890158356786,0.025000525944859943,0.006811657023411436,POINT (-47.8520571 -15.8035153)
142191338,-15.8021965,-47.8527252,3,0.003968253968253968,0.03322058957559064,0.002923727476411373,-0.00045138674999858035,POINT (-47.8527252 -15.8021965)
142192537,-15.8015668,-47.8781658,3,0.005952380952380952,0.0525148876224627,0.14137871185584908,0.0056789043159752774,POINT (-47.8781658 -15.8015668)
142192586,-15.8005693,-47.8767577,3,0.005952380952380952,0.044128329297820824,0.1139748808734892,0.006911425400057476,POINT (-47.8767577 -15.8005693)
142192643,-15.8000234,-47.8776442,3,0.005952380952380952,0.055486959169175606,0.14142604689324376,0.006975093457338077,POINT (-47.8776442 -15.8000234)
142192810,-15.8032882,-47.8791046,3,0.005952380952380952,0.04608997414858942,0.01886524766743455,0.0013208345208223537,POINT (-47.8791046 -15.8032882)
142192828,-15.8030908,-47.8786701,3,0.005952380952380952,0.04834359987031743,0.1098744832591752,0.00159327338294811,POINT (-47.8786701 -15.8030908)
142193469,-15.8039747,-47.8788431,3,0.005952380952380952,0.04816968415488304,0.042578918026234126,0.0021065622313701515,POINT (-47.8788431 -15.8039747)
142193844,-15.8030353,-47.8796565,3,0.005952380952380952,0.05080690125139388,0.028802975796017528,0.0018901429262578007,POINT (-47.8796565 -15.8030353)
142193886,-15.8023456,-47.8817566,3,0.005952380952380952,0.04612626546681665,0.009752332565453836,0.0017298888285503758,POINT (-47.8817566 -15.8023456)
142193908,-15.8035953,-47.8782101,3,0.005952380952380952,0.03981672533074402,0.04903778387873815,0.007227929639841219,POINT (-47.8782101 -15.8035953)
142194043,-15.8034392,-47.8751001,3,0.005952380952380952,0.04528825445910873,0.030665478031283177,0.0016639736351848607,POINT (-47.8751001 -15.8034392)
142194235,-15.8024998,-47.8774778,3,0.005952380952380952,0.045672240243919415,0.0596894821546909,0.002297706503964923,POINT (-47.8774778 -15.8024998)
142194462,-15.799044,-47.8761354,4,0.007936507936507936,0.050713435466167855,0.07393680246562954,0.0017812678149308821,POINT (-47.8761354 -15.799044)
142194646,-15.7947158,-47.876637,3,0.005952380952380952,0.049898089559503526,0.04768623707490504,0.0022349908341921998,POINT (-47.876637 -15.7947158)
142194667,-15.7965722,-47.8773893,3,0.005952380952380952,0.001984126984126984,0.001869733977089842,0.0005525655812800396,POINT (-47.8773893 -15.7965722)
142195613,-15.796709,-47.8769728,3,0.005952380952380952,0.045349608781000306,0.047496896925326326,0.0036424112297326235,POINT (-47.8769728 -15.796709)
142195681,-15.7920242,-47.874385,3,0.005952380952380952,0.05724231796052976,0.16943576635425536,0.004863152008203338,POINT (-47.874385 -15.7920242)
142196689,-15.7949126,-47.876008,3,0.005952380952380952,0.052579698995047365,0.04773357211229971,0.0032697606709986365,POINT (-47.876008 -15.7949126)
142202659,-15.7989633,-47.8763694,3,0.005952380952380952,0.051601283543587,0.06864316745032446,0.0017842453882176285,POINT (-47.8763694 -15.7989633)
